"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,강동구,"270,110",…,"200,420",…,"69,690",…,"3,740",…,"7,150",…,"7,150",…,-,-,"259,220",…,"189,530",…,"69,690",…
1994,강동구,"272,149",…,"202,459",…,"69,690",…,"3,740",…,"7,150",…,"7,150",…,-,-,"261,259",…,"191,569",…,"69,690",…
1995,강동구,"273,469",…,"203,779",…,"69,690",…,"3,740",…,"7,150",…,"7,150",…,-,-,"262,579",…,"192,889",…,"69,690",…
1996,강동구,"274,335",…,"272,475",…,"1,860",…,"3,740",…,"7,150",…,"7,150",…,-,-,"263,445",…,"261,585",…,"1,860",…
1997,강동구,"274,907",0,"273,047",0,"1,860",0,"3,740",0,"7,150",0,"7,150",0,0,0,"264,017",0,"262,157",0,"1,860",0
1998,강동구,"275,620",0,"273,760",0,"1,860",0,"3,740",0,"7,150",0,"7,150",0,0,0,"264,730",0,"262,870",0,"1,860",0
1999,강동구,"276,071",0,"274,211",0,"1,860",0,"3,740",0,"36,660",0,"36,660",0,0,0,"235,671",0,"233,811",0,"1,860",0
2000,강동구,"276,888","2,977,041","275,028","2,967,081","1,860","9,960","3,740","87,516","7,150","309,180","7,150","309,180",0,0,"265,998","2,580,345","264,138","2,570,385","1,860","9,960"
2001,강동구,"277,630","3,058,702","277,630","3,058,702",0,0,"3,740","151,994","7,150","309,180","7,150","309,180",0,0,"266,740","2,597,528","266,740","2,597,528",0,0
2002,강동구,"278,485","3,074,676","278,485","3,074,676",0,0,"3,740","151,994","7,150","309,180","7,150","309,180",0,0,"267,595","2,613,502","267,595","2,613,502",0,0
2003,강동구,"279,028","3,079,810","279,028","3,079,810",0,0,"3,740","151,994","7,150","309,180","7,150","309,180",0,0,"268,138","2,618,636","268,138","2,618,636",0,0
2004,강동구,"279,188","3,080,990","279,188","3,080,990",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"268,298","2,619,816","268,298","2,619,816",-,-
2005,강동구,"279,312","3,083,354","279,312","3,083,354",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"268,422","2,622,180","268,422","2,622,180",-,-
2006,강동구,"280,493","3,091,162","280,493","3,091,162",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"269,603","2,629,988","269,603","2,629,988",-,-
2007,강동구,"281,801","3,098,912","281,801","3,098,912",…,…,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"270,911","2,637,738","270,911","2,637,738",…,…
2008,강동구,"282,613","3,110,888","282,613","3,110,888",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"271,723","2,649,714","271,723","2,649,714",-,-
2009,강동구,"282,895","3,141,143","282,895","3,141,143",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"272,005","2,679,969","272,005","2,679,969",-,-
2010,강동구,"282,895","3,141,143","282,895","3,141,143",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"272,005","2,679,969","272,005","2,679,969",-,-
2011,강동구,"283,111","3,184,699","283,111","3,184,699",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"272,221","2,723,525","272,221","2,723,525",-,-
2012,강동구,"283,741","3,197,199","283,741","3,197,199",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"272,851","2,736,025","272,851","2,736,025",-,-
2013,강동구,"283,791","3,198,099","283,791","3,198,099",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"272,901","2,736,925","272,901","2,736,925",-,-
2014,강동구,"285,574","3,263,786","285,574","3,263,786",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"274,684","2,802,612","274,684","2,802,612",-,-
2015,강동구,"285,574","3,263,786","285,574","3,263,786",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"274,684","2,802,612","274,684","2,802,612",-,-
2016,강동구,"285,574","3,263,785","285,574","3,263,785",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"274,684","2,802,611","274,684","2,802,611",-,-
2017,강동구,"289,924","3,522,054","289,924","3,522,054",-,-,"4,350","163,560","7,150","309,180","7,150","309,180",-,-,"278,424","3,049,314","278,424","3,049,314",-,-
2018,강동구,"290,049","3,524,056","290,049","3,524,056",-,-,"4,350","163,560","7,150","309,180","7,150","309,180",-,-,"278,549","3,051,316","278,549","3,051,316",-,-
2019,강동구,"290,049","3,535,873","290,049","3,535,873",-,-,"4,350","163,560","7,150","309,180","7,150","309,180",-,-,"278,549","3,063,133","278,549","3,063,133",-,-
