"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,동작구,"213,980",…,"160,693",…,"53,287",…,-,…,"2,900",…,"2,900",…,-,-,"211,080",…,"157,793",…,"53,287",…
1994,동작구,"217,296",…,"164,009",…,"53,287",…,-,…,"2,900",…,"2,900",…,-,-,"214,396",…,"161,109",…,"53,287",…
1995,동작구,"218,855",…,"165,568",…,"53,287",…,-,…,"2,900",…,"2,900",…,-,-,"215,955",…,"162,668",…,"53,287",…
1996,동작구,"219,281",…,"166,051",…,"53,230",…,-,…,"2,900",…,"2,900",…,-,-,"216,381",…,"163,151",…,"53,230",…
1997,동작구,"220,625",0,"167,395",0,"53,230",0,0,0,"2,900",0,"2,900",0,0,0,"217,725",0,"164,495",0,"53,230",0
1998,동작구,"221,125",0,"167,895",0,"53,230",0,0,0,"2,900",0,"2,900",0,0,0,"218,225",0,"164,995",0,"53,230",0
1999,동작구,"222,299",0,"169,069",0,"53,230",0,0,0,"34,650",0,"34,650",0,0,0,"187,649",0,"134,419",0,"53,230",0
2000,동작구,"222,427","2,487,051","169,197","2,237,501","53,230","249,550",0,0,"2,900","101,500","2,900","101,500",0,0,"219,527","2,385,551","166,297","2,136,001","53,230","249,550"
2001,동작구,"224,443","2,508,691","224,443","2,508,691",0,0,0,0,"2,900","101,500","2,900","101,500",0,0,"221,543","2,407,191","221,543","2,407,191",0,0
2002,동작구,"226,141","2,517,859","226,141","2,517,859",0,0,0,0,"2,900","101,500","2,900","101,500",0,0,"223,241","2,416,359","223,241","2,416,359",0,0
2003,동작구,"228,575","2,538,716","228,575","2,538,716",0,0,0,0,"2,900","101,500","2,900","101,500",0,0,"225,675","2,437,216","225,675","2,437,216",0,0
2004,동작구,"231,056","2,563,862","231,056","2,563,862",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"228,156","2,462,362","228,156","2,462,362",-,-
2005,동작구,"234,586","2,602,904","234,586","2,602,904",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"231,686","2,501,404","231,686","2,501,404",-,-
2006,동작구,"236,652","2,621,199","236,652","2,621,199",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"233,752","2,519,699","233,752","2,519,699",-,-
2007,동작구,"238,648","2,639,116","238,648","2,639,116",…,…,-,-,"2,900","101,500","2,900","101,500",-,-,"235,748","2,537,616","235,748","2,537,616",…,…
2008,동작구,"241,430","2,659,777","241,430","2,659,777",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"238,530","2,558,277","238,530","2,558,277",-,-
2009,동작구,"242,155","2,664,367","242,155","2,664,367",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"239,255","2,562,867","239,255","2,562,867",-,-
2010,동작구,"242,985","2,671,396","242,985","2,671,396",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"240,085","2,569,896","240,085","2,569,896",-,-
2011,동작구,"243,372","2,674,004","243,372","2,674,004",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"240,472","2,572,504","240,472","2,572,504",-,-
2012,동작구,"244,890","2,695,922","244,890","2,695,922",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"241,990","2,594,422","241,990","2,594,422",-,-
2013,동작구,"247,235","2,724,935","247,235","2,724,935",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"244,335","2,623,435","244,335","2,623,435",-,-
2014,동작구,"247,335","2,725,535","247,335","2,725,535",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"244,435","2,624,035","244,435","2,624,035",-,-
2015,동작구,"247,469","2,726,560","247,469","2,726,560",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"244,569","2,625,060","244,569","2,625,060",-,-
2016,동작구,"247,849","2,729,942","247,849","2,729,942",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"244,949","2,628,442","244,949","2,628,442",-,-
2017,동작구,"248,238","2,734,186","248,238","2,734,186",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"245,338","2,632,686","245,338","2,632,686",-,-
2018,동작구,"248,238","2,734,186","248,238","2,734,186",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"245,338","2,632,686","245,338","2,632,686",-,-
2019,동작구,"248,238","2,734,186","248,238","2,734,186",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"245,338","2,632,686","245,338","2,632,686",-,-
