"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,중구,"97,497",…,"97,497",…,-,…,-,…,"8,060",…,"8,060",…,-,-,"89,437",…,"89,437",…,-,…
1994,중구,"98,271",…,"98,271",…,-,…,-,…,"8,060",…,"8,060",…,-,-,"90,211",…,"90,211",…,-,…
1995,중구,"99,006",…,"99,006",…,-,…,-,…,"8,060",…,"8,060",…,-,-,"90,946",…,"90,946",…,-,…
1996,중구,"100,348",…,"100,348",…,-,…,-,…,"8,060",…,"8,060",…,-,-,"92,288",…,"92,288",…,-,…
1997,중구,"101,243",0,"101,243",0,0,0,0,0,"8,060",0,"8,060",0,0,0,"93,183",0,"93,183",0,0,0
1998,중구,"102,233",0,"102,233",0,0,0,0,0,"8,060",0,"8,060",0,0,0,"94,173",0,"94,173",0,0,0
1999,중구,"107,957",0,"107,957",0,0,0,0,0,"32,910",0,"32,910",0,0,0,"75,047",0,"75,047",0,0,0
2000,중구,"109,596","1,827,849","109,596","1,827,849",0,0,0,0,"8,060","313,400","8,060","313,400",0,0,"101,536","1,514,449","101,536","1,514,449",0,0
2001,중구,"110,669","1,834,357","110,669","1,834,357",0,0,0,0,"8,060","313,400","8,060","313,400",0,0,"102,609","1,520,957","102,609","1,520,957",0,0
2002,중구,"111,353","1,839,197","111,353","1,839,197",0,0,0,0,"8,060","313,400","8,060","313,400",0,0,"103,293","1,525,797","103,293","1,525,797",0,0
2003,중구,"112,357","1,853,643","112,357","1,853,643",0,0,0,0,"8,060","313,400","8,060","313,400",0,0,"104,297","1,540,243","104,297","1,540,243",0,0
2004,중구,"114,123","1,864,119","114,123","1,864,119",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,063","1,550,719","106,063","1,550,719",-,-
2005,중구,"114,280","1,869,901","114,280","1,869,901",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,220","1,556,501","106,220","1,556,501",-,-
2006,중구,"114,280","1,874,893","114,280","1,874,893",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,220","1,561,493","106,220","1,561,493",-,-
2007,중구,"114,280","1,875,776","114,280","1,875,776",…,…,-,-,"8,060","313,400","8,060","313,400",-,-,"106,220","1,562,376","106,220","1,562,376",…,…
2008,중구,"114,280","1,875,776","114,280","1,875,776",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,220","1,562,376","106,220","1,562,376",-,-
2009,중구,"114,428","1,876,604","114,428","1,876,604",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,368","1,563,204","106,368","1,563,204",-,-
2010,중구,"114,428","1,876,704","114,428","1,876,704",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,368","1,563,304","106,368","1,563,304",-,-
2011,중구,"114,435","1,877,820","114,435","1,877,820",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,375","1,564,420","106,375","1,564,420",-,-
2012,중구,"114,452","1,878,126","114,452","1,878,126",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,392","1,564,726","106,392","1,564,726",-,-
2013,중구,"114,452","1,878,126","114,452","1,878,126",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,392","1,564,726","106,392","1,564,726",-,-
2014,중구,"114,452","1,878,450","114,452","1,878,450",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,392","1,565,050","106,392","1,565,050",-,-
2015,중구,"114,202","1,876,009","114,202","1,876,009",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,142","1,562,609","106,142","1,562,609",-,-
2016,중구,"114,232","1,876,189","114,232","1,876,189",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,172","1,562,789","106,172","1,562,789",-,-
2017,중구,"114,232","1,876,189","114,232","1,876,189",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,172","1,562,789","106,172","1,562,789",-,-
2018,중구,"114,232","1,876,189","114,232","1,876,189",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,172","1,562,789","106,172","1,562,789",-,-
2019,중구,"114,233","1,876,189","114,233","1,876,189",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,173","1,562,789","106,173","1,562,789",-,-
