Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
2016,합계,162,"7,839","51,827",84,"5,022","50,242",149,"44,901","734,008",,,,,,,42,"24,639","444,567",,,,"265,304",,,,,,96,"83,187","1,378,072",40,"12,617","140,790",71,"82,106","1,064,719",7,"69,442","192,382",6,"1,593","19,630"
2016,안전총괄본부,-,-,-,-,-,-,28,"9,565","168,507",,,,,,,4,"5,208","129,112",,,,"36,658",,,,,,36,"68,624","1,172,571",30,"10,314","107,025",1,230,"2,070",7,"69,442","192,382",6,"1,593","19,630"
2016,동부도로사업소,-,-,-,-,-,-,13,"6,725","103,880",,,,,,,3,"2,872","54,927",,,,"7,493",,,,,,1,71,"1,306",-,-,-,1,394,"15,760",-,-,-,-,-,-
2016,서부도로사업소,-,-,-,-,-,-,12,"3,682","51,017",,,,,,,6,"7,297","108,758",,,,"11,813",,,,,,14,"3,763","54,545",2,456,"6,663",12,"17,452","266,644",-,-,-,-,-,-
2016,남부도로사업소,-,-,-,-,-,-,10,"3,622","61,192",,,,,,,6,"1,958","35,409",,,,"7,603",,,,,,8,"2,563","35,782",2,91,"2,586",14,"17,118","301,741",-,-,-,-,-,-
2016,북부도로사업소,-,-,-,-,-,-,8,"2,241","42,106",,,,,,,8,"4,193","64,295",,,,"6,284",,,,,,9,985,"12,390",-,-,-,15,"16,039","239,895",-,-,-,-,-,-
2016,성동도로사업소,-,-,-,-,-,-,12,"3,325","50,614",,,,,,,3,740,"14,992",,,,"4,656",,,,,,9,"1,769","28,431",-,-,-,1,"4,715","35,431",-,-,-,-,-,-
2016,강서도로사업소,-,-,-,-,-,-,23,"8,689","166,401",,,,,,,5,805,"14,500",,,,"7,634",,,,,,7,"2,165","38,291",6,"1,756","24,516",4,"2,904","31,742",-,-,-,-,-,-
2016,종로구,3,162,968,5,580,"5,765",1,209,"1,762",,,,,,,-,-,-,,,,"8,988",,,,,,-,-,-,-,-,-,2,160,775,-,-,-,-,-,-
