Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,도봉구,3,96,611,0,0,0,3,697,"6,926",0,0,0,0,0,0,0,0,0,0,0,0,"2,691",0,0,,,,,,,,,,,,,,,,,,
1998,도봉구,3,96,352,0,0,0,3,823,"8,188",0,0,0,0,0,0,0,0,0,0,0,0,"2,818",0,0,,,,,,,,,,,,,,,,,,
1999,도봉구,3,96,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,747",0,0,,,,,,,,,,,,,,,,,,
2000,도봉구,3,96,694,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,757",0,0,,,,,,,,,,,,,,,,,,
2001,도봉구,2,63,488,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,"2,847",0,0,,,,,,,,,,,,,,,,,,
2002,도봉구,2,63,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,911",0,0,,,,,,,,,,,,,,,,,,
2003,도봉구,2,63,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,237",0,0,,,,,,,,,,,,,,,,,,
2004,도봉구,1,30,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,511",0,0,,,,,,,,,,,,,,,,,,
2005,도봉구,1,30,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,584",0,0,,,,,,,,,,,,,,,,,,
2006,도봉구,1,30,202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,692",-,-,,,,,,,,,,,,,,,,,,
2007,도봉구,1,30,82,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,"3,841",,,1,870,"5,505",,,,,,,,,,,,,,,
2008,도봉구,1,30,202,-,-,-,1,315,"3,014",-,-,-,,,,-,-,-,-,-,-,"3,913",,,1,870,"5,505",,,,,,,,,,,,,,,
2009,도봉구,1,30,202,-,-,-,1,315,"3,014.0",,,,,,,-,-,-,,,,"3,952",,,,,,-,-,-,-,-,-,1,870,"5,505.0",-,-,-,-,-,-
2010,도봉구,1,30,202,-,-,-,1,315,"3,014.0",,,,,,,-,-,-,,,,"4,266",,,,,,-,-,-,-,-,-,1,870,"5,505.0",-,-,-,-,-,-
2011,도봉구,1,30,202,-,-,-,1,315,"3,014.0",,,,,,,-,-,-,,,,"4,629",,,,,,-,-,-,-,-,-,1,870,"5,505.0",-,-,-,-,-,-
2012,도봉구,-,-,-,-,-,-,1,315,"3,014.0",,,,,,,-,-,-,,,,"4,420",,,,,,-,-,-,-,-,-,1,870,"5,505.0",-,-,-,-,-,-
2013,도봉구,-,-,-,-,-,-,1,315,"3,014",,,,,,,-,-,-,,,,"4,797",,,,,,-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-
2014,도봉구,-,-,-,-,-,-,1,315,"3,014",,,,,,,-,-,-,,,,"4,388",,,,,,-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-
2015,도봉구,-,-,-,-,-,-,1,315,"3,014",,,,,,,-,-,-,,,,"4,400",,,,,,-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-
2016,도봉구,-,-,-,-,-,-,1,315,"3,014",,,,,,,-,-,-,,,,"4,405",,,,,,-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-
2017,도봉구,-,-,-,-,-,-,1,315,"3,014",,,,,,,-,-,-,,,,"4,464",,,,,,-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-
2018,도봉구,-,-,-,-,-,-,1,315,"3,014",,,,,,,-,-,-,,,,"4,471",,,,,,-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-
2019,도봉구,-,-,-,-,-,-,1,315,"3,014",,,,,,,-,-,-,,,,"4,556",,,,,,-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-
