Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,송파구,16,557,"3,553",5,"1,020","6,478",4,"2,949","26,843",0,0,0,1,141,"8,442",0,0,0,0,0,0,"8,040",0,0,,,,,,,,,,,,,,,,,,
1998,송파구,17,586,"2,166",7,511,"4,546",4,"2,369","20,943",0,0,0,1,141,"8,442",0,0,0,0,0,0,"7,728",0,0,,,,,,,,,,,,,,,,,,
1999,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,0,0,1,141,"8,442",0,0,0,0,0,0,"6,370",0,0,,,,,,,,,,,,,,,,,,
2000,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,0,0,0,0,0,0,0,0,0,0,0,"6,380",0,0,,,,,,,,,,,,,,,,,,
2001,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,-,0,-,-,-,0,0,0,0,0,0,"6,427",0,0,,,,,,,,,,,,,,,,,,
2002,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,0,0,1,-,"8,446",0,0,0,0,0,0,"6,555",0,0,,,,,,,,,,,,,,,,,,
2003,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,0,0,1,0,"8,446",0,0,0,0,0,0,"6,781",0,0,,,,,,,,,,,,,,,,,,
2004,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,0,0,1,0,"8,446",0,0,0,0,0,0,"6,969",0,0,,,,,,,,,,,,,,,,,,
2005,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,0,0,1,0,"8,446",0,0,0,0,0,0,"7,260",0,0,,,,,,,,,,,,,,,,,,
2006,송파구,16,559,"3,535",7,511,"6,934",2,506,"7,443",-,-,-,1,-,"8,446",-,-,-,-,-,-,"7,420",-,-,,,,,,,,,,,,,,,,,,
2007,송파구,14,478,"2,984",7,511,"6,934",2,506,"7,443",-,-,-,,,,-,-,-,-,-,-,"7,557",,,-,-,-,,,,,,,,,,,,,,,
2008,송파구,11,319,"2,423",7,511,"6,934",2,506,"7,443",-,-,-,,,,-,-,-,-,-,-,"8,618",,,2,140,420,,,,,,,,,,,,,,,
2009,송파구,6,268,"1,329.0",7,511,"6,934.0",2,506,"7,443.0",,,,,,,-,-,-,,,,"8,484",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,송파구,6,268,"1,329.0",7,512,"6,934.0",2,506,"7,443.0",,,,,,,-,-,-,,,,"8,996",,,,,,-,-,-,-,-,-,1,"1,771","10,820.0",-,-,-,-,-,-
2011,송파구,6,268,"1,329.0",7,512,"6,934.0",2,506,"7,443.0",,,,,,,-,-,-,,,,"9,034",,,,,,-,-,-,-,-,-,1,"1,771","10,820.0",-,-,-,-,-,-
2012,송파구,5,240,"1,116.0",7,511,"6,751.0",2,506,"7,443.0",,,,,,,-,-,-,,,,"10,348",,,,,,-,-,-,-,-,-,1,"1,771","10,820.0",-,-,-,-,-,-
2013,송파구,5,240,"1,117",7,511,"6,752",1,126,983,,,,,,,-,-,-,,,,"10,095",,,,,,-,-,-,-,-,-,1,"1,771","10,820",-,-,-,-,-,-
2014,송파구,5,240,"1,117",7,511,"6,752",2,484,"9,646",,,,,,,-,-,-,,,,"9,351",,,,,,-,-,-,-,-,-,1,"1,771","10,820",-,-,-,-,-,-
2015,송파구,4,210,916,6,466,"6,208",2,484,"9,646",,,,,,,-,-,-,,,,"11,225",,,,,,-,-,-,-,-,-,1,"1,771","10,820",-,-,-,-,-,-
2016,송파구,4,210,916,6,466,"6,208",2,484,"9,646",,,,,,,-,-,-,,,,"12,054",,,,,,-,-,-,-,-,-,1,"1,771","10,820",-,-,-,-,-,-
2017,송파구,3,180,690,6,466,"6,208",2,484,"9,646",,,,,,,-,-,-,,,,"12,586",,,,,,-,-,-,-,-,-,1,"1,771","10,820",-,-,-,-,-,-
2018,송파구,2,140,420,6,466,"6,208",2,484,"9,646",,,,,,,1,64,"2,496",,,,"13,263",,,,,,-,-,-,-,-,-,1,"1,771","10,820",-,-,-,-,-,-
2019,송파구,2,140,420,6,466,"6,208",2,484,"9,646",,,,,,,1,64,"2,496",,,,"13,520",,,,,,-,-,-,-,-,-,1,"1,771","10,820",-,-,-,-,-,-
