Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,중구,14,470,"4,506",13,"1,606","7,755",4,799,"6,488",0,0,0,14,"2,863","58,871",0,0,0,0,0,0,"4,059",0,0,,,,,,,,,,,,,,,,,,
1998,중구,12,383,"1,916",14,978,"7,018",4,799,"6,488",0,0,0,15,"2,863","64,539",0,0,0,0,0,0,"4,353",0,0,,,,,,,,,,,,,,,,,,
1999,중구,12,383,"2,927",13,856,"7,815",0,0,0,0,0,0,15,"2,863","64,539",0,0,0,0,0,0,"3,964",0,0,,,,,,,,,,,,,,,,,,
2000,중구,12,383,"2,927",13,857,"7,815",0,0,0,0,0,0,2,123,"1,487",0,0,0,0,0,0,"4,055",0,0,,,,,,,,,,,,,,,,,,
2001,중구,12,383,"2,927",13,856,"7,815",0,0,0,0,0,0,2,123,"1,487",0,0,0,0,0,0,"4,493",0,0,,,,,,,,,,,,,,,,,,
2002,중구,12,384,"3,009",13,858,"7,847",0,0,0,0,0,0,15,0,"63,550",0,0,0,0,0,0,"4,646",0,0,,,,,,,,,,,,,,,,,,
2003,중구,7,195,"1,471",13,858,"7,847",1,109,858,0,0,0,15,0,"63,550",0,0,0,0,0,0,"4,930",0,0,,,,,,,,,,,,,,,,,,
2004,중구,5,145,"1,113",14,873,"9,092",1,109,858,0,0,0,15,0,"63,550",0,0,0,0,0,0,"5,098",0,0,,,,,,,,,,,,,,,,,,
2005,중구,5,145,"1,113",14,873,"9,092",1,109,858,0,0,0,15,0,"63,550",0,0,0,0,0,0,"5,860",0,0,,,,,,,,,,,,,,,,,,
2006,중구,5,145,"1,113",14,873,"9,092",1,109,858,-,-,-,15,-,"63,550",-,-,-,-,-,-,"6,275",-,-,,,,,,,,,,,,,,,,,,
2007,중구,3,85,547,14,978,"9,364",1,109,858,-,-,-,,,,-,-,-,-,-,-,"6,388",,,-,-,-,,,,,,,,,,,,,,,
2008,중구,3,85,547,11,882,"8,242",1,109,858,-,-,-,,,,-,-,-,-,-,-,"6,498",,,-,-,-,,,,,,,,,,,,,,,
2009,중구,3,85,547,14,978,"8,242.0",1,109,858,,,,,,,-,-,-,,,,"6,568",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,중구,3,85,547,14,978,"9,364.0",1,109,858,,,,,,,-,-,-,,,,"6,688",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,중구,3,85,547,14,978,"9,364.0",1,109,858,,,,,,,-,-,-,,,,"6,868",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,중구,3,85,547,14,978,"9,363.0",1,109,858,,,,,,,-,-,-,,,,"9,380",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,중구,3,85,547,14,979,"9,364",1,109,858,,,,,,,-,-,-,,,,"9,281",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,중구,3,85,547,14,979,"9,364",1,109,858,,,,,,,-,-,-,,,,"9,200",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,중구,3,85,547,13,921,"8,979",1,109,858,,,,,,,-,-,-,,,,"8,651",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,중구,3,85,547,13,921,"8,979",1,109,858,,,,,,,-,-,-,,,,"8,621",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,중구,2,55,322,13,921,"8,979",1,109,858,,,,,,,-,-,-,,,,"8,641",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,중구,2,55,322,13,921,"8,979",1,109,858,,,,,,,-,-,-,,,,"8,694",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,중구,2,55,322,12,799,"8,189",1,109,858,,,,,,,-,-,-,,,,"8,665",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
