"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1995,합계,"10,595,943","10,584,302",99.9,"6,190,000","4,958,903",469,"1,873,286"
1995,종로구,"204,733","204,733",100,…,…,0...,"45,278"
1995,중구,"145,646","145,646",100,…,…,0...,"33,106"
1995,용산구,"260,993","260,993",100,…,…,0...,"43,926"
1995,성동구,"342,648","342,648",100,…,…,0...,"50,344"
1995,광진구,"391,148","391,148",100,…,…,0...,"49,522"
1995,동대문구,"420,069","420,069",100,…,…,0...,"67,305"
1995,중랑구,"454,951","454,951",100,…,…,0...,"65,685"
1995,성북구,"497,614","497,614",100,…,…,0...,"82,750"
1995,강북구,"395,078","394,448",99.8,…,…,0...,"66,496"
1995,도봉구,"374,271","374,271",100,…,…,0...,"72,775"
1995,노원구,"599,462","599,368",99.9,…,…,0...,"139,145"
1995,은평구,"503,272","503,272",100,…,…,0...,"84,749"
1995,서대문구,"371,449","371,449",100,…,…,0...,"67,214"
1995,마포구,"400,409","400,409",100,…,…,0...,"73,402"
1995,양천구,"487,130","486,885",99.9,…,…,0...,"91,667"
1995,강서구,"523,606","521,576",99.6,…,…,0...,"103,612"
1995,구로구,"383,224","383,224",100,…,…,0...,"58,959"
1995,금천구,"284,609","284,609",100,…,…,0...,"33,008"
1995,영등포구,"417,914","417,914",100,…,…,0...,"61,047"
1995,동작구,"436,684","436,684",100,…,…,0...,"73,577"
1995,관악구,"558,462","558,462",100,…,…,0...,"82,454"
1995,서초구,"407,887","407,279",99.9,…,…,0...,"86,373"
1995,강남구,"559,032","551,532",98.7,…,…,0...,"128,851"
1995,송파구,"669,042","669,042",100,…,…,0...,"126,846"
1995,강동구,"506,610","506,076",99.9,…,…,0...,"85,195"
