"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,동작구,"440,361","440,361",100,…,…,0...,"65,469"
1994,동작구,"440,651","440,651",100,…,…,0...,"70,541"
1995,동작구,"436,684","436,684",100,…,…,0...,"73,577"
1996,동작구,"434,873","434,873",100,…,…,0...,"75,325"
1997,동작구,"432,300","432,300",100,…,…,0...,"79,574"
1998,동작구,"425,942","425,942",100,…,…,…,"76,851"
1999,동작구,"420,564","420,564",100,…,…,…,"76,768"
2000,동작구,"417,396","417,396",100,…,"183,226.9687",373,"75,356"
2001,동작구,"407,793","407,793",100,…,…,…,"66,938"
2002,동작구,"404,872","404,872",100,…,…,0...,"85,582"
2003,동작구,"413,204","413,204",100,…,…,0...,"69,834"
2004,동작구,"414,199","414,199",100,…,…,0...,0...
2005,동작구,"414,668","414,668",100,…,…,…,"70,389"
2006,동작구,"414,978","414,978",100,…,"130,160",314,"70,446"
2007,동작구,"414,839","414,839",100,…,"127,668",308,"69,980"
2008,동작구,"410,934","410,934",100,-,"119,011",290,"69,386"
2009,동작구,"407,973","407,973",100,-,"113,860",279,"69,741"
2010,동작구,"413,814","413,814",100,-,"119,589",289,"67,957"
2011,동작구,"413,658","413,658",100,-,"168,380",271,"71,085"
2012,동작구,"416,268","416,268",100,-,"111,350",267,"73,323"
2013,동작구,"421,487","421,487",100,-,"134,676",320,"74,962"
2014,동작구,"419,261","419,261",100,-,"114,005",272,"76,218"
2015,동작구,"412,774","412,774",100,-,"109,390",265,"76,911"
2016,동작구,"413,247","413,247",100,-,"114,394",277,"78,853"
2017,동작구,"408,493","408,493",100,-,"107,412",263,"80,332"
2018,동작구,"409,385","409,385",100,-,"106,707",261,"81,279"
2019,동작구,"408,912","408,912",100,-,"114,610",280,"82,771"
