"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,양천구,"499,848","499,570",99.9,…,…,0...,"85,091"
1994,양천구,"492,449","491,957",99.9,…,…,0...,"86,447"
1995,양천구,"487,130","486,885",99.9,…,…,0...,"91,667"
1996,양천구,"486,839","486,678",99.9,…,…,0...,"94,606"
1997,양천구,"485,914","485,740",99.9,…,…,0...,"97,948"
1998,양천구,"484,907","484,733",99.9,…,…,…,"93,467"
1999,양천구,"481,622","481,581",99.9,…,…,…,"93,172"
2000,양천구,"488,282","488,241",99.99,…,"137,319.718",373,"93,092"
2001,양천구,"486,095","486,095",100,…,…,…,"92,385"
2002,양천구,"486,350","486,350",100,…,…,0...,"96,353"
2003,양천구,"489,257","489,257",100,…,…,0...,"97,489"
2004,양천구,"497,642","497,642",100,…,…,0...,0...
2005,양천구,"502,788","502,788",100,…,…,…,"98,416"
2006,양천구,"505,606","505,606",100,…,"133,377",264,"98,475"
2007,양천구,"508,566","508,566",100,…,"129,230",254,"99,661"
2008,양천구,"507,899","507,899",100,-,"129,029",254,"100,374"
2009,양천구,"506,684","506,684",100,-,"129,810",256,"100,884"
2010,양천구,"505,223","505,223",100,-,"130,278",258,"99,186"
2011,양천구,"505,605","505,605",100,-,"135,293",268,"102,694"
2012,양천구,"500,533","500,533",100,-,"134,510",269,"103,877"
2013,양천구,"496,934","496,934",100,-,"129,661",261,"105,080"
2014,양천구,"490,708","490,708",100,-,"147,488",301,"106,994"
2015,양천구,"489,010","489,010",100,-,"125,072",256,"108,492"
2016,양천구,"481,845","481,845",100,-,"120,905",251,"109,501"
2017,양천구,"475,018","475,018",100,-,"125,268",264,"110,375"
2018,양천구,"468,145","468,145",100,-,"127,486",272,"116,848"
2019,양천구,"462,285","462,285",100,-,"138,064",299,"112,822"
