Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,강서구,"41,400,000","14,518,570","119,559","119,559",-,"13,985,594","2,642,647","6,670,483","4,672,465","413,417","754,278","450,000","61,796","242,482",-,"1,770,000","1,770,000","24,357,152",-,"1,747,797","22,609,355",,,
2004,강서구,"41,390,000","14,518,570","119,559","119,559",-,"13,985,594","2,700,874","6,718,946","4,565,774","413,417","744,278","450,000","61,796","232,482",-,"1,770,000","1,770,000","24,357,152",-,"1,747,797","22,609,355",,,
2005,강서구,"41,400,000","14,574,896","166,544","166,544",-,"13,995,666","2,651,993","6,670,483","4,673,190","412,686","754,278","450,000","61,796","242,482",-,"1,770,000","1,770,000","24,300,826",-,"1,738,451","22,562,375",,,
2006,강서구,"41,400,000","12,580,188","166,544","166,544",-,"12,000,958","2,302,438","5,658,619","4,039,901","412,686","826,124","450,000","61,796","314,328",-,"1,770,000","1,770,000","26,223,688",-,"216,039","26,007,649",,,
2007,강서구,"41,400,000","12,635,670","166,544","166,544",-,"12,049,754","2,308,221","5,682,555","4,058,978","419,372","778,584","450,000","80,367","248,217",-,"1,770,000","1,770,000","26,215,746",-,"216,039","25,999,707",,,
2008,강서구,"41,400,000","13,654,621","166,544","166,544",-,"12,800,942","2,208,701","5,701,335","4,890,906","687,135","1,453,722","1,125,138","80,367","248,217",-,"2,882,515","2,882,515","23,409,142",-,"216,039","23,193,103",,,
2009,강서구,"41,400,000","13,654,621","166,544","166,544",-,"12,800,942","2,208,701","5,659,911","4,932,330","687,135","1,453,722","1,125,138","80,367","248,217",-,"2,882,515","2,882,515","23,409,142",-,"216,039","23,193,103",,,
2010,강서구,"41,400,000","13,657,198","166,544","166,544",-,"12,730,492","2,235,085","5,657,577","4,837,830","760,162","1,491,337","1,162,753","80,367","248,217",-,"2,882,515","2,882,515","23,368,950",-,"213,483","23,155,467",,,
2011,강서구,"41,400,000","13,656,737","166,544","166,544",-,"12,730,256","2,235,085","5,657,577","4,837,594","759,937","1,492,974","1,164,390","80,367","248,217",-,"2,880,878","2,880,878","23,369,411",-,"213,483","23,155,928",,,
2012,강서구,"41,400,000","13,815,735","166,544","166,544",-,"12,754,149","2,235,085","5,636,290","4,882,774","895,042","1,338,183","1,009,599","80,367","248,217",-,"2,880,805","2,880,805","23,365,277",-,"213,483","23,151,794",,,
2013,강서구,"41,400,000","13,815,735","166,544","166,544",-,"12,754,149","2,216,686","5,637,552","4,899,911","895,042","1,338,183","1,009,599","80,367","248,217",-,"2,880,805","2,880,805","23,365,277",-,"213,483","23,151,794",,,
2014,강서구,"41,400,000","13,815,735","166,544","166,544",-,"12,754,149","2,216,686","5,637,552","4,899,911","895,042","1,338,183","1,009,599","80,367","248,217",-,"2,880,805","2,880,805","23,365,277",-,"213,483","23,151,794",,,
2015,강서구,"41,462,497","14,719,962",,"157,968",-,,"2,435,477","1,166,680","5,254,481","806,249","1,321,659","992,742","80,662","248,255",-,"2,919,995","2,919,995","22,500,881",-,"371,340","22,129,541","157,968","13,755,745","4,899,107"
2016,강서구,"41,462,497","14,719,962",,"157,968",-,,"2,435,477","1,197,917","5,254,481","806,249","1,321,659","992,742","80,662","248,255",-,"2,919,995","2,919,995","22,500,881",-,"371,340","22,129,541","157,968","13,755,745","4,867,870"
2017,강서구,"41,462,497","14,719,962",,"157,968",-,,"2,435,477","1,280,407","5,248,736","811,994","1,321,659","992,742","80,662","248,255",-,"2,919,995","2,919,995","22,500,881",-,"371,340","22,129,541","157,968","13,750,000","4,785,380"
2018,강서구,"41,462,497","14,719,962",,"157,968",-,,"2,435,477","1,280,407","5,248,736","811,994","1,321,659","992,742","80,662","248,255",-,"2,919,995","2,919,995","22,500,881",-,"371,340","22,129,541","157,968","13,750,000","4,785,380"
2019,강서구,"41,462,497","14,717,833",,"157,968",-,,"2,425,477","1,289,407","5,246,669","813,344","1,323,788","992,742","82,791","248,255",-,"2,919,995","2,919,995","22,500,881",-,"371,340","22,129,541","157,968","13,746,521","4,784,968"
