Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,구로구,"20,120,000","6,783,134",-,-,-,"6,650,165","956,480","4,061,559","1,632,126","132,969","407,719","407,719",-,-,-,"6,894,655","6,894,655","6,034,492",-,-,"6,034,492",,,
2004,구로구,"20,122,000","6,799,891",-,-,-,"6,663,922","971,393","4,062,229","1,630,300","135,969","447,910","447,910",-,-,-,"6,848,334","6,848,334","6,025,865",-,-,"6,025,865",,,
2005,구로구,"20,120,000","7,123,712",-,-,-,"6,971,073","1,066,243","4,254,752","1,650,078","152,639","447,910","447,910",-,-,-,"6,848,334","6,848,334","5,700,044",-,-,"5,700,044",,,
2006,구로구,"20,120,000","7,129,958",-,-,-,"6,977,809","1,085,854","4,223,925","1,668,030","152,149","473,561","473,561",-,-,-,"6,817,107","6,817,107","5,699,374",-,-,"5,699,374",,,
2007,구로구,"20,120,000","7,132,064",-,-,-,"6,979,915","1,085,854","4,219,131","1,674,930","152,149","473,561","473,561",-,-,-,"6,817,107","6,817,107","5,697,268",-,-,"5,697,268",,,
2008,구로구,"20,120,000","7,237,938",-,-,-,"7,085,789","1,085,854","4,254,021","1,745,914","152,149","473,561","473,561",-,-,-,"6,520,740","6,520,740","5,887,761",-,-,"5,887,761",,,
2009,구로구,"20,120,000","7,237,938",-,-,-,"7,085,789","1,085,854","4,257,836","1,742,099","152,149","473,561","473,561",-,-,-,"6,520,740","6,520,740","5,887,761",-,-,"5,887,761",,,
2010,구로구,"20,120,000","7,211,810",-,-,-,"6,904,533","1,089,880","4,043,379","1,771,274","307,277","523,690","523,690",-,-,-,"6,455,245","6,455,245","5,929,255",-,-,"5,929,255",,,
2011,구로구,"20,120,000","7,211,987",-,-,-,"6,904,710","1,075,023","4,058,413","1,771,275","307,277","523,690","523,690",-,-,-,"6,455,245","6,455,245","5,929,078",-,-,"5,929,078",,,
2012,구로구,"20,120,000","7,211,987",-,-,-,"6,904,710","1,075,023","4,058,413","1,771,275","307,277","523,690","523,690",-,-,-,"6,455,245","6,455,245","5,929,078",-,-,"5,929,078",,,
2013,구로구,"20,120,000","7,785,152",-,-,-,"7,429,682","1,096,005","4,154,089","2,179,588","355,470","523,690","523,690",-,-,-,"6,455,245","6,455,245","5,355,913",-,-,"5,355,913",,,
2014,구로구,"20,120,000","7,237,475",-,-,-,"7,085,326","1,071,190","4,264,512","1,749,624","152,149","473,561","473,561",-,-,-,"6,520,740","6,520,740","5,888,224",-,-,"5,888,224",,,
2015,구로구,"20,136,328","10,187,818",,-,-,,"1,276,259","1,916,394","2,766,027","279,707","513,589","513,589",-,-,-,"4,277,059","4,277,059","5,157,862",-,857,"5,157,005",-,"9,908,111","3,949,431"
2016,구로구,"20,136,328","10,187,818",,-,-,,"1,276,259","1,916,394","2,766,027","279,707","513,589","513,589",-,-,-,"4,277,059","4,277,059","5,157,862",-,857,"5,157,005",-,"9,908,111","3,949,431"
2017,구로구,"20,136,328","10,187,818",,-,-,,"1,276,259","1,916,394","2,738,778","290,064","513,589","513,589",-,-,-,"4,277,059","4,277,059","5,157,862",-,857,"5,157,005",-,"9,897,754","3,966,323"
2018,구로구,"20,136,328","10,188,383",,-,-,,"1,276,259","1,916,694","2,738,778","290,329","513,589","513,589",-,-,-,"4,276,794","4,276,794","5,157,562",-,857,"5,156,705",-,"9,898,054","3,966,323"
2019,구로구,"20,136,328","10,188,383",,-,-,,"1,276,259","1,916,694","2,738,778","290,329","513,589","513,589",-,-,-,"4,276,794","4,276,794","5,157,562",-,857,"5,156,705",-,"9,898,054","3,966,323"
