Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,동작구,"16,350,000","15,425,083",-,-,-,"15,336,772","4,712,579","6,782,258","3,841,935","88,311","224,917","192,570","32,347",-,-,-,-,"700,000",-,-,"700,000",,,
2004,동작구,"16,350,000","15,425,083",-,-,-,"15,336,772","4,705,392","6,789,445","3,841,935","88,311","224,917","192,570","32,347",-,-,-,-,"700,000",-,-,"700,000",,,
2005,동작구,"16,350,000","15,425,083",-,-,-,"15,336,772","4,691,243","6,787,825","3,857,704","88,311","224,917","192,570","32,347",-,-,-,-,"700,000",-,-,"700,000",,,
2006,동작구,"16,350,000","15,357,085",-,-,-,"15,268,774","4,642,680","6,765,904","3,860,190","88,311","292,915","192,570","32,347","67,998",-,-,-,"700,000",-,-,"700,000",,,
2007,동작구,"16,350,000","15,357,085",-,-,-,"15,268,854","4,577,442","6,778,549","3,912,863","88,231","292,915","192,570","32,347","67,998",-,-,-,"700,000",-,-,"700,000",,,
2008,동작구,"16,350,000","15,356,452",-,-,-,"15,255,110","4,561,103","6,782,818","3,911,189","101,342","293,548","193,203","32,347","67,998",-,-,-,"700,000",-,-,"700,000",,,
2009,동작구,"16,350,000","15,356,452",-,-,-,"15,255,110","4,591,042","6,503,984","4,160,084","101,342","293,548","193,203","32,347","67,998",-,-,-,"700,000",-,-,"700,000",,,
2010,동작구,"16,350,000","15,356,452",-,-,-,"15,255,110","4,595,217","6,500,371","4,159,522","101,342","293,548","193,203","32,347","67,998",-,-,-,"700,000",-,-,"700,000",,,
2011,동작구,"16,350,000","15,356,452",-,-,-,"15,243,021","4,595,040","6,500,548","4,147,433","113,431","293,548","193,203","32,347","67,998",-,-,-,"700,000",-,-,"700,000",,,
2012,동작구,"16,350,000","15,384,531",-,-,-,"15,231,915","4,577,820","6,513,051","4,141,045","152,616","263,523","191,785","32,347","39,391",-,-,-,"701,946",-,-,"701,946",,,
2013,동작구,"16,350,000","15,386,262",-,-,-,"15,227,751","4,577,820","6,510,915","4,139,017","158,511","263,523","191,785","32,347","39,391",-,-,-,"700,215",-,-,"700,215",,,
2014,동작구,"16,350,000","15,386,262",-,-,-,"15,227,751","4,577,607","6,505,728","4,144,416","158,511","263,523","191,785","32,347","39,391",-,-,-,"700,215",-,-,"700,215",,,
2015,동작구,"16,387,882","13,790,984",,-,-,,"4,034,371","2,067,418","3,731,972","212,540","344,623","267,548","30,777","46,298",-,-,-,"2,252,275",-,-,"2,252,275",-,"13,578,444","3,744,683"
2016,동작구,"16,387,882","13,790,984",,-,-,,"4,034,139","2,067,901","3,731,972","212,540","344,623","267,548","30,777","46,298",-,-,-,"2,252,275",-,-,"2,252,275",-,"13,578,444","3,744,432"
2017,동작구,"16,387,882","13,790,984",,-,-,,"4,034,883","2,067,893","3,700,525","244,134","344,623","267,548","30,777","46,298",-,-,-,"2,252,275",-,-,"2,252,275",-,"13,546,850","3,743,549"
2018,동작구,"16,387,882","13,790,984",,-,-,,"4,034,682","2,067,893","3,700,717","244,134","344,623","267,548","30,777","46,298",-,-,-,"2,252,275",-,-,"2,252,275",-,"13,546,850","3,743,558"
2019,동작구,"16,387,882","13,792,930",,-,-,,"4,022,213","2,082,320","3,693,280","239,407","344,623","267,548","30,777","46,298",-,-,-,"2,250,329",-,-,"2,250,329",-,"13,553,523","3,755,710"
