Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,종로구,"23,910,000","8,844,541","1,860,000","1,860,000",-,"6,847,421","3,528,432","2,610,006","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,335,459",-,-,"11,335,459",,,
2004,종로구,"23,914,523","8,982,312","1,999,649","1,999,649",-,"6,892,663","3,570,256","2,623,129","699,278","90,000","3,730,000","3,730,000",-,-,-,-,-,"11,202,211",-,-,"11,202,211",,,
2005,종로구,"23,910,000","8,984,190","1,999,649","1,999,649",-,"6,847,421","3,498,753","2,639,685","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2006,종로구,"23,910,000","8,984,190","1,641,601","1,641,601",-,"7,205,469","3,480,925","3,015,561","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2007,종로구,"23,910,000","8,984,190","1,641,601","1,641,601",-,"7,205,469","4,212,150","2,284,336","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2008,종로구,"23,910,000","8,984,190","1,641,601","1,641,601",-,"7,205,469","4,198,119","2,298,367","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2009,종로구,"23,910,000","8,984,190","1,641,601","1,641,601",-,"7,205,469","4,154,502","2,341,984","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2010,종로구,"23,910,000","8,964,805","1,641,601","1,641,601",-,"7,138,962","4,181,915","2,266,404","690,643","184,242","3,749,385","3,749,385",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2011,종로구,"23,910,000","8,964,805","1,641,601","1,641,601",-,"7,138,962","4,181,915","2,266,404","690,643","184,242","3,749,385","3,749,385",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2012,종로구,"23,910,000","8,964,805","1,641,601","1,641,601",-,"7,138,962","4,181,915","2,266,404","690,643","184,242","3,749,385","3,749,385",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2013,종로구,"23,910,000","8,984,190","1,641,601","1,641,601",-,"7,205,469","4,154,502","2,341,984","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2014,종로구,"23,910,000","8,984,190","1,641,601","1,641,601",-,"7,205,469","4,154,502","2,341,984","708,983","137,120","3,730,000","3,730,000",-,-,-,-,-,"11,195,810",-,-,"11,195,810",,,
2015,종로구,"23,972,507","9,830,557",,"1,589,410",-,,"4,318,554","761,642","763,319","199,099","2,937,285","2,937,285",-,-,-,-,-,"11,204,665",-,-,"11,204,665","1,589,410","8,042,048","2,198,533"
2016,종로구,"23,972,507","9,830,557",,"1,589,410",-,,"4,318,554","761,642","762,614","199,099","2,937,285","2,937,285",-,-,-,-,-,"11,204,665",-,-,"11,204,665","1,589,410","8,042,048","2,199,238"
2017,종로구,"23,972,507","9,830,557",,"1,589,410",-,,"4,376,181","704,764","762,614","199,099","2,937,285","2,937,285",-,-,-,-,-,"11,204,665",-,-,"11,204,665","1,589,410","8,042,048","2,198,489"
2018,종로구,"23,972,507","9,830,557",,"1,589,410",-,,"4,376,181","704,764","762,614","199,099","2,937,285","2,937,285",-,-,-,-,-,"11,204,665",-,-,"11,204,665","1,589,410","8,042,048","2,198,489"
2019,종로구,"23,972,507","9,830,838",,"1,589,410",-,,"4,376,462","704,764","762,614","199,099","2,937,285","2,937,285",-,-,-,-,-,"11,204,384",-,-,"11,204,384","1,589,410","8,042,329","2,198,489"
