"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
2006,합계,"605,326,260.3","13,984,209.2","16,613,538.8","116,754.0","2,742.0","150,069,041.8","215,948,492.0","3,091,613.0","23,301,866.5","75,067,566.3","6,938,312.1","51,969,018.0","3,840,215.2","4,221,160.1","1,478,843.9","1,804,648.0","11,058,812.8","753,684.5","211,067.0","1,567,825.3","1,468,363.7","2,681,307.5","17,795,061.6",-,"714,354.2","564,225.6","63,537.2",-
2006,종로구,"23,909,483.9","871,511.5",-,-,-,"9,448,708.4","8,239,893.2",-,"859,188.4","2,307,402.6",251.6,"278,496.9","10,946.9","178,036.9",-,-,"277,710.5",-,-,"96,569.3","1,201,259.2","11,001.0","105,331.3",-,"14,304.7","8,871.5",-,-
2006,중구,"9,960,988.6",-,-,-,-,"1,365,146.1","5,321,167.5",-,"389,566.5","2,091,438.7","123,212.6","29,511.4",-,"15,751.2",-,"30,846.2","332,085.4","97,351.6",-,"111,090.6","7,518.7",-,"19,630.9",-,"19,642.2","7,029.0",-,-
2006,용산구,"21,866,836.2","71,332.7",-,-,-,"1,697,217.0","10,001,888.1",-,"610,050.5","2,376,140.2","1,284,605.9","4,777,219.4","155,981.1","101,903.2","46,106.2",308.8,"38,142.2",484.6,-,"52,116.9","1,783.4","43,594.0","575,426.6",-,"15,214.0","11,593.3","5,728.1",-
2006,성동구,"16,847,733.3","228,394.3","28,182.0",-,-,"291,252.3","6,350,437.5","473,353.9","900,184.8","2,228,224.5","304,566.9","3,784,463.5","355,171.8","94,402.4","94,252.4","269,419.0","450,621.5","9,853.0","201,513.0","34,731.9",175,"13,410.0","708,431.7",-,"14,196.6","4,576.7","7,918.6",-
2006,광진구,"17,051,607.0","49,225.0","20,775.0",-,-,"2,543,077.4","7,052,495.5",195,"1,056,585.8","2,430,951.0","3,768.7","2,524,862.2","170,961.0","68,456.6","29,309.3","326,240.5","659,621.3",-,-,"17,707.1",-,"14,588.0","48,772.0",-,"12,609.9","21,405.7",-,-
2006,동대문구,"14,213,925.5","72,238.9","46,016.0",-,-,"1,036,867.0","7,845,469.6",-,"1,221,923.9","2,586,415.3","426,076.8","495,109.8","125,084.1","99,887.0","4,324.0",724,"113,636.5",-,-,"81,757.4",-,"11,278.0","23,098.7",-,"5,225.9","18,792.6",-,-
2006,중랑구,"18,499,950.1","630,382.0","357,326.0","71,561.0",-,"3,724,647.0","6,803,948.0","4,234.9","622,365.4","2,621,342.2","409,326.6","896,253.6","170,521.7","190,623.3","73,119.3","3,958.0","333,232.1",-,-,"63,525.3",-,"1,416,050.7","53,428.9",-,"25,343.3","25,097.7","3,663.1",-
2006,성북구,"24,566,023.1","97,544.0","62,145.0",-,-,"8,690,999.4","10,338,382.0",-,"1,537,207.6","2,617,877.7","144,986.0","549,537.6","33,678.0","161,725.0","1,434.0","6,080.7","80,645.6",-,-,"102,104.5","2,409.0","53,976.0","44,958.8",-,"10,881.7","27,789.2","1,661.3",-
2006,강북구,"23,604,135.7","84,549.0","42,242.0",-,-,"13,340,547.3","6,727,617.9","4,290.4","492,490.4","1,959,804.7",-,"339,735.9",65,"89,702.9","2,598.0","25,122.0","178,151.5",-,"9,554.0","79,005.4",-,"78,140.0","108,085.8",-,"21,773.1","20,468.4",192,-
