"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,강남구,"38,956,288.0","3,132,053.0","2,330,407.0",-,-,"7,471,808.0","13,881,662.0",-,"1,311,722.0","5,081,995.0",-,"3,677,082.0","113,028.0","154,048.0","21,678.0","17,941.0","628,017.0",-,-,"8,925.0","11,438.0","47,179.0","1,067,305.0",-,-,-,-,-
1991,강남구,"38,972,709.0","3,106,497.0","2,329,633.0",-,-,"7,470,286.0","13,867,648.0",-,"1,311,722.0","5,119,414.0",-,"3,679,703.0","113,028.0","154,049.0","21,678.0","17,941.0","642,149.0",-,-,"9,182.0","11,438.0","47,056.0","1,071,285.0",-,-,-,-,-
1992,강남구,"39,147,166.8","2,408,246.5","2,196,544.0",-,-,"7,219,529.8","14,335,841.1",-,"1,463,906.3","5,655,924.8",-,"3,744,944.3","111,610.3","154,009.5","21,677.5","17,941.0","661,294.6",-,-,"17,101.1","11,438.0","46,130.9","1,081,027.1",-,-,-,-,-
1993,강남구,"39,263,306.7","2,392,645.3","2,187,471.0",-,-,"7,208,392.3","14,382,460.3",-,"1,479,244.8","5,799,111.9",-,"3,744,178.3","111,610.3","153,591.5","21,677.5","17,941.0","680,582.8",-,-,"17,907.7","11,438.0","46,130.9","1,008,923.1",-,-,-,-,-
1994,강남구,"39,548,142.8","1,928,357.0","2,063,404.3",-,-,"6,786,020.9","14,606,904.6",-,"1,238,199.6","6,086,940.6","207,365.0","4,155,832.7","164,406.4","145,991.5","4,258.0","17,483.7","925,096.9",-,-,"88,754.5",-,"50,148.0","1,078,979.1",-,-,-,-,-
1995,강남구,"39,549,483.1","1,913,795.5","2,061,991.3",-,-,"6,786,715.9","14,611,115.7",-,"1,238,199.6","6,099,883.3","207,365.0","4,155,445.7","164,406.4","145,916.5","4,258.0","17,483.7","925,096.9",-,-,"88,754.5",-,"50,148.0","1,078,907.1",-,-,-,-,-
1996,강남구,"39,547,148.9","1,380,832.5","1,589,442.3",-,-,"6,436,410.9","15,512,475.7",-,"1,450,289.1","6,293,987.4","213,915.2","4,101,321.7","164,331.4","112,352.5","4,258.0","24,173.6","1,066,617.9",-,-,"99,082.9",-,"49,315.0","1,048,342.8",-,-,-,-,-
1997,강남구,"39,549,013.1","1,354,849.0","1,580,669.3",-,-,"6,423,920.9","15,522,745.8",-,"1,460,670.1","6,301,014.6","213,915.2","4,067,522.7","146,249.5","110,977.5","88,311.3","24,173.6","1,066,617.9",-,-,"99,082.9",-,"49,315.0","1,038,977.8",-,-,-,-,-
1998,강남구,"39,547,475.3","1,348,045.0","1,578,127.3",-,-,"6,391,153.9","15,503,408.5","4,801.0","1,460,703.8","6,320,823.6","213,950.2","4,071,167.7","145,936.5","110,129.5","88,297.3","24,173.6","1,087,425.6","6,908.1",-,"99,082.9",-,"49,315.0","1,044,025.8",-,-,-,-,-
1999,강남구,"39,547,197.8","1,346,363.0","1,567,591.3",-,-,"6,378,762.9","15,494,029.1","4,801.0","1,442,412.5","6,343,923.6","215,367.2","4,069,624.7","145,936.5","109,957.5","88,297.3","24,173.6","1,100,271.0","6,908.1",-,"116,820.4",-,"49,315.0","1,042,643.1",-,-,-,-,-
