"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,서초구,"47,536,825.0","4,150,712.0","3,633,085.0","5,333.0",-,"19,298,937.0","10,368,093.0",-,"575,212.0","4,312,987.0","17,644.0","2,574,606.0","235,847.0","709,023.0","80,365.0","12,201.0","516,075.0",-,170,"8,981.0",338,"29,703.0","1,007,513.0",-,-,-,-,-
1991,서초구,"47,533,558.0","4,149,566.0","3,630,173.0","5,333.0",-,"19,245,241.0","10,420,357.0","3,297.0","569,927.0","4,315,557.0","17,644.0","2,576,636.0","235,847.0","707,299.0","80,365.0","12,201.0","516,075.0",-,170,"10,393.0",338,"29,703.0","1,007,436.0",-,-,-,-,-
1992,서초구,"47,354,345.5","2,900,178.0","3,259,072.9","5,333.0",-,"18,551,886.5","12,123,944.9",-,"773,900.1","4,744,846.6","17,644.0","2,576,497.4","235,846.8","707,964.0","80,364.6","12,201.3","562,593.5",-,170,"12,173.7",338,"25,230.0","764,160.2",-,-,-,-,-
1993,서초구,"47,317,964.6","2,893,293.0","3,253,869.9","5,333.0",-,"18,565,427.5","12,143,335.5",-,"750,545.6","4,696,966.6","17,644.0","2,500,111.4","235,846.8","698,090.0","80,364.6","12,201.3","562,593.5",-,170,"12,173.7",338,"25,177.0","766,893.2","97,590.0",-,-,-,-
1994,서초구,"47,198,144.9","2,848,474.0","2,880,886.0","5,333.0",-,"18,912,553.3","12,218,314.6",-,"761,406.5","5,192,971.3","17,644.0","2,459,838.0","218,217.6","337,094.6","76,663.6","23,697.3","576,153.7",-,170,"10,961.7",-,"25,688.0","632,077.7",-,-,-,-,-
1995,서초구,"47,186,742.8","2,830,857.0","2,831,241.0","5,333.0",388,"18,880,948.3","12,216,717.3",-,"767,367.5","5,277,293.9","3,643.8","2,466,488.2","217,596.6","337,094.6","76,663.6","23,560.3","576,366.4",-,170,"11,623.5",-,"25,688.0","637,701.8",-,-,-,-,-
1996,서초구,"47,144,386.7","2,815,472.0","2,814,135.0","5,333.0",388,"18,855,522.3","12,239,509.0",-,"768,409.5","5,299,326.1","3,643.8","2,432,356.2","217,596.6","337,094.6","76,663.6","23,560.3","576,944.4",-,170,"11,623.5",-,"25,688.0","640,950.8",-,-,-,-,-
1997,서초구,"47,130,641.7","2,717,331.0","2,736,069.0","5,333.0",388,"18,796,040.9","12,360,267.3",-,"777,984.6","5,391,768.7","3,643.8","2,420,578.2","217,596.6","330,488.6","76,663.6","23,560.3","589,394.1",-,170,"16,736.2",-,"25,624.0","641,003.8",-,-,-,-,-
1998,서초구,"47,137,622.5","2,616,488.0","2,630,817.0","5,333.0",388,"18,573,716.9","12,393,481.7",-,"777,927.6","5,785,824.1","3,643.8","2,417,923.2","217,305.6","327,645.6","76,663.6","23,560.3","594,178.1",-,170,"18,559.2",-,"24,146.0","649,850.8",-,-,-,-,-
1999,서초구,"47,139,842.6","2,605,647.0","2,597,376.0","5,333.0",388,"18,547,667.9","12,398,023.4",-,"781,198.6","5,846,630.1","3,643.8","2,421,428.2","217,305.6","327,029.6","76,663.6","23,560.3","594,178.1",-,170,"18,559.2",-,"23,333.0","651,707.2",-,-,-,-,-
