"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,성동구,"33,888,493.0","920,726.0","573,251.0",-,-,"3,793,819.0","13,961,053.0","628,555.0","1,642,729.0","4,284,160.0","264,989.0","5,504,777.0","505,431.0","204,220.0","104,678.0","432,412.0","555,832.0",-,"272,353.0","35,695.0",-,"102,594.0","101,219.0",-,-,-,-,-
1991,성동구,"33,901,896.0","888,263.0","307,197.0",-,-,"3,743,149.0","13,966,557.0","628,992.0","1,642,730.0","4,297,545.0","264,672.0","5,589,273.0","507,524.0","205,069.0","104,678.0","432,412.0","555,832.0",-,"272,353.0","36,256.0",-,"102,544.0","356,850.0",-,-,-,-,-
1992,성동구,"33,945,496.6","860,070.2","306,551.7",-,-,"3,758,994.7","13,906,063.8","626,152.3","1,642,488.0","4,232,396.8","259,394.1","5,603,536.3","560,162.9","203,622.9","104,677.5","432,139.9","570,402.0",-,"272,353.0","39,385.1",-,"102,594.0","464,511.4",-,-,-,-,-
1993,성동구,"33,942,805.1","838,743.2","305,638.7",-,-,"3,718,614.8","13,944,944.2","597,869.4","1,643,199.9","4,339,930.3","259,331.1","5,618,803.3","560,162.9","202,615.9","104,677.5","431,984.9","570,402.0",-,"272,353.0","41,441.0",-,"102,594.0","389,499.0",-,-,-,-,-
1994,성동구,"33,890,456.6","507,390.3","237,177.0",-,-,"3,594,700.8","13,609,172.5","586,598.4","1,769,147.1","4,317,315.7","292,011.7","6,271,003.5","530,076.3","181,480.8","123,224.3","464,769.5","622,416.2",-,"272,353.0","39,006.4",175,"83,387.0","389,051.1",-,-,-,-,-
1995,성동구,"16,842,613.2","388,548.3","180,814.0",-,-,"587,182.8","6,490,505.5","551,870.8","804,296.8","2,113,541.4","286,154.2","3,809,609.3","358,019.8","109,954.5","103,486.2","287,172.0","51,188.4",-,"272,353.0","33,263.5",175,"67,455.0","347,022.7",-,-,-,-,-
1996,성동구,"16,842,463.0","387,267.3","180,193.0",-,-,"562,364.8","6,511,489.0","542,234.7","804,296.8","2,113,781.6","285,275.2","3,796,026.3","376,090.8","105,803.5","103,486.2","286,149.0","60,330.7",-,"272,353.0","33,035.5",175,"67,455.0","354,655.6",-,-,-,-,-
1997,성동구,"16,843,381.7","378,368.3","180,170.0",-,-,"551,211.8","6,535,052.9","524,623.6","804,372.8","2,132,643.8","285,275.2","3,796,026.3","376,170.8","105,808.5","103,486.2","285,993.0","57,252.4",-,"272,031.0","32,983.5",175,"67,455.0","354,281.6",-,-,-,-,-
1998,성동구,"16,842,601.9","363,370.3","180,170.0",-,-,"547,783.8","6,541,081.1","523,567.9","804,334.8","2,140,767.8","284,657.2","3,796,026.3","376,412.8","105,737.5","103,485.2","285,417.0","62,450.1",-,"272,031.0","32,613.5",175,"67,455.0","355,065.6",-,-,-,-,-
1999,성동구,"16,844,688.0","336,672.3","180,170.0",-,-,"547,356.8","6,569,516.3","516,413.9","805,776.8","2,150,069.9","284,657.2","3,793,474.3","376,412.8","106,177.5","103,485.2","284,313.0","63,228.9",-,"272,031.0","32,613.5",175,"67,141.0","355,002.6",-,-,-,-,-
2000,성동구,"16,844,173.2","328,815.3","178,448.0",-,-,"543,509.8","6,581,600.6","516,005.5","805,922.8","2,157,436.0","284,657.2","3,792,206.3","376,865.8","106,200.4","103,485.2","284,227.0","62,950.3",-,"272,031.0","33,590.4",175,"59,948.0","356,098.6",-,-,-,-,-
2001,성동구,"16,844,664.5","320,980.3","178,448.0",-,-,"528,197.8","6,588,318.1","515,678.2","825,046.8","2,159,073.1","286,675.5","3,787,138.3","376,865.8","106,098.4","103,396.2","271,702.0","76,983.9",-,"272,031.0","34,184.7",175,"59,948.0","353,723.4",-,-,-,-,-
2002,성동구,"16,845,951.3","313,475.3","29,008.0",-,-,"493,615.8","6,432,828.8","495,870.2","846,660.8","2,163,878.3","286,675.5","3,788,150.3","355,861.8","95,202.4","103,396.2","268,404.0","81,689.5",-,"272,031.0","28,989.6",175,"59,862.0","718,901.4",-,"9,607.1",765.6,902.7,-
2003,성동구,"16,846,331.2","304,176.3","28,838.0",0,0,"492,915.8","6,426,457.5","484,922.7","852,731.8","2,164,340.8","286,526.5","3,790,051.3","355,861.8","95,202.4","103,396.2","273,166.0","84,688.8",0,"272,031.0","30,473.3",175,"59,862.0","718,805.4",0,"14,196.6","3,828.1","3,683.9",0
2004,성동구,"16,846,458.2","298,066.3","28,838.0",0,0,"303,296.2","6,462,098.1","484,032.1","852,731.8","2,164,763.4","284,160.0","3,798,548.3","355,861.8","94,723.4","103,396.2","273,579.0","340,168.2","3,044.0","217,067.0","31,125.9",175,"13,410.0","714,916.3",0,"14,196.6","4,576.7","3,683.9",0
