"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,중랑구,"18,117,189.0","1,500,178.0","1,021,946.0","176,622.0",-,"5,270,729.0","6,165,824.0",-,"312,744.0","1,980,082.0","111,623.0","292,364.0","101,234.0","318,417.0","74,056.0",-,"28,658.0",-,-,"16,846.0",-,"639,651.0","106,215.0",-,-,-,-,-
1991,중랑구,"18,126,119.0","1,487,747.0","1,017,802.0","176,515.0",-,"5,264,252.0","6,184,008.0",-,"312,744.0","2,001,110.0","111,623.0","298,920.0","82,616.0","317,176.0","74,056.0",-,"33,254.0",-,-,"19,757.0",-,"639,329.0","105,210.0",-,-,-,-,-
1992,중랑구,"18,127,054.8","1,367,106.3","931,090.8","173,999.0",-,"5,137,234.3","6,154,790.4",-,"347,481.3","2,000,749.3","144,908.9","545,832.9","166,043.0","314,619.6","73,893.8",-,"34,264.1",-,-,"19,757.3",-,"635,563.0","79,720.8",-,-,-,-,-
1993,중랑구,"18,129,832.1","1,332,968.3","910,523.8","151,676.0",-,"5,121,841.3","6,119,106.7",-,"422,272.1","2,053,741.2","144,915.9","544,941.9","170,600.0","314,001.6","73,893.8",-,"34,083.1",-,-,"21,284.6",-,"635,563.0","78,418.8",-,-,-,-,-
1994,중랑구,"18,522,301.3","1,162,016.0","846,760.0","146,553.0",-,"5,121,817.1","6,204,448.2",-,"450,537.6","2,220,372.5","213,373.5","892,695.2","180,093.7","252,731.3","74,081.3",-,"35,938.1",-,-,"23,076.8",-,"621,599.0","76,208.0",-,-,-,-,-
1995,중랑구,"18,523,728.4","1,138,589.0","829,453.0","146,123.0",-,"5,119,713.1","6,206,993.3",-,"451,458.6","2,265,041.8","218,085.6","891,945.7","180,093.7","246,923.2","74,081.3",-,"35,938.1",-,-,"23,410.0",-,"620,935.0","74,944.0",-,-,-,-,-
1996,중랑구,"18,526,571.7","1,122,441.0","798,275.0","146,123.0",-,"5,118,836.1","6,259,366.5",-,"454,094.6","2,276,709.9","218,296.6","891,945.7","180,093.7","246,131.2","74,081.3",-,"36,122.1",-,-,"23,917.0",-,"620,866.0","59,272.0",-,-,-,-,-
1997,중랑구,"18,511,494.8","1,083,141.0","795,325.0","151,051.0",-,"5,109,316.3","6,289,767.7",-,"453,887.6","2,279,472.3","217,087.6","891,552.7","181,208.7","246,002.2","74,081.3",-,"36,122.1",-,-,"23,227.1",-,"620,980.2","59,272.0",-,-,-,-,-
1998,중랑구,"18,509,535.9","781,887.0","705,080.0","91,729.0",-,"4,849,471.0","6,774,197.9",-,"553,420.1","2,391,225.5","217,087.6","887,660.7","180,793.7","218,104.1","73,175.3",-,"85,387.0",-,-,"27,811.9",-,"616,543.8","55,961.3",-,-,-,-,-
1999,중랑구,"18,506,129.1","766,294.0","694,683.0","91,729.0",-,"4,834,365.0","6,783,205.5",-,"562,770.3","2,405,050.8","217,087.6","887,660.7","180,394.2","217,880.1","73,175.3",-,"85,387.0",-,-,"30,482.9",-,"616,244.8","59,718.9",-,-,-,-,-
