Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,강동구,3,145,-,-,-,-,-,-,-,-,1,50,2,95,-,-,-,-,-,-,60.5,155.9,-,"2,242","2,027",214,,,,,,,,,,,,,,,,,,,,,
2009,강동구,3,145,-,-,-,-,-,-,-,-,1,50,2,95,-,-,-,-,-,-,50.1,145.4,-,"2,326","2,065",261,,,,,,,,,,,,,,,,,,,,,
2010,강동구,4,237,-,-,-,-,-,-,-,-,1,50,3,187,-,-,-,-,-,-,64.2,161.7,-,"3,084","2,682",402,,,,,,,,,,,,,,,,,,,,,
2011,강동구,4,241,-,-,-,-,-,-,-,-,2,88,2,153,-,-,-,-,-,-,54.9,87.7,-,"3,956","3,425",530,,,,,,,,,,,,,,,,,,,,,
2012,강동구,5,279,-,-,-,-,-,-,-,-,1,50,4,229,-,-,-,-,-,-,52.3,75.4,-,"3,383","3,004",379,-,-,,,,,,,,,,,,,,,,,,,
2013,강동구,5,279,-,-,-,-,-,-,-,-,1,50,4,229,-,-,-,-,-,-,59.3,77,-,"3,598","3,374",224,-,-,,,,,,,,,,,,,,,,,,,
2014,강동구,5,305,-,-,-,-,-,-,-,-,3,132,2,173,-,-,-,-,-,-,59.8,37,-,"2,554","2,383",171,-,-,,,,,,,,,,,,,,,,,,,
2015,강동구,4,265,-,-,-,-,-,-,-,-,3,173,1,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2016,강동구,4,265,-,-,-,-,-,-,-,-,4,265,-,-,-,-,-,-,-,-,63.5,-,-,"3,601","3,589",12,-,-,,,,,,,,,,,,,,,,,,,
2017,강동구,5,302,,,,,,,,,,,1,37,-,-,,,,,,-,-,"2,934","2,924",9,-,-,-,-,-,-,-,-,-,-,4,265,-,-,-,-,-,-,52.3,-,-
2018,강동구,5,302,,,,,,,,,,,-,-,-,-,,,,,,-,-,"3,202","3,202",-,-,-,-,-,-,-,1,50,-,-,4,252,-,-,-,-,-,-,60.9,-,-
2019,강동구,4,210,,,,,,,,,,,-,-,-,-,,,,,,…,…,"2,031","1,914",116,-,-,-,-,-,-,-,-,-,-,4,210,-,-,…,…,…,…,66.9,…,…
