Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,광진구,3,"1,147",1,930,-,-,2,217,-,-,-,-,-,-,-,-,55.4,-,70,-,-,-,-,"152,512","43,740","108,771",,,,,,,,,,,,,,,,,,,,,
2009,광진구,3,"1,147",1,930,-,-,2,217,-,-,-,-,-,-,-,-,63.8,-,77.5,-,-,-,-,"161,060","49,214","111,847",,,,,,,,,,,,,,,,,,,,,
2010,광진구,3,"1,160",1,930,-,-,2,230,-,-,-,-,-,-,-,-,72,-,77.2,-,-,-,-,"192,408","64,236","128,172",,,,,,,,,,,,,,,,,,,,,
2011,광진구,3,"1,080",1,863,-,-,2,217,-,-,-,-,-,-,-,-,67.6,-,84.9,-,-,-,-,"191,710","59,703","132,007",,,,,,,,,,,,,,,,,,,,,
2012,광진구,4,"1,245",1,930,-,-,2,231,-,-,-,-,1,84,-,-,69.1,-,86,-,-,-,-,"177,045","60,132","116,912",-,-,,,,,,,,,,,,,,,,,,,
2013,광진구,4,"1,245",1,930,-,-,2,231,-,-,-,-,1,84,-,-,58.6,-,70.1,-,-,-,-,"156,598","51,963","104,635",-,-,,,,,,,,,,,,,,,,,,,
2014,광진구,5,"1,300",1,930,-,-,2,231,1,55,-,-,1,84,-,-,63.9,89.7,76.5,-,-,-,-,"121,171","58,391","62,779",-,-,,,,,,,,,,,,,,,,,,,
2015,광진구,5,"1,300",2,"1,014",-,-,2,231,-,-,1,55,-,-,-,-,-,-,64.8,-,-,-,-,"2,406","1,135","1,271",-,-,,,,,,,,,,,,,,,,,,,
2016,광진구,6,"1,375",1,930,1,84,1,116,-,-,1,55,2,190,-,-,55.5,-,61.3,69.2,-,66.7,-,"131,153","44,753","86,400",-,-,,,,,,,,,,,,,,,,,,,
2017,광진구,9,"1,531",,,,,,,,,,,2,95,-,-,,,,,,71.1,-,"121,282","34,429","86,853",-,-,1,904,1,84,1,116,2,191,2,141,-,-,38.6,-,-,77,60.1,-,-
2018,광진구,13,"1,676",,,,,,,,,,,2,99,-,-,,,,,,-,-,"119,431","49,373","70,058",1,10,1,825,1,84,1,116,3,291,4,251,-,-,54.1,91.9,45.8,57.6,86,-,-
2019,광진구,11,"1,494",,,,,,,,,,,-,-,-,-,,,,,,…,…,"195,562","46,826","148,736",1,10,1,799,1,84,-,-,4,350,4,251,-,-,56.1,91.2,…,…,96,…,…
