"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2015,합계,381,…,…,18,112,251
2015,종로구,169,…,…,1,25,143
2015,중구,34,…,…,2,21,11
2015,용산구,9,…,…,2,3,4
2015,성동구,6,…,…,-,2,4
2015,광진구,15,…,…,3,8,4
2015,동대문구,1,…,…,-,-,1
2015,중랑구,1,…,…,-,1,-
2015,성북구,7,…,…,-,2,5
2015,강북구,3,…,…,-,2,1
2015,도봉구,4,…,…,-,1,3
2015,노원구,4,…,…,1,1,2
2015,은평구,1,…,…,-,1,-
2015,서대문구,8,…,…,-,5,3
2015,마포구,31,…,…,-,4,27
2015,양천구,3,…,…,-,3,-
2015,강서구,1,…,…,-,1,-
2015,구로구,5,…,…,1,3,1
2015,금천구,5,…,…,-,2,3
2015,영등포구,6,…,…,1,4,1
2015,동작구,1,…,…,-,1,-
2015,관악구,1,…,…,-,1,-
2015,서초구,23,…,…,2,11,10
2015,강남구,28,…,…,2,6,20
2015,송파구,10,…,…,3,2,5
2015,강동구,5,…,…,-,2,3
