"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,관악구,-,…,…,-,-,-
1994,관악구,-,…,…,-,-,-
1995,관악구,1,…,…,1,-,-
1996,관악구,1,…,…,1,-,-
1997,관악구,1,…,…,1,-,-
1999,관악구,1,…,…,1,-,-
2000,관악구,1,…,…,1,-,-
2001,관악구,-,…,…,-,-,-
2002,관악구,1,…,…,-,1,-
2003,관악구,-,…,…,-,-,-
2004,관악구,1,1,-,-,1,-
2005,관악구,1,1,-,-,1,-
2006,관악구,1,1,-,-,1,-
2007,관악구,1,1,-,-,1,-
2008,관악구,1,1,-,-,1,-
2009,관악구,1,1,-,-,1,-
2010,관악구,1,1,-,-,1,-
2011,관악구,1,1,-,-,1,-
2012,관악구,1,1,-,-,1,-
2013,관악구,1,1,-,-,1,-
2014,관악구,1,…,…,-,1,-
2015,관악구,1,…,…,-,1,-
2016,관악구,1,1,-,-,1,-
2017,관악구,1,1,-,-,1,-
2018,관악구,1,1,-,-,1,-
2019,관악구,1,1,-,-,1,-
