"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,구로구,-,…,…,-,-,-
1994,구로구,-,…,…,-,-,-
1995,구로구,-,…,…,-,-,-
1996,구로구,-,…,…,-,-,-
1997,구로구,-,…,…,-,-,-
1999,구로구,-,…,…,-,-,-
2000,구로구,1,…,…,-,1,-
2001,구로구,1,…,…,-,1,-
2002,구로구,1,…,…,-,1,-
2003,구로구,2,…,…,-,2,-
2005,구로구,1,1,-,-,1,-
2006,구로구,1,1,-,-,1,-
2007,구로구,3,2,1,-,3,-
2008,구로구,3,2,1,-,3,-
2009,구로구,4,2,2,-,3,1
2010,구로구,3,2,1,-,3,-
2011,구로구,7,2,5,1,4,2
2012,구로구,7,2,5,1,4,2
2013,구로구,6,2,4,1,3,2
2014,구로구,6,…,…,1,3,2
2015,구로구,5,…,…,1,3,1
2016,구로구,5,2,3,1,3,1
2017,구로구,6,3,3,1,3,2
2018,구로구,5,2,3,1,3,1
2019,구로구,7,3,4,1,4,2
