"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,동대문구,-,…,…,-,-,-
1994,동대문구,-,…,…,-,-,-
1995,동대문구,-,…,…,-,-,-
1996,동대문구,-,…,…,-,-,-
1997,동대문구,-,…,…,-,-,-
1999,동대문구,-,…,…,-,-,-
2000,동대문구,-,…,…,-,-,-
2001,동대문구,-,…,…,-,-,-
2002,동대문구,-,…,…,-,-,-
2003,동대문구,-,…,…,-,-,-
2014,동대문구,-,…,…,-,-,-
2015,동대문구,1,…,…,-,-,1
2016,동대문구,1,-,1,-,-,1
2017,동대문구,3,-,3,-,-,3
2018,동대문구,3,-,3,-,-,3
2019,동대문구,3,-,3,-,-,3
