"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,서초구,4,…,…,2,1,1
1994,서초구,4,…,…,2,1,1
1995,서초구,3,…,…,2,-,1
1996,서초구,4,…,…,2,-,2
1997,서초구,4,…,…,2,-,2
1999,서초구,4,…,…,2,-,2
2000,서초구,5,…,…,2,1,2
2001,서초구,4,…,…,2,2,-
2002,서초구,8,…,…,2,6,-
2003,서초구,7,…,…,2,5,-
2004,서초구,9,6,3,2,6,1
2005,서초구,14,8,6,2,8,4
2006,서초구,14,8,6,2,8,4
2007,서초구,14,8,6,2,8,4
2008,서초구,13,8,5,2,8,3
2009,서초구,13,8,5,3,7,3
2010,서초구,14,8,6,3,7,4
2011,서초구,16,9,7,2,9,5
2012,서초구,18,9,9,3,8,7
2013,서초구,22,11,11,3,9,10
2014,서초구,22,…,…,3,9,10
2015,서초구,23,…,…,2,11,10
2016,서초구,25,11,14,3,9,13
2017,서초구,29,14,15,3,11,15
2018,서초구,29,14,15,3,11,15
2019,서초구,29,14,15,3,11,15
