"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,성동구,4,…,…,2,-,2
1994,성동구,4,…,…,2,-,2
1995,성동구,4,…,…,1,1,2
1996,성동구,-,…,…,-,-,-
1997,성동구,-,…,…,-,-,-
1999,성동구,-,…,…,-,-,-
2000,성동구,-,…,…,-,-,-
2001,성동구,2,…,…,-,2,-
2002,성동구,-,…,…,-,-,-
2003,성동구,-,…,…,-,-,-
2005,성동구,1,1,-,-,1,-
2006,성동구,1,1,-,-,1,-
2007,성동구,1,1,-,-,1,-
2008,성동구,1,1,-,-,1,-
2009,성동구,1,1,-,-,1,-
2010,성동구,1,1,-,-,1,-
2011,성동구,1,1,-,-,1,-
2012,성동구,3,2,1,-,2,1
2013,성동구,3,2,1,-,2,1
2014,성동구,3,…,…,-,2,1
2015,성동구,6,…,…,-,2,4
2016,성동구,8,2,6,-,2,6
2017,성동구,8,2,6,-,2,6
2018,성동구,8,2,6,-,2,6
2019,성동구,8,2,6,-,2,6
