"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,양천구,-,…,…,-,-,-
1994,양천구,-,…,…,-,-,-
1995,양천구,-,…,…,-,-,-
1996,양천구,-,…,…,-,-,-
1997,양천구,-,…,…,-,-,-
1999,양천구,-,…,…,-,-,-
2000,양천구,1,…,…,-,1,-
2001,양천구,3,…,…,-,1,2
2002,양천구,4,…,…,-,2,2
2003,양천구,3,…,…,-,3,-
2004,양천구,2,2,-,-,2,-
2005,양천구,2,2,-,-,2,-
2006,양천구,2,2,-,-,2,-
2007,양천구,2,2,-,-,2,-
2008,양천구,3,2,1,-,3,-
2009,양천구,3,2,1,-,3,-
2010,양천구,3,2,1,-,3,-
2011,양천구,3,2,1,-,3,-
2012,양천구,5,2,3,-,4,1
2013,양천구,4,2,2,-,3,1
2014,양천구,5,…,…,-,4,1
2015,양천구,3,…,…,-,3,-
2016,양천구,3,2,1,-,3,-
2017,양천구,3,2,1,-,3,-
2018,양천구,3,2,1,-,3,-
2019,양천구,3,2,1,-,3,-
