"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2010,서울시,21.7,-,-,-
2010,종로구,22.7,5.9,71.3,22.9
2010,중구,19.7,5.6,74.7,22.7
2010,용산구,17.7,5.1,77.2,22.7
2010,성동구,21.6,6.6,71.9,22.8
2010,광진구,21,6.3,72.7,22.8
2010,동대문구,22.7,4.7,72.7,23
2010,중랑구,26.6,4.1,69.3,23.1
2010,성북구,23.2,5.7,71.1,23
2010,강북구,22.1,5.5,72.4,23
2010,도봉구,26.6,5.2,68.2,23.2
2010,노원구,25.1,6,69,23
2010,은평구,23.8,5.7,70.5,23
2010,서대문구,22.6,5.1,72.3,22.9
2010,마포구,23,5.5,71.5,22.9
2010,양천구,19.4,7.1,73.5,22.7
2010,강서구,21.2,5.9,72.9,22.8
2010,구로구,21.3,4.2,74.5,23
2010,금천구,22.4,5.4,72.1,23
2010,영등포구,22.6,6.2,71.3,23
2010,동작구,24.7,5.5,69.8,22.9
2010,관악구,20.5,5.4,74.1,22.8
2010,서초구,19.4,7.1,73.5,22.6
2010,강남구,16.3,9.7,74,22.2
2010,송파구,17.9,7,75.1,22.5
2010,강동구,21.1,6,72.9,22.7
