"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,서울시,21.4,-,-,-
2009,종로구,21.1,8.2,70.8,22.6
2009,중구,23.5,5.7,70.8,23
2009,용산구,19.5,6,74.5,22.7
2009,성동구,22.7,5.9,71.4,22.9
2009,광진구,20.2,6.7,73.1,22.6
2009,동대문구,20,6.1,73.9,22.7
2009,중랑구,18.2,4,77.8,22.7
2009,성북구,22.5,3.6,73.9,23
2009,강북구,23.4,5,71.6,22.9
2009,도봉구,21.5,6.1,72.4,22.8
2009,노원구,20.2,4.9,74.9,22.8
2009,은평구,23.5,5.8,70.7,23
2009,서대문구,19.5,7,73.5,22.6
2009,마포구,19.9,7.7,72.4,22.6
2009,양천구,25.4,5.9,68.7,23
2009,강서구,20.7,6.7,72.6,22.8
2009,구로구,25.4,6.1,68.5,23.1
2009,금천구,23.5,6.3,70.2,23
2009,영등포구,19.2,5.9,74.9,22.6
2009,동작구,20.9,7,72.1,22.8
2009,관악구,22.2,6.5,71.3,22.8
2009,서초구,22.5,7.4,70.2,22.8
2009,강남구,18.6,8.1,73.3,22.4
2009,송파구,19.9,7.1,73,22.6
2009,강동구,21.7,6.9,71.4,22.7
2010,서울시,21.7,-,-,-
2010,종로구,22.7,5.9,71.3,22.9
2010,중구,19.7,5.6,74.7,22.7
2010,용산구,17.7,5.1,77.2,22.7
2010,성동구,21.6,6.6,71.9,22.8
2010,광진구,21,6.3,72.7,22.8
2010,동대문구,22.7,4.7,72.7,23
2010,중랑구,26.6,4.1,69.3,23.1
2010,성북구,23.2,5.7,71.1,23
2010,강북구,22.1,5.5,72.4,23
2010,도봉구,26.6,5.2,68.2,23.2
2010,노원구,25.1,6,69,23
2010,은평구,23.8,5.7,70.5,23
2010,서대문구,22.6,5.1,72.3,22.9
2010,마포구,23,5.5,71.5,22.9
2010,양천구,19.4,7.1,73.5,22.7
2010,강서구,21.2,5.9,72.9,22.8
2010,구로구,21.3,4.2,74.5,23
2010,금천구,22.4,5.4,72.1,23
2010,영등포구,22.6,6.2,71.3,23
2010,동작구,24.7,5.5,69.8,22.9
2010,관악구,20.5,5.4,74.1,22.8
2010,서초구,19.4,7.1,73.5,22.6
2010,강남구,16.3,9.7,74,22.2
2010,송파구,17.9,7,75.1,22.5
2010,강동구,21.1,6,72.9,22.7
2011,서울시,22.7,-,-,-
2011,종로구,22,4.9,73.2,22.9
2011,중구,20.1,6.2,73.6,22.7
2011,용산구,22.6,7.2,70.2,22.9
2011,성동구,22.1,5.7,72.2,23
2011,광진구,20.6,6.2,73.3,22.7
2011,동대문구,26.3,5.1,68.6,23.2
2011,중랑구,26.5,5.3,68.1,23.2
2011,성북구,23.6,6.5,69.9,22.9
2011,강북구,25.3,7.3,67.4,23
2011,도봉구,24.7,6.3,69.1,23
2011,노원구,21,5.8,73.2,22.8
2011,은평구,23.5,5.2,71.3,23
2011,서대문구,25.6,6.3,68.1,23.2
2011,마포구,18.5,7.4,74.2,22.6
2011,양천구,23.1,4.5,72.4,23.1
2011,강서구,23.9,4.8,71.3,22.9
2011,구로구,24.8,6,69.2,23.1
2011,금천구,21.6,5.3,73.2,22.9
2011,영등포구,22.6,8.3,69.1,22.8
2011,동작구,22.5,5.2,72.3,22.9
2011,관악구,24.1,7.8,68.1,22.9
2011,서초구,20.9,6.3,72.8,22.8
2011,강남구,16.1,7.7,76.1,22.4
2011,송파구,22.7,5.9,71.5,22.7
2011,강동구,23.7,5.9,70.4,23
2012,서울시,23.7,-,-,-
2012,종로구,22.7,5.4,72,23.1
2012,중구,20.9,6.1,73,22.8
2012,용산구,27.7,4.9,67.5,23.1
2012,성동구,21.7,6.7,71.6,22.8
2012,광진구,21.3,6.5,72.2,22.9
2012,동대문구,27.4,4.2,68.4,23.3
2012,중랑구,24.9,5.3,69.8,23.2
2012,성북구,26.6,5.3,68.1,23.1
2012,강북구,23.8,6.7,69.5,23
2012,도봉구,25.1,5.5,69.4,23.1
2012,노원구,25.3,5.1,69.6,23.1
2012,은평구,21.4,6,72.6,22.8
2012,서대문구,25.7,6.5,67.8,23.1
2012,마포구,23.3,5.4,71.3,23
2012,양천구,24.3,4.8,70.9,23.1
2012,강서구,24.5,6.4,69.1,23
2012,구로구,22.2,5.4,72.4,23
2012,금천구,25.7,5.1,69.2,23.1
2012,영등포구,22.3,6.8,70.9,22.9
2012,동작구,23.7,5.6,70.7,23
2012,관악구,23.2,7.1,69.7,23
2012,서초구,20.9,7,72.1,22.7
2012,강남구,19.2,9.4,71.4,22.4
2012,송파구,24.6,5.6,69.8,22.9
2012,강동구,23.8,4.6,71.6,22.9
2013,서울시,23.2,-,-,-
2013,종로구,24,5.5,70.5,23
2013,중구,23.9,7.5,68.6,22.9
2013,용산구,22.5,6.9,70.7,22.8
2013,성동구,24.2,5.5,70.3,23.1
2013,광진구,20.8,5.6,73.6,22.8
2013,동대문구,26.1,4.3,69.6,23.3
2013,중랑구,24.4,4.6,71,23.1
2013,성북구,25,5.1,69.9,23.1
2013,강북구,24.1,5.9,70,23.1
2013,도봉구,27.4,4.4,68.3,23.1
2013,노원구,23.3,7.1,69.6,23
2013,은평구,23.1,4.2,72.6,23
2013,서대문구,26.1,5.7,68.2,23.2
2013,마포구,22.3,6.7,71,22.9
2013,양천구,24.4,5.8,69.9,22.9
2013,강서구,20.5,6.1,73.4,22.8
2013,구로구,27.3,5.2,67.6,23.2
2013,금천구,26.6,6.2,67.1,23.2
2013,영등포구,19.5,5.6,74.9,22.8
2013,동작구,23.5,7.3,69.2,22.9
2013,관악구,24.8,7,68.2,23
2013,서초구,20,7,73,22.6
