"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,강북구,23.4,5,71.6,22.9
2010,강북구,22.1,5.5,72.4,23
2011,강북구,25.3,7.3,67.4,23
2012,강북구,23.8,6.7,69.5,23
2013,강북구,24.1,5.9,70,23.1
2014,강북구,24.8,4.8,70.3,23.1
2015,강북구,29.5,4.6,65.8,23.4
2016,강북구,29.3,5.7,65,23.6
2017,강북구,29.6,3.9,66.5,23.5
2018,강북구,31.3,6.2,62.6,23.7
2019,강북구,30.3,5.7,64,23.6
