"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,구로구,25.4,6.1,68.5,23.1
2010,구로구,21.3,4.2,74.5,23
2011,구로구,24.8,6,69.2,23.1
2012,구로구,22.2,5.4,72.4,23
2013,구로구,27.3,5.2,67.6,23.2
2014,구로구,26.8,4.9,68.3,23.2
2015,구로구,25.6,4.3,70.1,23.2
2016,구로구,29.5,4.6,66,23.6
2017,구로구,27.7,3.5,68.8,23.4
2018,구로구,35.3,3.2,61.4,24
2019,구로구,33,3.5,63.5,23.9
