"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,금천구,23.5,6.3,70.2,23
2010,금천구,22.4,5.4,72.1,23
2011,금천구,21.6,5.3,73.2,22.9
2012,금천구,25.7,5.1,69.2,23.1
2013,금천구,26.6,6.2,67.1,23.2
2014,금천구,26.4,4.7,68.9,23.3
2015,금천구,30.5,4,65.5,23.4
2016,금천구,27.2,4,68.8,23.3
2017,금천구,28.4,5,66.6,23.5
2018,금천구,30.8,6,63.1,23.6
2019,금천구,35.2,4.3,60.5,23.9
