"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,노원구,20.2,4.9,74.9,22.8
2010,노원구,25.1,6,69,23
2011,노원구,21,5.8,73.2,22.8
2012,노원구,25.3,5.1,69.6,23.1
2013,노원구,23.3,7.1,69.6,23
2014,노원구,25.6,6,68.4,23
2015,노원구,24.2,6.8,69,22.9
2016,노원구,26.9,5.3,67.9,23.2
2017,노원구,27.4,4.6,68,24.2
2018,노원구,33.5,5.7,60.7,23.7
2019,노원구,34.7,4.8,60.5,24
