"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,마포구,19.9,7.7,72.4,22.6
2010,마포구,23,5.5,71.5,22.9
2011,마포구,18.5,7.4,74.2,22.6
2012,마포구,23.3,5.4,71.3,23
2013,마포구,22.3,6.7,71,22.9
2014,마포구,23.5,6.1,70.5,22.9
2015,마포구,25.3,5.8,69,22.9
2016,마포구,23,5.3,71.7,22.9
2017,마포구,22.1,6.5,71.4,22.9
2018,마포구,29.3,6.5,64.2,23.5
2019,마포구,29,5.5,65.5,23.5
