"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,송파구,19.9,7.1,73,22.6
2010,송파구,17.9,7,75.1,22.5
2011,송파구,22.7,5.9,71.5,22.7
2012,송파구,24.6,5.6,69.8,22.9
2013,송파구,19.9,5,75.1,22.8
2014,송파구,22.5,5.8,71.7,22.8
2015,송파구,22.7,7.4,69.9,22.9
2016,송파구,21.4,6.6,72,22.8
2017,송파구,21.6,6.9,71.5,22.8
2018,송파구,22,7.8,70.2,22.7
2019,송파구,27.9,4.6,67.6,23.4
