Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1998,서울시,"9,825","53,087",66,"32,195",96,"7,296","4,482","9,447",-,-,"3,061",31,-,-,"2,103","1,830",-,-,12,20,5,"2,268",,,,,,,,,,
1998,종로구,488,"3,753",6,"3,576",3,85,146,62,-,-,163,-,-,-,170,30,-,-,-,-,-,-,,,,,,,,,,
1998,중구,424,"2,255",4,"1,913",2,195,159,135,-,-,203,-,-,-,56,12,-,-,-,-,-,-,,,,,,,,,,
1998,용산구,227,"1,756",4,"1,508",2,79,101,163,-,-,74,-,-,-,45,-,-,-,1,6,-,-,,,,,,,,,,
1998,성동구,252,"2,004",2,"1,300",6,413,113,241,-,-,77,-,-,-,54,50,-,-,-,-,-,-,,,,,,,,,,
1998,광진구,317,"2,611",3,885,3,175,148,561,-,-,102,-,-,-,60,30,-,-,-,-,1,960,,,,,,,,,,
1998,동대문구,679,"4,325",5,"2,310",3,775,194,318,-,-,103,20,-,-,371,400,-,-,2,2,1,500,,,,,,,,,,
1998,중랑구,341,"1,132",1,146,2,129,178,857,-,-,103,-,-,-,57,-,-,-,-,-,-,-,,,,,,,,,,
1998,성북구,399,"2,220",1,800,5,619,197,579,-,-,112,-,-,-,82,57,-,-,1,1,1,164,,,,,,,,,,
1998,강북구,272,"1,075",1,294,5,432,145,349,-,-,77,-,-,-,44,-,-,-,-,-,-,-,,,,,,,,,,
1998,도봉구,229,995,1,477,3,155,111,363,-,-,74,-,-,-,40,-,-,-,-,-,-,-,,,,,,,,,,
1998,노원구,362,"2,656",4,"2,177",1,31,189,398,-,-,111,-,-,-,57,50,-,-,-,-,-,-,,,,,,,,,,
1998,은평구,357,"1,652",2,368,4,220,180,420,-,-,101,-,-,-,68,-,-,-,-,-,2,644,,,,,,,,,,
1998,서대문구,323,"1,999",2,"1,670",2,90,143,120,-,-,102,9,-,-,74,110,-,-,-,-,-,-,,,,,,,,,,
1998,마포구,340,650,-,-,4,217,178,352,-,-,102,-,-,-,56,81,-,-,-,-,-,-,,,,,,,,,,
1998,양천구,316,"1,099",4,750,3,202,144,144,-,-,107,-,-,-,57,-,-,-,1,3,-,-,,,,,,,,,,
1998,강서구,378,"2,260",1,950,8,536,199,701,-,-,104,-,-,-,65,72,-,-,1,1,-,-,,,,,,,,,,
1998,구로구,272,"1,205",2,726,2,136,127,341,-,-,91,-,-,-,48,-,-,-,2,2,-,-,,,,,,,,,,
1998,금천구,183,621,1,120,3,199,98,251,-,-,52,-,-,-,28,50,-,-,1,1,-,-,,,,,,,,,,
1998,영등포구,460,"3,789",7,"2,794",7,613,189,340,-,-,151,-,-,-,104,40,-,-,2,2,-,-,,,,,,,,,,
1998,동작구,340,953,1,515,2,154,160,284,-,-,101,-,-,-,76,-,-,-,-,-,-,-,,,,,,,,,,
1998,관악구,379,"1,016",1,177,4,337,189,500,-,-,115,-,-,-,69,-,-,-,1,2,-,-,,,,,,,,,,
1998,서초구,535,"2,213",3,"1,284",4,448,240,329,-,-,201,-,-,-,87,152,-,-,-,-,-,-,,,,,,,,,,
1998,강남구,976,"4,249",4,"2,803",11,529,472,532,-,-,324,2,-,-,165,383,-,-,-,-,-,-,,,,,,,,,,
1998,송파구,565,"4,048",3,"2,999",4,251,275,664,-,-,185,-,-,-,98,134,-,-,-,-,-,-,,,,,,,,,,
1998,강동구,411,"2,551",3,"1,653",3,276,207,443,-,-,126,-,-,-,72,179,-,-,-,-,-,-,,,,,,,,,,
