Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,종로구,708,…,6,…,5,…,279,…,-,…,-,…,162,…,1,…,250,-,5,…,-,-,,,,,,,,,,
1981,종로구,707,…,6,"2,705",5,190,284,…,-,-,162,…,-,-,246,…,-,-,4,…,-,…,,,,,,,,,,
1982,종로구,682,…,6,"2,835",6,242,252,…,-,-,161,…,-,-,253,…,-,-,4,…,-,…,,,,,,,,,,
1983,종로구,664,…,6,"2,884",6,263,245,…,-,-,161,…,-,-,242,…,-,-,4,…,-,…,,,,,,,,,,
1984,종로구,626,…,6,"2,926",5,224,234,…,-,-,155,…,-,-,225,…,-,-,1,…,-,…,,,,,,,,,,
1985,종로구,627,…,6,"3,335",5,222,232,…,-,-,156,…,-,-,227,…,-,-,1,-,-,…,,,,,,,,,,
1986,종로구,629,…,6,"3,626",3,163,227,…,-,-,150,…,-,-,240,…,-,-,3,…,-,…,,,,,,,,,,
1987,종로구,614,…,6,"3,558",4,208,221,…,-,-,150,…,-,-,231,…,-,-,2,…,-,…,,,,,,,,,,
1988,종로구,615,…,6,"3,545",4,208,220,…,-,-,148,…,-,-,235,…,-,-,2,…,-,…,,,,,,,,,,
1989,종로구,607,…,6,"3,528",4,208,204,…,-,-,146,…,-,-,245,…,-,-,2,…,-,…,,,,,,,,,,
1990,종로구,600,…,6,"3,528",3,207,209,…,-,-,143,…,-,-,239,…,-,-,-,…,-,…,,,,,,,,,,
1991,종로구,576,…,5,"3,128",3,180,191,…,-,-,148,…,-,-,229,…,-,-,-,…,-,…,,,,,,,,,,
1992,종로구,573,…,5,"3,130",3,180,186,…,-,-,154,…,-,-,225,…,-,-,-,…,-,-,,,,,,,,,,
1993,종로구,572,"3,588",5,"3,204",3,279,184,85,-,-,160,-,-,-,220,20,-,-,-,-,-,-,,,,,,,,,,
1994,종로구,567,"3,705",5,"3,321",3,279,180,85,-,-,165,-,-,-,214,20,-,-,-,-,-,-,,,,,,,,,,
1995,종로구,551,"3,657",6,"3,551",1,20,169,66,-,-,163,-,-,-,212,20,-,-,-,-,-,-,,,,,,,,,,
1996,종로구,543,"3,667",6,"3,551",1,30,165,66,-,-,169,-,-,-,202,20,-,-,-,-,-,-,,,,,,,,,,
1997,종로구,513,"3,740",6,"3,583",2,61,153,66,-,-,165,-,-,-,187,30,-,-,-,-,-,-,,,,,,,,,,
1998,종로구,488,"3,753",6,"3,576",3,85,146,62,-,-,163,-,-,-,170,30,-,-,-,-,-,-,,,,,,,,,,
1999,종로구,477,"3,610",6,"3,453",2,62,140,35,-,-,164,-,-,-,165,60,-,-,-,-,-,-,,,,,,,,,,
2000,종로구,441,"3,716",6,"3,462",2,83,111,111,-,-,161,-,-,-,161,60,-,-,-,-,-,-,,,,,,,,,,
