"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
2004,합계,"3,780,305","10,287,847","5,128,752","5,159,095","10,173,162","5,074,686","5,098,476","114,685","54,066","60,619","16,994",605.39,2.69,"693,225"
2004,종로구,"70,408","178,574","89,574","89,000","174,372","87,731","86,641","4,202","1,843","2,359","7,468",23.91,2.54,"16,728"
2004,중구,"54,419","136,585","68,000","68,585","131,971","65,947","66,024","4,614","2,053","2,561","13,712",9.96,2.51,"12,603"
2004,용산구,"94,788","239,070","118,215","120,855","230,107","113,512","116,595","8,963","4,703","4,260","10,933",21.87,2.52,"22,063"
2004,성동구,"128,964","343,992","173,076","170,916","339,113","170,565","168,548","4,879","2,511","2,368","20,419",16.85,2.67,"24,423"
2004,광진구,"145,430","384,681","192,198","192,483","380,537","190,304","190,233","4,144","1,894","2,250","22,560",17.05,2.65,"22,040"
2004,동대문구,"148,168","383,896","193,487","190,409","379,404","191,597","187,807","4,492","1,890","2,602","27,005",14.22,2.59,"29,972"
2004,중랑구,"158,283","436,063","218,049","218,014","433,858","217,271","216,587","2,205",778,"1,427","23,567",18.5,2.75,"27,793"
2004,성북구,"169,704","455,041","226,983","228,058","451,122","225,280","225,842","3,919","1,703","2,216","18,523",24.57,2.68,"36,159"
2004,강북구,"131,995","362,275","180,142","182,133","360,525","179,484","181,041","1,750",658,"1,092","15,348",23.6,2.74,"27,719"
2004,도봉구,"131,129","383,611","190,892","192,719","381,939","190,240","191,699","1,672",652,"1,020","18,444",20.8,2.93,"26,190"
2004,노원구,"212,531","630,555","311,108","319,447","628,184","310,082","318,102","2,371","1,026","1,345","17,800",35.42,2.97,"42,992"
2004,은평구,"177,305","480,320","238,149","242,171","478,087","237,265","240,822","2,233",884,"1,349","16,164",29.71,2.71,"35,800"
2004,서대문구,"136,146","358,186","176,266","181,920","352,071","173,452","178,619","6,115","2,814","3,301","20,336",17.61,2.63,"29,772"
2004,마포구,"153,994","388,111","191,313","196,798","383,457","189,108","194,349","4,654","2,205","2,449","16,257",23.87,2.52,"29,557"
2004,양천구,"169,326","497,642","249,311","248,331","495,098","248,169","246,929","2,544","1,142","1,402","28,600",17.4,2.94,"28,170"
2004,강서구,"193,973","544,762","270,057","274,705","541,671","268,424","273,247","3,091","1,633","1,458","13,159",41.4,2.81,"33,752"
2004,구로구,"150,568","424,725","215,953","208,772","416,828","211,704","205,124","7,897","4,249","3,648","21,116",20.11,2.82,"25,489"
2004,금천구,"96,632","266,047","135,963","130,084","259,633","132,390","127,243","6,414","3,573","2,841","20,456",13.01,2.75,"15,919"
2004,영등포구,"154,167","415,889","210,440","205,449","406,261","205,393","200,868","9,628","5,047","4,581","16,930",24.56,2.7,"28,839"
2004,동작구,"154,625","414,199","206,439","207,760","410,945","204,946","205,999","3,254","1,493","1,761","25,324",16.36,2.68,"30,183"
2004,관악구,"214,261","535,688","272,997","262,691","530,156","270,391","259,765","5,532","2,606","2,926","18,116",29.57,2.5,"32,830"
2004,서초구,"148,608","406,752","198,672","208,080","400,868","196,076","204,792","5,884","2,596","3,288","8,647",47.04,2.74,"23,994"
2004,강남구,"201,571","539,333","261,704","277,629","531,517","258,371","273,146","7,816","3,333","4,483","13,640",39.54,2.68,"30,007"
2004,송파구,"216,434","608,439","301,439","307,000","604,293","299,576","304,717","4,146","1,863","2,283","17,961",33.88,2.81,"33,563"
2004,강동구,"166,876","473,411","238,325","235,086","471,145","237,408","233,737","2,266",917,"1,349","19,262",24.58,2.84,"26,668"
