"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,서초구,"125,754","420,783","208,731","212,052",…,…,…,…,…,…,"8,852",47.53,3.35,…
1992,서초구,"126,592","419,765","208,470","211,295","417,177","207,084","210,093","2,588","1,386","1,202","8,865",47.35,3.32,"17,488"
1993,서초구,"127,335","410,719","203,981","206,738","407,993","202,552","205,441","2,726","1,429","1,297","8,680",47.32,3.23,"17,383"
1994,서초구,"131,546","412,315","204,524","207,791","409,161","202,848","206,313","3,154","1,676","1,478","8,735",47.2,3.13,"17,742"
1995,서초구,"131,800","407,887","202,273","205,614","404,918","200,714","204,204","2,969","1,559","1,410","8,644",47.19,3.09,"17,947"
1996,서초구,"135,209","408,781","202,861","205,920","405,743","201,220","204,523","3,038","1,641","1,397","8,672",47.14,3.02,"18,113"
1997,서초구,"137,679","407,122","201,900","205,222","403,506","199,983","203,523","3,616","1,917","1,699","8,638",47.13,2.96,"18,397"
1998,서초구,"137,470","404,765","200,242","204,523","401,179","198,363","202,816","3,586","1,879","1,707","8,586",47.14,2.94,"18,884"
1999,서초구,"138,329","404,961","199,979","204,982","400,950","197,873","203,077","4,011","2,106","1,905","8,591",47.14,2.9,"19,546"
2000,서초구,"137,997","401,858","198,026","203,832","397,869","195,942","201,927","3,989","2,084","1,905","8,525",47.14,2.88,"20,130"
2001,서초구,"138,387","397,983","195,954","202,029","393,849","193,795","200,054","4,134","2,159","1,975","8,443",47.14,2.85,"20,609"
2002,서초구,"138,627","393,583","193,664","199,919","389,256","191,409","197,847","4,327","2,255","2,072","8,346",47.16,2.81,"21,159"
2003,서초구,"144,165","400,220","196,071","204,149","394,757","193,632","201,125","5,463","2,439","3,024","8,510",47.03,2.78,"22,430"
2004,서초구,"148,608","406,752","198,672","208,080","400,868","196,076","204,792","5,884","2,596","3,288","8,647",47.04,2.74,"23,994"
2005,서초구,"152,245","406,875","198,665","208,210","401,736","196,268","205,468","5,139","2,397","2,742","8,651",47.03,2.67,"25,287"
2006,서초구,"158,618","413,970","201,482","212,488","408,266","198,874","209,392","5,704","2,608","3,096","8,802",47.03,2.61,"27,140"
2007,서초구,"158,880","411,951","200,378","211,573","405,969","197,555","208,414","5,982","2,823","3,159","8,765",47,2.59,"29,054"
2008,서초구,"159,907","412,065","200,313","211,752","406,320","197,570","208,750","5,745","2,743","3,002","8,767",47,2.54,"30,943"
2009,서초구,"166,405","431,131","209,113","222,018","425,481","206,346","219,135","5,650","2,767","2,883","9,172",47,2.56,"34,046"
2010,서초구,"170,882","440,021","213,200","226,821","434,720","210,652","224,068","5,301","2,548","2,753","9,361",47,2.54,"37,131"
2011,서초구,"168,988","439,012","212,636","226,376","433,564","209,902","223,662","5,448","2,734","2,714","9,340",47,2.57,"39,035"
2012,서초구,"168,878","439,998","213,011","226,987","435,044","210,440","224,604","4,954","2,571","2,383","9,361",47,2.58,"41,763"
2013,서초구,"170,594","446,541","215,771","230,770","441,763","213,285","228,478","4,778","2,486","2,292","9,501",47,2.59,"44,674"
2014,서초구,"173,469","454,288","219,109","235,179","449,678","216,740","232,938","4,610","2,369","2,241","9,666",47,2.59,"47,469"
2015,서초구,"173,007","451,258","217,036","234,222","446,764","214,737","232,027","4,494","2,299","2,195",-,-,2.58,"49,280"
2016,서초구,"173,970","451,477","216,886","234,591","447,192","214,673","232,519","4,285","2,213","2,072",-,-,2.57,"50,984"
2017,서초구,"173,594","445,401","213,422","231,979","441,102","211,236","229,866","4,299","2,186","2,113",-,-,2.54,"53,205"
2018,서초구,"172,918","438,163","209,977","228,186","433,951","207,868","226,083","4,212","2,109","2,103",-,-,2.51,"54,751"
2019,서초구,"173,199","435,107","208,181","226,926","430,826","206,039","224,787","4,281","2,142","2,139",-,-,2.49,"57,136"
