"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,중구,"61,495","184,142","93,312","90,830",…,…,…,…,…,…,"18,438",9.99,2.99,…
1992,중구,"59,667","176,836","89,537","87,299","174,605","88,268","86,337","2,231","1,269",962,"17,701",9.99,2.96,"8,857"
1993,중구,"57,566","167,383","84,721","82,662","165,129","83,428","81,701","2,254","1,293",961,"16,755",9.99,2.91,"8,909"
1994,중구,"55,032","156,302","79,110","77,192","153,901","77,690","76,211","2,401","1,420",981,"15,677",9.97,2.84,"8,913"
1995,중구,"53,096","145,646","73,608","72,038","143,138","72,132","71,006","2,508","1,476","1,032","14,608",9.97,2.74,"8,847"
1996,중구,"50,141","134,839","68,090","66,749","132,189","66,538","65,651","2,650","1,552","1,098","13,524",9.97,2.69,"8,610"
1997,중구,"49,516","129,680","65,501","64,179","126,892","63,926","62,966","2,788","1,575","1,213","13,007",9.97,2.62,"8,870"
1998,중구,"46,072","125,050","63,028","62,022","122,500","61,557","60,943","2,550","1,471","1,079","12,543",9.97,2.71,"9,101"
1999,중구,"47,969","129,061","64,853","64,208","126,254","63,217","63,037","2,807","1,636","1,171","12,945",9.97,2.63,"9,666"
2000,중구,"53,964","144,074","72,353","71,721","141,010","70,538","70,472","3,064","1,815","1,249","14,465",9.96,2.61,"10,624"
2001,중구,"55,409","146,335","73,524","72,811","143,016","71,577","71,439","3,319","1,947","1,372","14,692",9.96,2.58,"11,190"
2002,중구,"54,521","141,603","71,109","70,494","138,134","69,116","69,018","3,469","1,993","1,476","14,217",9.96,2.53,"11,491"
2003,중구,"54,487","138,798","69,282","69,516","134,548","67,269","67,279","4,250","2,013","2,237","13,932",9.96,2.55,"12,030"
2004,중구,"54,419","136,585","68,000","68,585","131,971","65,947","66,024","4,614","2,053","2,561","13,712",9.96,2.51,"12,603"
2005,중구,"55,101","134,420","67,062","67,358","130,027","64,995","65,032","4,393","2,067","2,326","13,495",9.96,2.44,"13,069"
2006,중구,"56,642","136,348","67,950","68,398","130,649","65,208","65,441","5,699","2,742","2,957","13,688",9.96,2.41,"13,895"
2007,중구,"57,473","137,435","68,516","68,919","130,044","64,908","65,136","7,391","3,608","3,783","13,799",9.96,2.39,"14,907"
2008,중구,"58,174","138,811","69,284","69,527","130,362","65,110","65,252","8,449","4,174","4,275","13,936",9.96,2.24,"15,427"
2009,중구,"58,249","137,861","69,046","68,815","129,465","65,025","64,440","8,396","4,021","4,375","13,841",9.96,2.22,"16,008"
2010,중구,"61,468","141,200","70,908","70,292","132,822","66,879","65,943","8,378","4,029","4,349","14,177",9.96,2.16,"17,504"
2011,중구,"61,475","141,567","71,137","70,430","133,193","67,065","66,128","8,374","4,072","4,302","14,212",9.96,2.17,"18,099"
2012,중구,"61,546","140,807","70,762","70,045","133,360","67,043","66,317","7,447","3,719","3,728","14,136",9.96,2.17,"18,875"
2013,중구,"60,600","137,990","69,128","68,862","130,465","65,371","65,094","7,525","3,757","3,768","13,854",9.96,2.15,"19,346"
2014,중구,"59,960","136,227","67,952","68,275","128,065","64,033","64,032","8,162","3,919","4,243","13,677",9.96,2.14,"19,960"
2015,중구,"59,321","134,329","66,755","67,574","125,733","62,687","63,046","8,596","4,068","4,528",-,-,2.12,"20,302"
2016,중구,"59,651","134,409","66,452","67,957","125,249","62,204","63,045","9,160","4,248","4,912",-,-,2.1,"20,606"
2017,중구,"60,412","134,593","66,337","68,256","125,709","62,253","63,456","8,884","4,084","4,800",-,-,2.08,"21,384"
2018,중구,"61,502","135,633","66,674","68,959","125,725","61,947","63,778","9,908","4,727","5,181",-,-,2.04,"22,005"
2019,중구,"62,739","136,488","66,823","69,665","126,171","61,910","64,261","10,317","4,913","5,404",-,-,2.01,"23,275"
