"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
2002,합계,"18,531,175","13,045,796","5,485,379","20,491,101","14,912,516","5,578,585","15,810,659","11,626,590","4,184,069"
2002,본청,"13,773,641","8,825,083","4,948,558","15,600,699","10,564,460","5,036,239","12,099,944","8,156,828","3,943,116"
2002,자치구,"4,757,534","4,220,713","536,821","4,890,402","4,348,056","542,346","3,710,715","3,469,762","240,953"
2002,종로구,"176,114","145,883","30,231","180,910","149,263","31,647","137,603","125,315","12,288"
2002,중구,"202,008","182,273","19,735","214,365","191,733","22,632","150,757","141,151","9,606"
2002,용산구,"173,551","150,117","23,434","178,587","153,960","24,627","126,360","117,588","8,772"
2002,성동구,"168,579","146,901","21,678","174,908","151,928","22,980","145,783","131,233","14,550"
2002,광진구,"145,165","129,559","15,606","145,165","129,448","15,717","124,315","112,892","11,423"
2002,동대문구,"221,203","185,046","36,157","227,990","191,683","36,307","159,968","153,329","6,639"
2002,중랑구,"166,206","152,190","14,016","169,267","155,274","13,993","142,914","135,541","7,373"
2002,성북구,"199,106","187,132","11,974","207,710","196,447","11,263","158,873","150,301","8,572"
2002,강북구,"161,413","150,928","10,485","166,469","155,562","10,907","126,563","120,017","6,546"
2002,도봉구,"169,855","161,498","8,357","171,982","164,095","7,887","123,193","116,973","6,220"
2002,노원구,"224,518","207,666","16,852","223,484","208,182","15,302","176,174","172,194","3,980"
2002,은평구,"181,331","169,166","12,165","184,632","172,845","11,787","139,102","131,619","7,483"
2002,서대문구,"170,246","159,153","11,093","177,729","167,887","9,842","131,180","125,534","5,646"
2002,마포구,"210,384","175,990","34,394","222,096","189,268","32,828","157,627","148,780","8,847"
2002,양천구,"164,305","151,582","12,723","170,259","156,524","13,735","133,619","125,398","8,221"
2002,강서구,"225,320","201,788","23,532","233,210","209,804","23,406","182,518","163,796","18,722"
2002,구로구,"170,768","152,316","18,452","168,991","152,470","16,521","136,302","130,622","5,680"
2002,금천구,"136,008","126,715","9,293","138,424","128,083","10,341","109,197","105,251","3,946"
2002,영등포구,"206,558","168,972","37,586","209,089","170,144","38,945","160,307","140,577","19,730"
2002,동작구,"171,053","158,641","12,412","182,469","169,937","12,532","137,669","132,696","4,973"
2002,관악구,"195,739","174,559","21,180","198,383","176,969","21,414","168,258","157,326","10,932"
2002,서초구,"205,521","158,981","46,540","220,603","174,313","46,290","126,204","120,240","5,964"
2002,강남구,"330,444","292,323","38,121","331,732","291,694","40,038","250,935","234,377","16,558"
2002,송파구,"197,622","175,288","22,334","204,894","182,549","22,345","167,118","154,019","13,099"
2002,강동구,"184,517","156,046","28,471","187,054","157,994","29,060","138,176","122,993","15,183"
