"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,동대문구,"121,848","106,165","15,683","124,632","107,988","16,644","98,638","89,717","8,921"
1997,동대문구,"144,968","127,519","17,449","147,961","131,388","16,573","116,011","109,962","6,049"
1998,동대문구,"142,349","120,314","22,035","141,379","120,696","20,683","118,259","106,872","11,387"
1999,동대문구,"164,779","142,806","21,973","154,892","133,063","21,829","125,026","116,934","8,092"
2000,동대문구,"182,554","152,193","30,361","188,753","159,194","29,559","141,406","131,547","9,859"
2001,동대문구,"193,537","152,852","40,685","200,370","160,216","40,154","139,842","124,019","15,823"
2002,동대문구,"221,203","185,046","36,157","227,990","191,683","36,307","159,968","153,329","6,639"
2003,동대문구,"271,968","225,896","46,072","277,475","234,760","42,715","168,961","158,132","10,829"
2004,동대문구,"323,080","273,328","49,752","337,171","286,968","50,203","212,066","192,247","19,819"
2005,동대문구,"326,197","284,747","41,450","332,754","291,153","41,601","221,510","208,116","13,394"
2006,동대문구,"301,102","262,405","38,697","312,397","273,969","38,428","218,555","209,604","8,951"
2007,동대문구,"350,036","307,994","42,042","365,600","322,661","42,939","240,790","230,977","9,813"
2008,동대문구,"405,240","353,297","51,943","437,812","383,729","54,083","285,254","272,368","12,886"
2009,동대문구,"500,212","445,806","54,405","503,151","449,386","53,765","368,701","353,994","14,707"
2010,동대문구,"417,822","368,499","49,323","410,670","361,662","49,008","317,002","309,688","7,313"
2011,동대문구,"390,478","337,071","53,407","389,208","336,772","52,436","329,783","304,749","25,034"
2012,동대문구,"396,014","343,282","52,732","387,272","334,426","52,846","333,948","302,771","31,177"
2013,동대문구,"425,289","393,024","32,265","405,912","374,715","31,197","354,936","341,657","13,279"
2014,동대문구,"430,084","404,297","25,787","423,710","399,378","24,332","386,775","372,741","14,033"
2015,동대문구,"469,701","448,782","20,919","459,970","438,103","21,867","413,939","404,255","9,684"
2016,동대문구,"521,693","500,959","20,735","516,799","496,189","20,611","451,076","439,808","11,268"
2017,동대문구,"592,337","572,090","20,247","594,565","574,582","19,983","509,843","498,860","10,983"
2018,동대문구,"659,976","633,175","26,801","660,338","633,575","26,763","566,090","557,456","8,634"
2019,동대문구,"730,660","696,231","34,429","724,681","690,200","34,481","625,597","603,801","21,796"
