"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,용산구,"107,551","97,752","9,799","112,444","102,168","10,276","82,367","79,290","3,077"
1997,용산구,"128,699","115,982","12,717","134,148","121,377","12,771","98,786","95,406","3,380"
1998,용산구,"128,646","113,440","15,206","130,780","114,150","16,630","101,434","97,383","4,051"
1999,용산구,"131,185","109,057","22,128","137,449","113,563","23,886","93,448","87,877","5,571"
2000,용산구,"166,105","136,197","29,908","173,386","141,596","31,790","111,449","100,321","11,128"
2001,용산구,"181,163","147,212","33,951","188,159","152,611","35,548","135,528","115,172","20,356"
2002,용산구,"173,551","150,117","23,434","178,587","153,960","24,627","126,360","117,588","8,772"
2003,용산구,"216,550","190,407","26,143","228,738","201,293","27,445","150,311","143,690","6,621"
2004,용산구,"258,588","229,268","29,320","276,147","244,455","31,692","214,310","196,361","17,949"
2005,용산구,"211,897","189,189","22,708","222,020","199,094","22,926","170,172","160,816","9,356"
2006,용산구,"219,746","197,866","21,880","233,184","209,961","23,223","184,260","172,430","11,830"
2007,용산구,"264,774","241,840","22,934","276,607","251,829","24,778","213,677","198,817","14,860"
2008,용산구,"308,952","275,568","33,384","326,069","288,283","37,786","252,051","230,837","21,214"
2009,용산구,"412,701","387,372","25,329","440,404","411,136","29,268","356,643","348,345","8,298"
2010,용산구,"302,908","273,679","29,229","322,642","292,365","30,277","248,743","240,339","8,405"
2011,용산구,"293,015","261,859","31,156","301,573","268,213","33,360","238,800","230,308","8,492"
2012,용산구,"302,771","268,429","34,342","302,252","267,394","34,858","242,985","234,822","8,163"
2013,용산구,"316,679","279,676","37,003","322,163","284,888","37,275","263,368","251,963","11,405"
2014,용산구,"327,879","292,154","35,724","334,396","298,536","35,860","275,605","267,307","8,298"
2015,용산구,"351,681","314,597","37,084","357,466","320,499","36,966","294,616","282,551","12,065"
2016,용산구,"379,700","344,351","35,349","393,954","358,405","35,549","319,537","306,843","12,694"
2017,용산구,"412,460","378,371","34,089","428,870","394,530","34,340","349,212","339,547","9,665"
2018,용산구,"455,090","419,990","35,099","480,243","443,951","36,292","364,558","354,318","10,240"
2019,용산구,"543,274","508,159","35,115","574,640","539,614","35,025","465,398","454,489","10,909"
