"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,종로구,"140,403","120,068","20,335","134,874","114,592","20,282","99,451","93,710","5,741"
1997,종로구,"158,784","132,935","25,849","151,724","126,343","25,381","115,547","107,670","7,877"
1998,종로구,"153,477","126,378","27,099","146,273","117,462","28,811","110,393","104,128","6,265"
1999,종로구,"157,747","123,842","33,905","160,149","123,854","36,295","117,124","104,863","12,261"
2000,종로구,"180,358","141,211","39,147","185,245","146,493","38,752","132,343","112,946","19,397"
2001,종로구,"183,393","148,727","34,666","188,484","152,650","35,834","141,744","127,298","14,446"
2002,종로구,"176,114","145,883","30,231","180,910","149,263","31,647","137,603","125,315","12,288"
2003,종로구,"224,622","194,600","30,022","234,600","202,852","31,748","151,919","147,257","4,662"
2004,종로구,"268,314","228,071","40,243","280,772","242,512","38,260","191,905","173,880","18,025"
2005,종로구,"268,001","234,102","33,899","292,298","258,589","33,709","184,107","176,572","7,535"
2006,종로구,"263,610","226,404","37,206","286,760","250,324","36,436","189,165","179,243","9,922"
2007,종로구,"316,860","275,790","41,070","340,125","300,569","39,556","237,516","227,721","9,795"
2008,종로구,"333,427","286,594","46,833","352,199","307,283","44,916","246,369","229,530","16,839"
2009,종로구,"348,642","309,472","39,170","363,591","323,645","39,946","284,783","271,409","13,374"
2010,종로구,"303,934","258,896","45,038","301,024","256,215","44,809","249,649","224,194","25,455"
2011,종로구,"275,067","244,766","30,301","278,075","247,237","30,838","224,567","211,061","13,506"
2012,종로구,"324,957","293,395","31,562","333,400","301,702","31,698","244,607","235,668","8,939"
2013,종로구,"356,027","316,888","39,139","359,062","316,999","42,063","276,796","268,655","8,141"
2014,종로구,"369,173","321,471","47,702","383,650","335,483","48,167","291,285","276,725","14,560"
2015,종로구,"397,532","345,862","51,671","413,230","355,036","58,194","309,607","291,938","17,669"
2016,종로구,"438,089","381,558","56,530","446,086","388,209","57,878","337,968","322,391","15,577"
2017,종로구,"478,502","418,245","60,257","495,876","435,471","60,406","369,128","357,629","11,499"
2018,종로구,"497,363","434,814","62,549","523,272","460,160","63,112","390,774","373,126","17,648"
2019,종로구,"562,397","499,728","62,669","571,898","509,397","62,501","455,213","440,580","14,632"
