Year,sigName,용도별,분류별,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경
Year,sigName,용도별,분류별,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골
2010,서울시,계,동수,"12,735","1,370",599,212,46,"9,745",763,"5,048",18,75,14,3,"4,748",190,"2,778",611,109,67,28,"1,521",442,"4,909",741,415,131,15,"3,476",131
2010,서울시,계,연면적,"49,549,715","149,046","13,460,387","11,762","47,917","34,349,413","1,531,190","7,861,043","1,446","1,008,275","2,154",111,"6,533,006","316,051","12,259,573","44,576","2,241,213","4,381","12,177","9,655,155","302,071","29,429,099","103,024","10,210,899","5,227","35,629","18,161,252","913,068"
2010,서울시,주거용,동수,"4,152",565,6,44,13,"3,417",107,"2,881",9,4,5,-,"2,845",18,847,403,2,27,12,320,83,424,153,-,12,1,252,6
2010,서울시,주거용,연면적,"3,212,854","46,186","11,495","2,009",823,"3,144,780","7,561","2,853,799",709,"10,760",704,-,"2,839,917","1,709","227,891","26,670",735,941,823,"193,622","5,100","131,164","18,807",-,364,-,"111,241",752
2010,서울시,상업용,동수,"6,815",705,417,152,27,"4,993",521,"1,874",7,58,8,2,"1,664",135,"1,492",174,72,30,13,916,287,"3,449",524,287,114,12,"2,413",99
2010,서울시,상업용,연면적,"35,727,461","86,506","8,983,567","8,304","47,026","25,345,852","1,256,206","3,208,315",332,"846,280","1,432",101,"2,111,622","248,548","11,011,005","15,391","1,954,310","2,258","11,322","8,806,388","221,336","21,508,141","70,783","6,182,977","4,614","35,603","14,427,842","786,322"
2010,서울시,농림수산업용,동수,145,10,4,1,1,91,38,95,1,-,-,1,71,22,34,3,4,-,-,12,15,16,6,-,1,-,8,1
2010,서울시,농림수산업용,연면적,"302,634","3,472","2,143",66,10,"278,186","18,757","266,238",12,-,-,10,"260,133","6,083","19,546",201,"2,143",-,-,"5,356","11,846","16,850","3,259",-,66,-,"12,697",828
2010,서울시,공업용,동수,89,7,15,-,-,51,16,25,-,2,-,-,22,1,29,2,2,-,-,14,11,35,5,11,-,-,15,4
2010,서울시,공업용,연면적,"1,353,788","1,232","282,168",-,-,"1,045,546","24,842","941,067",-,"51,185",-,-,"889,118",764,"150,056",-,62,-,-,"127,481","22,513","262,665","1,232","230,921",-,-,"28,947","1,565"
2010,서울시,문교용/사회용,동수,"1,528",82,157,15,5,"1,189",80,173,1,11,1,-,146,14,371,28,29,10,3,256,45,984,53,117,4,2,787,21
2010,서울시,문교용/사회용,연면적,"8,952,420","11,650","4,181,014","1,383",58,"4,534,491","223,824","591,624",393,"100,050",18,-,"432,216","58,947","850,517","2,314","283,963","1,182",32,"521,750","41,276","7,510,279","8,943","3,797,001",183,26,"3,580,525","123,601"
2010,서울시,기타,동수,6,1,-,-,-,4,1,-,-,-,-,-,-,-,5,1,-,-,-,3,1,1,-,-,-,-,1,-
2010,서울시,기타,연면적,558,-,-,-,-,558,-,-,-,-,-,-,-,-,558,-,-,-,-,558,-,-,-,-,-,-,-,-
2010,종로구,계,동수,546,70,28,87,-,332,29,139,2,6,9,-,114,8,152,31,4,29,-,75,13,255,37,18,49,-,143,8
2010,종로구,계,연면적,"1,400,058","7,161","373,913","5,079",-,"858,426","155,479","106,390",26,"10,694","1,094",-,"89,005","5,571","424,456","2,957","35,927","2,073",-,"302,073","81,426","869,212","4,178","327,292","1,912",-,"467,348","68,482"
2010,종로구,주거용,동수,118,25,1,23,-,68,1,50,-,1,2,-,47,-,40,18,-,15,-,6,1,28,7,-,6,-,15,-
2010,종로구,주거용,연면적,"37,204","3,031",660,"1,011",-,"32,453",49,"23,926",-,660,114,-,"23,152",-,"3,669","1,953",-,673,-,994,49,"9,609","1,078",-,224,-,"8,307",-
2010,종로구,상업용,동수,343,38,21,56,-,208,20,80,2,5,7,-,60,6,80,10,4,10,-,47,9,183,26,12,39,-,101,5
2010,종로구,상업용,연면적,"1,116,387","3,661","364,496","3,279",-,"644,002","100,949","67,234",26,"10,034",980,-,"53,378","2,816","299,256",815,"35,927",860,-,"196,122","65,532","749,897","2,820","318,535","1,439",-,"394,502","32,601"
2010,종로구,농림수산업용,동수,4,-,-,1,-,2,1,1,-,-,-,-,-,1,1,-,-,-,-,1,-,2,-,-,1,-,1,-
2010,종로구,농림수산업용,연면적,917,-,-,66,-,599,252,252,-,-,-,-,-,252,84,-,-,-,-,84,-,581,-,-,66,-,515,-
2010,종로구,문교용/사회용,동수,80,7,6,7,-,54,6,8,-,-,-,-,7,1,30,3,-,4,-,21,2,42,4,6,3,-,26,3
2010,종로구,문교용/사회용,연면적,"245,550",469,"8,757",723,-,"181,372","54,229","14,978",-,-,-,-,"12,475","2,503","121,447",189,-,540,-,"104,873","15,845","109,125",280,"8,757",183,-,"64,024","35,881"
2010,종로구,기타,동수,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
2010,중구,계,동수,481,34,83,39,6,289,30,65,4,3,-,1,50,7,106,10,11,8,3,57,17,310,20,69,31,2,182,6
2010,중구,계,연면적,"6,627,982","6,315","4,546,979","1,673","12,243","1,883,118","177,654","198,882",246,"63,723",-,99,"80,735","54,079","837,659",709,"496,393",204,"10,813","304,973","24,567","5,591,441","5,360","3,986,863","1,469","1,331","1,497,410","99,008"
2010,중구,주거용,동수,31,7,-,2,1,21,-,15,2,-,-,-,13,-,10,4,-,1,1,4,-,6,1,-,1,-,4,-
2010,중구,주거용,연면적,"14,106",438,-,184,20,"13,464",-,"10,999",98,-,-,-,"10,901",-,"2,271",246,-,111,20,"1,894",-,836,94,-,73,-,669,-
2010,중구,상업용,동수,374,24,47,37,5,233,28,49,2,3,-,1,36,7,88,5,10,7,2,49,15,237,17,34,30,2,148,6
2010,중구,상업용,연면적,"4,049,035","4,221","2,194,034","1,489","12,223","1,670,933","166,135","176,482",148,"63,723",-,99,"58,433","54,079","817,169",396,"496,131",93,"10,793","296,708","13,048","3,055,384","3,677","1,634,180","1,396","1,331","1,315,792","99,008"
