Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,강남구,79,1,"4,469.0",79,1,"4,469.0",1,1,"2,450.0",28,-,"1,946.0",50,73,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,강남구,94,1,"4,516.0",94,1,"4,516.0",1,1,"2,450.0",30,-,"1,969.0",63,97,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,강남구,95,…,"4,721.0",94,-,"4,518.0",1,…,"2,450.0",30,…,"1,971.0",63,97,-,-,-,-,1,203,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,강남구,95,1,"4,721.0",94,1,"4,518.0",1,1,"2,450.0",30,-,"1,971.0",63,97,-,-,-,-,1,203,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,강남구,97,1,"4,779.0",96,1,"4,576.0",1,1,"2,450.0",32,-,"2,030.0",63,96,-,-,-,-,1,203,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,강남구,97,1,"4,787.0",96,1,"4,584.0",1,1,"2,450.0",32,-,"2,038.0",63,96,-,-,-,-,1,203,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,강남구,96,2,"4,787.0",95,2,"4,584.0",-,2,"2,450.0",32,-,"2,038.0",63,96,-,-,-,-,1,203,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,강남구,96,2,"4,787.0",95,2,"4,584.0",-,2,"2,450.0",32,-,"2,038.0",63,96,-,-,-,-,1,203,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,강남구,99,2,"4,789.0",95,2,"4,584.0",-,2,"2,449.8",32,-,"2,038.0",63,96.2,-,-,-,-,4,205,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,강남구,100,2,"4,790.0",95,2,"4,584.0",-,2,"2,450.0",32,-,"2,038.0",63,96,-,-,-,-,5,206,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,강남구,99,2,"4,790.0",94,2,"4,584.0",-,2,"2,450.0",32,-,"2,038.0",62,96,-,-,-,-,5,206,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,강남구,103,2,"4,801.0",94,2,"4,590.0",-,2,"2,450.0",33,-,"2,045.0",61,95,-,-,-,-,9,211,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,강남구,121,2,"5,648.0",110,2,"4,627.0",-,2,"2,450.0",49,-,"2,082.0",61,95,-,-,-,-,11,"1,021.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,강남구,127,2,"5,658.0",116,2,"4,637.0",-,2,"2,450.0",49,-,"2,086.0",61,95,-,-,-,-,11,"1,021.0",-,-,-,6,6,-,-,-,-,,,,,,,,,,,,,,
2007,강남구,127,(2),"5,672.1",116,(2),"4,651.2",-,(2),"2,449.8",49,-,"2,100.3",61,94.6,-,-,-,-,11,"1,020.9",,-,-,6,6.6,-,-,-,-,-,-,,,,,,,,,,,,
2008,강남구,133,2,"5,674.0",117,2,"4,651.0",-,2,"2,450.0",49,-,"2,099.0",61,95,-,-,-,-,16,"1,023.0",,-,-,7,7,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,강남구,133,2,"5,672.5",117,2,"4,649.4",-,2,"2,449.8",49,-,"2,098.0",61,94.6,-,-,-,-,16,"1,023.0",,-,-,7,7.1,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,강남구,134,2,"5,671.7",119,2,"4,648.7",-,2,"2,449.8",51,-,"2,097.2",61,94.6,-,-,-,-,15,"1,023.1",,-,-,7,7.1,-,-,-,-,-,-,-,-,,,,,,,,,,
2011,강남구,,,,,,,-,2,"2,449.8",51,-,"2,097.2",61,94.6,-,-,-,-,15,"1,023.1",,-,-,7,7.1,-,-,-,-,-,-,-,-,134,2,"5,671.7",119,2,"4,648.7",-,-,,
