Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1995,강북구,34,…,"12,924.0",33,-,"1,384.0",-,…,128,1,…,"1,214.0",32,42,-,-,1,"11,540.0",-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,강북구,35,1,"12,962.0",34,1,"1,422.0",-,1,128,2,-,"1,252.0",32,42,-,-,1,"11,540.0",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,강북구,35,1,"12,963.0",34,1,"1,423.0",-,1,128,2,-,"1,253.0",32,42,-,-,1,"11,540.0",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,강북구,35,1,"12,965.0",34,1,"1,425.0",-,1,128,2,-,"1,255.0",32,42,-,-,1,"11,540.0",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,강북구,36,1,"12,966.0",35,1,"1,426.0",-,1,128,2,-,"1,255.0",33,43,-,-,1,"11,540.0",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,강북구,36,1,"12,966.0",35,1,"1,426.0",-,1,128,2,-,"1,255.0",33,43,-,-,1,"11,540.0",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,강북구,43,1,"12,968.9",36,1,"1,426.9",-,1,128.3,2,-,"1,255.0",34,43.6,-,-,1,"11,540.0",6,2,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,강북구,52,1,"14,263.0",40,1,"1,551.0",-,1,128,2,-,"1,374.0",38,49,-,-,1,"12,559.0",11,153,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,강북구,53,1,"14,262.0",40,1,"1,549.0",-,1,128,2,-,"1,373.0",38,48,-,-,1,"12,559.0",12,154,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,강북구,54,1,"14,263.0",40,1,"1,550.0",-,1,128,2,-,"1,373.0",38,49,-,-,1,"12,559.0",13,154,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,강북구,58,1,"14,289.0",40,1,"1,550.0",-,1,128,2,-,"1,373.0",38,49,-,-,1,"12,559.0",17,180,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,강북구,59,1,"14,289.0",40,1,"1,550.0",-,1,128,2,-,"1,373.0",38,49,-,-,1,"12,559.0",18,180,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2007,강북구,66,(1),"14,303.9",47,(1),"1,562.4",-,(1),128.3,2,-,"1,373.2",42,58.3,-,-,1,"12,559.0",18,182.4,,-,-,3,2.6,-,-,-,-,-,-,,,,,,,,,,,,
2008,강북구,67,1,"14,319.0",47,1,"1,574.0",-,1,128,2,-,"1,385.0",42,58,-,-,1,"12,559.0",19,186,,-,-,3,3,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,강북구,69,1,"14,348.7",48,1,"1,574.4",-,1,128.3,2,-,"1,384.5",40,57.8,-,-,1,"12,588.0",20,186.3,,-,-,6,3.7,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,강북구,69,1,"14,336.4",48,1,"1,574.4",-,1,128.3,2,-,"1,384.5",40,57.8,-,-,1,"12,601.0",20,161,,-,-,6,3.7,-,-,-,-,-,-,-,-,,,,,,,,,,
2011,강북구,,,,,,,-,1,128.3,2,-,"1,384.5",40,57.8,-,-,1,"12,601.0",20,161,,-,-,8,6.1,-,-,-,-,-,-,-,-,71,1,"14,338.8",50,1,"1,576.7",-,-,,
2012,강북구,,,,,,,-,1,128.3,3,-,"2,049.7",44,76.2,-,-,1,"11,899.0",19,158.4,,-,-,13,10.3,-,-,-,-,3,14.7,-,-,83,1,"14,336.6",63,1,"2,279.2",-,-,,
