Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,강서구,116,-,"2,474.0",116,-,"2,474.0",-,-,-,16,-,"2,331.0",100,143,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,강서구,116,-,"2,480.0",116,-,"2,479.0",-,-,-,16,-,"2,350.0",100,129,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,강서구,119,…,"3,203.0",118,-,"2,484.0",-,…,-,16,…,"2,350.0",102,134,-,-,-,-,1,719,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,강서구,119,-,"3,203.0",118,-,"2,484.0",-,-,-,16,-,"2,350.0",102,134,-,-,-,-,1,719,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,강서구,121,-,"3,200.0",120,-,"2,481.0",-,-,-,17,-,"2,349.0",103,132,-,-,-,-,1,719,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,강서구,120,-,"3,200.0",119,-,"2,481.0",-,-,-,17,-,"2,349.0",102,132,-,-,-,-,1,719,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,강서구,120,-,"3,200.0",119,-,"2,481.0",-,-,-,17,-,"2,349.0",102,132,-,-,-,-,1,719,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,강서구,119,-,"3,200.0",118,-,"2,481.0",-,-,-,17,-,"2,349.0",101,132,-,-,-,-,1,719,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,강서구,121,-,"3,208.4",118,-,"2,488.4",-,-,-,17,-,"2,356.0",101,132.4,-,-,-,-,3,720,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,강서구,121,-,"3,208.0",118,-,"2,488.0",-,-,-,17,-,"2,356.0",101,132,-,-,-,-,3,720,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,강서구,123,-,"3,254.0",120,-,"2,534.0",-,-,-,17,-,"2,378.0",102,136,-,-,-,-,3,720,-,1,20,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,강서구,130,-,"3,260.0",119,-,"2,534.0",-,-,-,17,-,"2,378.0",101,136,-,-,-,-,11,726,-,1,20,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,강서구,134,-,"3,371.0",113,-,"2,636.0",-,-,-,19,-,"2,478.0",93,138,-,-,-,-,21,735,-,1,20,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,강서구,137,-,"3,379.0",116,-,"2,644.0",-,-,-,19,-,"2,481.0",96,143,-,-,-,-,21,735,-,1,20,-,-,-,-,-,-,,,,,,,,,,,,,,
2007,강서구,138,-,"3,420.4",127,-,"2,653.0",-,-,-,19,-,"2,480.9",107,152.1,-,-,-,-,11,767.3,,1,20,-,-,-,-,-,-,-,-,,,,,,,,,,,,
2008,강서구,161,-,"3,916.0",150,-,"3,149.0",-,-,-,23,-,"2,938.0",124,189,-,-,-,-,11,767,,1,20,2,2,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,강서구,163,-,"4,024.3",152,-,"3,257.0",-,-,-,23,-,"3,044.9",125,190.2,-,-,-,-,11,767.3,,1,20,3,1.9,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,강서구,162,-,"4,004.1",151,-,"3,236.8",-,-,-,23,-,"3,044.6",125,190.2,-,-,-,-,11,767.3,,-,-,3,1.9,-,-,-,-,-,-,-,-,,,,,,,,,,
2011,강서구,,,,,,,-,-,-,23,-,"3,044.6",125,190.2,-,-,-,-,11,767.3,,-,-,3,1.9,-,-,-,-,-,-,-,-,162,-,"4,004.1",151,-,"3,236.8",-,-,,
2012,강서구,,,,,,,-,-,-,23,-,"3,044.6",125,190.2,-,-,-,-,11,767.3,,-,-,3,1.9,-,-,-,-,-,-,-,-,162,-,"4,004.1",151,-,"3,236.8",-,-,,
