Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,마포구,48,-,281,48,-,281,-,-,-,5,-,220,42,48,1,13,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,마포구,47,-,280,47,-,280,-,-,-,5,-,220,41,47,1,13,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,마포구,49,…,"1,890.0",47,-,280,-,…,-,5,…,220,41,47,1,13,-,-,2,"1,610.0",…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,마포구,49,-,"1,889.0",47,-,279,-,-,-,5,-,219,41,47,1,13,-,-,2,"1,610.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,마포구,49,-,"1,891.0",47,-,281,-,-,-,5,-,220,41,48,1,13,-,-,2,"1,610.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,마포구,49,-,"1,890.0",47,-,280,-,-,-,5,-,220,41,47,1,13,-,-,2,"1,610.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,마포구,49,-,"1,890.0",47,-,280,-,-,-,5,-,220,41,47,1,13,-,-,2,"1,610.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,마포구,58,-,"3,569.0",56,-,"1,959.0",-,-,-,10,-,"1,891.0",45,55,1,13,-,-,2,"1,610.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,마포구,64,-,"4,779.8",56,-,"1,958.8",-,-,-,10,-,"1,891.0",45,54.6,1,13.2,-,-,8,"2,821.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,마포구,66,-,"4,783.0",56,-,"2,025.0",-,-,-,10,-,"1,957.0",45,55,1,13,-,-,10,"2,758.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,마포구,66,-,"4,796.0",56,-,"2,038.0",-,-,-,10,-,"1,970.0",45,55,1,13,-,-,10,"2,758.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,마포구,68,-,"4,791.0",55,-,"2,027.0",-,-,-,8,-,"1,958.0",46,56,1,13,-,-,13,"2,764.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,마포구,76,-,"4,889.0",58,-,"2,029.0",-,-,-,8,-,"1,958.0",49,58,1,13,-,-,18,"2,860.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,마포구,82,-,"4,923.0",62,-,"2,061.0",-,-,-,10,-,"1,986.0",50,61,1,13,-,-,20,"2,862.0",-,-,-,1,1,-,-,-,-,,,,,,,,,,,,,,
2007,마포구,88,-,"4,933.1",68,-,"2,071.2",-,-,-,10,-,"1,985.7",53,69.2,1,13.2,-,-,20,"2,861.8",,-,-,4,3.1,-,-,-,-,-,-,,,,,,,,,,,,
2008,마포구,107,-,"4,996.0",86,-,"2,134.0",-,-,-,11,-,"2,016.0",56,73,1,13,-,-,21,"2,862.0",,-,-,14,17,-,-,-,-,4,15,-,-,,,,,,,,,,
2009,마포구,107,-,"5,050.2",91,-,"2,198.0",-,-,-,11,-,"2,068.4",56,73.8,1,13.2,-,-,16,"2,852.1",,-,-,15,18.1,1,4.8,-,-,7,19.6,-,-,,,,,,,,,,
2010,마포구,132,-,"5,082.2",92,-,"2,209.2",-,-,-,11,-,"2,068.9",55,81.8,1,13.2,-,-,40,"2,873.0",,-,-,17,20.8,1,4.8,-,-,7,19.6,-,-,,,,,,,,,,
2011,마포구,,,,,,,-,-,-,11,-,"2,068.9",55,81.8,1,13.2,-,-,40,"2,873.0",,-,-,17,20.8,1,4.8,-,-,7,19.6,-,-,132,-,"5,082.2",92,-,"2,209.2",-,-,,
2012,마포구,,,,,,,-,-,-,12,-,"2,170.6",56,89.5,1,13.2,-,-,40,"2,873.0",,-,-,24,43.4,1,4.8,-,-,7,19.6,-,-,141,-,"5,214.1",101,-,"2,341.1",-,-,,
