Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,송파구,107,-,"1,835.0",107,-,"1,835.0",-,-,-,38,-,"1,737.0",69,98,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,송파구,107,-,"1,835.0",107,-,"1,835.0",-,-,-,38,-,"1,737.0",69,98,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,송파구,109,…,"2,768.0",107,-,"1,835.0",-,…,-,38,…,"1,737.0",69,98,-,-,-,-,2,933,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,송파구,110,-,"4,216.0",107,-,"1,836.0",-,-,-,38,-,"1,738.0",69,98,-,-,-,-,3,"2,380.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,송파구,110,-,"4,217.0",107,-,"1,836.0",-,-,-,38,-,"1,738.0",69,98,-,-,-,-,3,"2,381.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,송파구,112,-,"4,220.0",109,-,"1,840.0",-,-,-,38,-,"1,738.0",71,102,-,-,-,-,3,"2,380.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,송파구,111,1,"4,220.0",109,-,"1,840.0",-,-,-,38,-,"1,738.0",71,102,-,-,-,-,2,"2,380.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2000,송파구,111,1,"4,220.0",109,-,"1,840.0",-,-,-,38,-,"1,738.0",71,102,-,-,-,-,2,"2,380.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2001,송파구,115,1,"4,237.5",109,-,"1,853.5",-,-,-,38,-,"1,752.0",71,101.5,-,-,-,-,6,"2,384.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2002,송파구,116,1,"4,234.0",109,-,"1,850.0",-,-,-,38,-,"1,748.0",71,102,-,-,-,-,7,"2,384.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2003,송파구,116,1,"4,235.0",109,-,"1,851.0",-,-,-,38,-,"1,749.0",71,102,-,-,-,-,7,"2,384.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2004,송파구,116,1,"4,234.0",109,-,"1,850.0",-,-,-,38,-,"1,748.0",71,102,-,-,-,-,7,"2,384.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2005,송파구,125,1,"4,528.0",115,-,"1,921.0",-,-,-,40,-,"1,813.0",75,108,-,-,-,-,10,"2,607.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2006,송파구,126,1,"4,529.0",116,-,"1,922.0",-,-,-,40,-,"1,813.0",76,109,-,-,-,-,10,"2,607.0",-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2007,송파구,139,(1),"4,660.2",128,-,"2,052.4",-,-,-,46,-,"1,922.7",82,129.7,-,-,-,-,11,"2,607.8",,-,-,-,-,-,-,-,(1),-,-,,,,,,,,,,,,
2008,송파구,141,1,"4,686.0",130,-,"2,078.0",-,-,-,47,-,"1,947.0",82,130,-,-,-,-,11,"2,608.0",,-,-,1,1,-,-,-,1,-,-,-,-,,,,,,,,,,
2009,송파구,144,1,"4,688.2",130,-,"2,078.1",-,-,-,47,-,"1,947.3",82,129.7,-,-,-,-,14,"2,610.1",,-,-,1,1,-,-,-,1,-,-,-,-,,,,,,,,,,
2010,송파구,141,1,"4,685.8",130,-,"2,078.1",-,-,-,47,-,"1,947.3",82,129.7,-,-,-,-,11,"2,607.8",,-,-,1,1,-,-,-,1,-,-,-,-,,,,,,,,,,
2011,송파구,,,,,,,-,-,-,49,-,"1,971.2",82,136.9,-,-,-,-,11,"2,607.8",,-,-,2,1.9,-,-,-,1,-,-,-,-,144,1,"4,717.8",133,-,"2,110.0",-,-,,
