기간	자치구	유치원	유치원	유치원	초등학교	초등학교	초등학교	중학교	중학교	중학교	고등학교	고등학교	고등학교
기간	자치구	원아수	교원현황	교원현황	재학생수	교원현황	교원현황	재학생수	교원현황	교원현황	재학생수	교원현황	교원현황
기간	자치구	원아수	교원수	교원1인당학생수	재학생수	교원수	교원1인당학생수	재학생수	교원수	교원1인당학생수	재학생수	교원수	교원1인당학생수
2011	합계	81,237	5,755	14.1	535,948	29,639	18.1	330,219	18,652	17.7	353,632	23,052	15.3
2011	종로구	1,179	84	14	7,714	497	15.5	5,086	323	15.7	14,380	1,008	14.3
2011	중구	1,149	86	13.4	6,948	440	15.8	3,845	255	15.1	10,447	764	13.7
2011	용산구	1,723	114	15.1	9,925	626	15.9	5,776	351	16.5	8,895	669	13.3
2011	성동구	2,484	180	13.8	16,002	968	16.5	8,423	516	16.3	7,453	564	13.2
2011	광진구	3,019	211	14.3	19,073	1,069	17.8	12,299	677	18.2	12,629	738	17.1
2011	동대문구	3,025	216	14	17,687	1,021	17.3	11,368	674	16.9	10,504	726	14.5
2011	중랑구	2,962	214	13.8	20,781	1,180	17.6	12,357	729	17	11,019	730	15.1
2011	성북구	5,068	353	14.4	27,079	1,435	18.9	13,772	797	17.3	13,720	931	14.7
2011	강북구	1,935	144	13.4	15,204	831	18.3	10,442	580	18	7,352	454	16.2
2011	도봉구	2,900	205	14.1	22,127	1,195	18.5	12,321	692	17.8	10,960	710	15.4
2011	노원구	7,600	498	15.3	39,278	2,047	19.2	26,047	1,378	18.9	32,513	2,082	15.6
2011	은평구	3,803	266	14.3	28,268	1,518	18.6	16,117	891	18.1	17,581	1,198	14.7
2011	서대문구	2,354	180	13.1	16,444	905	18.2	9,867	567	17.4	6,960	452	15.4
2011	마포구	3,231	213	15.2	19,473	1,160	16.8	10,413	611	17	7,957	531	15
2011	양천구	4,463	324	13.8	30,095	1,568	19.2	25,157	1,312	19.2	19,280	1,128	17.1
2011	강서구	4,819	349	13.8	32,454	1,717	18.9	15,415	880	17.5	24,655	1,589	15.5
2011	구로구	2,980	206	14.5	21,792	1,235	17.6	12,109	724	16.7	12,999	885	14.7
2011	금천구	1,635	110	14.9	12,232	753	16.2	7,717	464	16.6	6,876	453	15.2
2011	영등포구	3,508	259	13.5	18,766	1,143	16.4	10,496	633	16.6	10,086	698	14.4
2011	동작구	2,771	230	12	19,865	1,092	18.2	11,635	683	17	9,265	625	14.8
2011	관악구	4,294	284	15.1	22,334	1,239	18	12,859	760	16.9	13,961	1,005	13.9
2011	서초구	2,320	171	13.6	22,320	1,115	20	14,781	796	18.6	15,211	894	17
2011	강남구	2,909	244	11.9	25,487	1,405	18.1	20,763	1,112	18.7	27,356	1,645	16.6
2011	송파구	4,971	366	13.6	38,315	2,050	18.7	25,360	1,381	18.4	24,780	1,508	16.4
2011	강동구	4,135	248	16.7	26,285	1,430	18.4	15,794	866	18.2	16,793	1,065	15.8
2012	합계	87,997	6,213	14.2	502,000	29,762	16.9	315,241	18,442	17.1	344,391	23,245	14.8
2012	종로구	1,246	88	14.2	7,140	489	14.6	4,878	322	15.1	13,853	1,000	13.9
2012	중구	1,240	95	13.1	6,512	424	15.4	3,513	250	14.1	9,914	777	12.8
2012	용산구	1,754	123	14.3	9,423	628	15	5,803	351	16.5	8,220	664	12.4
2012	성동구	2,711	192	14.1	14,734	975	15.1	8,014	509	15.7	7,492	576	13
2012	광진구	3,219	236	13.6	17,675	1,051	16.8	11,745	662	17.7	12,446	724	17.2
2012	동대문구	3,100	232	13.4	16,516	1,003	16.5	10,655	639	16.7	10,215	736	13.9
2012	중랑구	3,141	218	14.4	19,027	1,167	16.3	11,597	711	16.3	10,639	733	14.5
2012	성북구	5,486	382	14.4	25,802	1,461	17.7	13,616	818	16.6	13,084	919	14.2
2012	강북구	2,076	154	13.5	14,066	825	17	9,900	576	17.2	7,437	496	15
2012	도봉구	3,151	221	14.3	20,400	1,158	17.6	11,590	667	17.4	10,473	693	15.1
2012	노원구	7,863	535	14.7	36,610	2,052	17.8	24,927	1,371	18.2	31,819	2,109	15.1
2012	은평구	4,642	319	14.6	26,813	1,551	17.3	15,724	875	18	17,702	1,214	14.6
2012	서대문구	2,512	188	13.4	15,137	906	16.7	9,162	555	16.5	6,635	454	14.6
2012	마포구	3,425	225	15.2	18,520	1,156	16	10,199	607	16.8	7,771	532	14.6
2012	양천구	4,960	339	14.6	28,427	1,600	17.8	24,196	1,314	18.4	18,780	1,138	16.5
2012	강서구	5,358	380	14.1	30,405	1,735	17.5	14,587	866	16.8	23,977	1,599	15
2012	구로구	3,320	229	14.5	20,997	1,282	16.4	11,596	705	16.4	12,954	895	14.5
2012	금천구	1,849	124	14.9	11,257	744	15.1	7,174	452	15.9	6,656	465	14.3
2012	영등포구	3,670	273	13.4	17,233	1,128	15.3	9,802	610	16.1	9,673	697	13.9
2012	동작구	3,246	262	12.4	18,676	1,100	17	11,056	676	16.4	9,033	629	14.4
2012	관악구	4,587	295	15.5	20,703	1,260	16.4	12,143	727	16.7	13,694	1,028	13.3
2012	서초구	2,442	174	14	21,727	1,164	18.7	14,359	803	17.9	14,712	891	16.5
2012	강남구	3,152	262	12	23,670	1,436	16.5	19,759	1,134	17.4	26,526	1,635	16.2
2012	송파구	5,560	410	13.6	35,933	2,045	17.6	24,124	1,347	17.9	24,326	1,556	15.6
2012	강동구	4,287	257	16.7	24,597	1,422	17.3	15,122	895	16.9	16,360	1,085	15.1
2013	합계	92,400	6,657	13.9	469,392	29,751	15.8	304,251	18,424	16.5	334,123	23,190	14.4
2013	종로구	1,263	89	14.2	6,561	502	13.1	4,700	318	14.8	13,538	1,000	13.5
2013	중구	1,289	102	12.6	6,066	427	14.2	3,266	247	13.2	9,600	757	12.7
2013	용산구	1,772	126	14.1	8,763	627	14	5,579	340	16.4	8,029	640	12.5
2013	성동구	2,623	191	13.7	13,713	956	14.3	7,710	507	15.2	7,290	578	12.6
2013	광진구	3,346	243	13.8	16,482	1,025	16.1	11,340	670	16.9	12,064	710	17
2013	동대문구	3,371	251	13.4	15,439	982	15.7	10,166	659	15.4	9,956	752	13.2
2013	중랑구	3,275	236	13.9	17,369	1,146	15.2	11,057	688	16.1	10,353	733	14.1
2013	성북구	5,875	410	14.3	24,544	1,443	17	13,366	821	16.3	12,291	898	13.7
2013	강북구	2,172	155	14	13,005	801	16.2	9,543	554	17.2	7,533	511	14.7
2013	도봉구	3,287	245	13.4	18,763	1,120	16.8	11,051	659	16.8	10,046	679	14.8
2013	노원구	8,163	581	14	33,518	2,007	16.7	24,160	1,364	17.7	31,184	2,122	14.7
2013	은평구	4,896	351	13.9	25,395	1,556	16.3	15,408	881	17.5	17,349	1,232	14.1
2013	서대문구	2,524	198	12.7	14,444	918	15.7	8,948	587	15.2	6,808	472	14.4
2013	마포구	3,217	223	14.4	17,375	1,182	14.7	9,906	611	16.2	7,476	534	14
2013	양천구	5,374	384	14	26,349	1,583	16.6	23,105	1,281	18	18,138	1,132	16
2013	강서구	5,462	414	13.2	28,241	1,747	16.2	14,217	853	16.7	22,955	1,608	14.3
2013	구로구	3,462	242	14.3	19,788	1,299	15.2	11,235	713	15.8	12,579	886	14.2
2013	금천구	2,055	143	14.4	10,406	763	13.6	6,732	456	14.8	6,588	458	14.4
2013	영등포구	3,841	284	13.5	15,941	1,128	14.1	9,247	592	15.6	9,299	678	13.7
2013	동작구	3,365	262	12.8	18,171	1,135	16	10,846	677	16	8,549	620	13.8
2013	관악구	4,608	303	15.2	19,157	1,243	15.4	11,457	724	15.8	13,578	1,042	13
2013	서초구	2,679	198	13.5	21,579	1,234	17.5	14,149	795	17.8	14,199	897	15.8
2013	강남구	3,800	302	12.6	22,280	1,442	15.5	19,048	1,135	16.8	25,600	1,630	15.7
2013	송파구	5,822	422	13.8	33,307	2,058	16.2	23,360	1,375	17	23,372	1,522	15.4
2013	강동구	4,859	302	16.1	22,736	1,427	15.9	14,655	917	16	15,749	1,099	14.3
2014	합계	91,195	6,651	13.7	457,517	29,613	15.4	286,826	18,350	15.6	320,398	22,957	14
2014	종로구	1,274	91	14	6,233	489	12.7	4,400	319	13.8	13,069	989	13.2
2014	중구	1,193	103	11.6	5,854	417	14	2,960	241	12.3	9,177	754	12.2
2014	용산구	1,761	124	14.2	8,529	615	13.9	5,310	351	15.1	7,737	636	12.2
2014	성동구	2,623	195	13.5	13,174	946	13.9	7,186	494	14.5	6,791	551	12.3
2014	광진구	3,251	242	13.4	16,086	1,040	15.5	10,378	655	15.8	11,550	700	16.5
