기간	자치구	고등학교(합계)	고등학교(합계)	고등학교(합계)	고등학교(합계)	고등학교(합계)	일반고	일반고	일반고	일반고	일반고	특수목적고	특수목적고	특수목적고	특수목적고	특수목적고	특성화고	특성화고	특성화고	특성화고	특성화고	자율고	자율고	자율고	자율고	자율고
기간	자치구	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타
기간	자치구	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타
2011	합계	121,946	68,557	56.2	5,987	47,402	79,745	44,695	56	1,248	33,802	4,818	3,134	65	176	1,508	18,869	10,548	55.9	4,330	3,991	18,514	10,180	55	233	8,101
2011	종로구	4,843	2,657	54.9	137	2,049	2,810	1,500	53.4	21	1,289	553	355	64.2	-	198	683	388	56.8	113	182	797	414	51.9	3	380
2011	중구	3,685	2,068	56.1	489	1,128	980	567	57.9	11	402	219	156	71.2	-	63	1,638	862	52.6	473	303	848	483	57	5	360
2011	용산구	3,381	1,925	56.9	202	1,254	2,175	1,258	57.8	1	916	-	-	-	-	-	912	512	56.1	182	218	294	155	52.7	19	120
2011	성동구	2,188	1,225	56	149	814	509	311	61.1	18	180	-	-	-	-	-	875	452	51.7	122	301	804	462	57.5	9	333
2011	광진구	4,817	2,820	58.5	35	1,962	3,987	2,269	56.9	35	1,683	830	551	66.4	-	279	-	-	-	-	-	-	-	-	-	-
2011	동대문구	3,693	2,217	60	267	1,209	1,625	1,045	64.3	18	562	-	-	-	-	-	686	324	47.2	214	148	1,382	848	61.4	35	499
2011	중랑구	3,898	2,425	62.2	114	1,359	2,680	1,625	60.6	6	1,049	-	-	-	-	-	450	306	68	72	72	768	494	64.3	36	238
2011	성북구	4,859	2,722	56	253	1,884	2,342	1,448	61.8	9	885	432	257	59.5	-	175	891	362	40.6	220	309	1,194	655	54.9	24	515
2011	강북구	2,244	1,328	59.2	50	866	1,561	970	62.1	-	591	-	-	-	-	-	188	110	58.5	35	43	495	248	50.1	15	232
2011	도봉구	3,888	2,140	55	114	1,634	2,115	1,166	55.1	42	907	364	187	51.4	-	177	628	320	51	72	236	781	467	59.8	-	314
2011	노원구	11,034	6,094	55.2	637	4,303	7,916	4,302	54.3	93	3,521	-	-	-	-	-	2,754	1,596	58	544	614	364	196	53.8	-	168
2011	은평구	5,538	3,450	62.3	329	1,759	3,526	2,256	64	98	1,172	-	-	-	-	-	1,416	876	61.9	231	309	596	318	53.4	-	278
2011	서대문구	2,786	1,549	55.6	45	1,192	1,981	1,049	53	45	887	160	160	100	-	-	-	-	-	-	-	645	340	52.7	-	305
2011	마포구	2,872	1,656	57.7	81	1,135	1,593	908	57	2	683	-	-	-	-	-	561	385	68.6	57	119	718	363	50.6	22	333
2011	양천구	6,532	3,512	53.8	198	2,822	5,198	2,839	54.6	90	2,269	-	-	-	-	-	420	261	62.1	108	51	914	412	45.1	-	502
2011	강서구	8,584	5,020	58.5	507	3,057	5,613	3,226	57.5	82	2,305	684	438	64	-	246	1,658	948	57.2	393	317	629	408	64.9	32	189
2011	구로구	4,133	2,610	63.2	283	1,240	1,696	1,074	63.3	2	620	335	247	73.7	15	73	983	605	61.5	266	112	1,119	684	61.1	-	435
2011	금천구	2,443	1,602	65.6	96	745	1,394	920	66	38	436	213	161	75.6	-	52	352	228	64.8	58	66	484	293	60.5	-	191
2011	영등포구	3,667	2,198	59.9	146	1,323	2,695	1,559	57.8	83	1,053	-	-	-	-	-	208	141	67.8	43	24	764	498	65.2	20	246
2011	동작구	3,156	1,662	52.7	296	1,198	2,186	1,193	54.6	118	875	-	-	-	-	-	556	250	45	178	128	414	219	52.9	-	195
2011	관악구	5,043	2,913	57.8	394	1,736	3,265	1,906	58.4	53	1,306	148	62	41.9	66	20	802	440	54.9	265	97	828	505	61	10	313
2011	서초구	5,008	2,358	47.1	69	2,581	3,804	1,807	47.5	17	1,980	-	-	-	-	-	192	85	44.3	52	55	1,012	466	46	-	546
2011	강남구	9,375	4,541	48.4	165	4,669	6,713	3,179	47.4	6	3,528	377	220	58.4	79	78	586	407	69.5	78	101	1,699	735	43.3	2	962
2011	송파구	8,602	4,594	53.4	596	3,412	7,334	3,956	53.9	250	3,128	132	95	72	16	21	748	317	42.4	330	101	388	226	58.2	-	162
2011	강동구	5,677	3,271	57.6	335	2,071	4,047	2,362	58.4	110	1,575	371	245	66	-	126	682	373	54.7	224	85	577	291	50.4	1	285
2012	합계	117,682	65,632	55.8	8,897	43,153	75,848	43,628	57.5	1,317	30,903	4,807	3,076	64	227	1,504	18,158	8,250	45.4	7,144	2,764	18,869	10,678	56.6	209	7,982
2012	종로구	4,816	2,635	54.7	199	1,982	2,806	1,531	54.6	17	1,258	610	369	60.5	-	241	603	321	53.2	177	105	797	414	51.9	5	378
2012	중구	3,571	1,928	54	650	993	998	583	58.4	8	407	210	143	68.1	-	67	1,491	605	40.6	627	259	872	597	68.5	15	260
2012	용산구	3,187	1,776	55.7	330	1,081	2,062	1,202	58.3	1	859	-	-	-	-	-	881	458	52	310	113	244	116	47.5	19	109
2012	성동구	2,390	1,289	53.9	288	813	770	449	58.3	24	297	-	-	-	-	-	856	397	46.4	227	232	764	443	58	37	284
2012	광진구	4,217	2,600	61.7	32	1,585	2,921	1,733	59.3	32	1,156	821	651	79.3	-	170	-	-	-	-	-	475	216	45.5	-	259
2012	동대문구	3,488	2,081	59.7	324	1,083	1,495	987	66	6	502	-	-	-	-	-	701	287	40.9	310	104	1,292	807	62.5	8	477
2012	중랑구	3,693	2,368	64.1	206	1,119	2,514	1,583	63	47	884	-	-	-	-	-	458	264	57.6	139	55	721	521	72.3	20	180
2012	성북구	4,566	2,468	54.1	473	1,625	2,223	1,360	61.2	-	863	425	218	51.3	-	207	951	353	37.1	449	149	967	537	55.5	24	406
2012	강북구	2,418	1,475	61	87	856	1,487	977	65.7	21	489	-	-	-	-	-	194	111	57.2	43	40	737	387	52.5	23	327
2012	도봉구	3,771	2,108	55.9	201	1,462	2,084	1,133	54.4	42	909	357	159	44.5	-	198	534	273	51.1	159	102	796	543	68.2	-	253
2012	노원구	10,625	5,890	55.4	1,217	3,518	7,624	4,446	58.3	111	3,067	-	-	-	-	-	2,633	1,209	45.9	1,106	318	368	235	63.9	-	133
2012	은평구	5,705	3,098	54.3	556	2,051	3,834	2,192	57.2	141	1,501	-	-	-	-	-	1,326	620	46.8	415	291	545	286	52.5	-	259
2012	서대문구	2,554	1,488	58.3	105	961	1,783	1,005	56.4	105	673	153	151	98.7	-	2	-	-	-	-	-	618	332	53.7	-	286
2012	마포구	2,625	1,508	57.4	243	874	981	577	58.8	-	404	-	-	-	-	-	565	259	45.8	226	80	1,079	672	62.3	17	390
2012	양천구	6,375	3,461	54.3	278	2,636	5,011	2,831	56.5	109	2,071	-	-	-	-	-	440	233	53	169	38	924	397	43	-	527
2012	강서구	8,107	4,587	56.6	772	2,748	5,443	3,255	59.8	117	2,071	672	424	63.1	-	248	1,638	718	43.8	655	265	354	190	53.7	-	164
2012	구로구	4,191	2,542	60.7	399	1,250	1,802	1,161	64.4	5	636	354	251	70.9	-	103	902	438	48.6	383	81	1,133	692	61.1	11	430
2012	금천구	2,311	1,446	62.6	184	681	1,327	903	68	21	403	175	121	69.1	-	54	361	151	41.8	163	47	448	271	60.5	-	177
2012	영등포구	3,316	2,042	61.6	109	1,165	2,315	1,413	61	31	871	-	-	-	-	-	190	84	44.2	68	38	811	545	67.2	10	256
2012	동작구	3,022	1,658	54.9	267	1,097	2,059	1,211	58.8	49	799	-	-	-	-	-	541	232	42.9	218	91	422	215	50.9	-	207
2012	관악구	4,658	2,733	58.7	485	1,440	2,975	1,832	61.6	52	1,091	146	51	34.9	78	17	821	396	48.2	338	87	716	454	63.4	17	245
2012	서초구	5,159	2,569	49.8	102	2,488	3,957	1,981	50.1	19	1,957	-	-	-	-	-	179	80	44.7	83	16	1,023	508	49.7	-	515
2012	강남구	9,326	4,437	47.6	352	4,537	6,651	3,287	49.4	11	3,353	380	192	50.5	144	44	507	221	43.6	194	92	1,788	737	41.2	3	1,048
2012	송파구	8,158	4,352	53.3	618	3,188	6,893	3,746	54.3	237	2,910	137	111	81	5	21	715	235	32.9	376	104	413	260	63	-	153
2012	강동구	5,433	3,093	56.9	420	1,920	3,833	2,250	58.7	111	1,472	367	235	64	-	132	671	305	45.5	309	57	562	303	53.9	-	259
2013	합계	115,888	64,457	55.6	9,652	41,779	76,662	45,507	59.4	1,616	29,539	4,996	3,065	61.3	354	1,577	17,392	6,340	36.5	7,539	3,513	16,838	9,545	56.7	143	7,150
2013	종로구	4,623	2,571	55.6	262	1,790	2,738	1,589	58	13	1,136	627	440	70.2	-	187	616	207	33.6	246	163	642	335	52.2	3	304
2013	중구	3,348	1,603	47.9	709	1,036	943	587	62.2	12	344	201	122	60.7	-	79	1,491	488	32.7	695	308	713	406	56.9	2	305
2013	용산구	2,787	1,481	53.1	332	974	1,745	1,045	59.9	8	692	-	-	-	-	-	819	325	39.7	324	170	223	111	49.8	-	112
2013	성동구	2,444	1,277	52.3	261	906	817	476	58.3	26	315	-	-	-	-	-	858	331	38.6	235	292	769	470	61.1	-	299
2013	광진구	4,244	2,685	63.3	71	1,488	3,006	1,890	62.9	71	1,045	813	550	67.7	-	263	-	-	-	-	-	425	245	57.6	-	180
2013	동대문구	3,459	2,044	59.1	329	1,086	1,493	1,041	69.7	7	445	-	-	-	-	-	706	211	29.9	312	183	1,260	792	62.9	10	458
2013	중랑구	3,581	2,361	65.9	220	1,000	2,428	1,621	66.8	74	733	-	-	-	-	-	459	244	53.2	146	69	694	496	71.5	-	198
2013	성북구	4,648	2,496	53.7	554	1,598	2,802	1,775	63.3	101	926	428	265	61.9	-	163	947	255	26.9	445	247	471	201	42.7	8	262
2013	강북구	2,326	1,341	57.7	148	837	1,506	916	60.8	45	545	-	-	-	-	-	196	95	48.5	72	29	624	330	52.9	31	263
2013	도봉구	3,551	1,982	55.8	303	1,266	1,969	1,121	56.9	160	688	342	181	52.9	-	161	517	207	40	143	167	723	473	65.4	-	250
2013	노원구	10,487	5,667	54	1,212	3,608	7,705	4,541	58.9	89	3,075	-	-	-	-	-	2,507	949	37.9	1,123	435	275	177	64.4	-	98
