기간	자치구	학교수	학급수	학생수	학생수	학생수	교원수	교원수	사무직원수	사무직원수	졸업자현황	졸업자현황	입학자현황	입학자현황	교지면적	건물면적	교실수
기간	자치구	학교수	학급수	계	남자	여자	계	여자	계	여자	졸업자수	진학자수	입학정원수	입학자수	교지면적	건물면적	교실수
2011	합계	71	2,560	88,561	47,146	41,415	5,623	3,432	461	204	29,082	15,322	31,496	30,900	1,426	1,004	2,655
2011	국립	1	27	984	496	488	61	36	5	2	325	208	312	340	36	10	33
2011	공립	70	2,533	87,577	46,650	40,927	5,562	3,396	456	202	28,757	15,114	31,184	30,560	1,390	994	2,622
2011	종로구	1	48	1,705	1,705	-	104	50	9	2	592	225	540	558	51	22	51
2011	용산구	1	43	1,433	1,433	-	91	47	7	3	585	262	455	473	36	16	45
2011	성동구	2	72	2,417	555	1,862	155	108	13	6	509	311	826	830	49	27	86
2011	광진구	3	140	4,769	3,007	1,762	312	190	19	9	1,765	915	1,582	1,585	48	45	144
2011	중랑구	3	108	3,794	2,425	1,369	234	148	21	11	1,281	728	1,305	1,308	45	39	111
2011	성북구	2	63	2,346	1,219	1,127	146	88	11	4	786	457	767	796	55	23	70
2011	강북구	2	50	1,593	180	1,413	106	70	13	6	471	282	722	728	25	28	51
2011	도봉구	4	136	4,751	2,633	2,118	298	176	24	10	1,604	863	1,639	1,635	61	58	137
2011	노원구	4	149	5,257	3,686	1,571	315	188	27	13	1,799	951	1,774	1,831	54	53	160
2011	은평구	3	71	2,176	1,150	1,026	153	93	15	7	-	-	941	954	44	33	72
2011	마포구	1	43	1,353	-	1,353	98	64	7	4	512	293	509	507	34	16	43
2011	양천구	3	103	3,811	1,485	2,326	239	157	20	11	1,312	688	1,232	1,247	57	39	103
2011	강서구	3	100	3,210	1,603	1,607	207	116	17	8	855	492	1,899	1,101	40	41	103
2011	구로구	4	141	5,130	2,914	2,216	309	192	25	13	1,444	900	1,838	1,849	61	50	161
2011	금천구	1	36	1,201	685	516	78	53	7	3	413	232	402	408	20	15	33
2011	영등포구	6	217	7,320	3,417	3,903	486	308	41	13	2,695	1,559	2,635	2,611	87	79	222
2011	동작구	3	108	3,590	1,660	1,930	246	146	20	9	1,263	646	1,218	1,213	68	44	112
2011	관악구	3	99	3,011	1,377	1,634	226	152	19	9	1,125	610	1,003	1,000	52	35	93
2011	서초구	5	191	6,956	4,539	2,417	423	257	36	15	2,322	998	2,266	2,278	136	82	195
2011	강남구	5	198	7,545	3,849	3,696	443	265	37	14	2,713	1,214	2,518	2,527	194	87	201
2011	송파구	8	322	11,314	6,249	5,065	694	408	52	25	3,878	2,023	3,973	3,983	145	117	330
2011	강동구	4	122	3,879	1,375	2,504	260	156	21	9	1,158	673	1,452	1,478	64	52	132
2012	합계	72	2,544	85,747	46,360	39,387	5,596	3,464	467	202	27,747	15,275	28,201	28,741	1,405	1,024	2,721
2012	국립	1	27	1,015	511	504	65	40	3	-	314	202	312	344	36	10	33
2012	공립	71	2,517	84,732	45,849	38,883	5,531	3,424	464	202	27,433	15,073	27,889	28,397	1,369	1,013	2,688
2012	종로구	1	47	1,640	1,640	-	99	48	9	1	594	246	518	523	50	22	51
2012	용산구	1	43	1,372	1,372	-	93	51	10	5	519	239	504	499	36	16	45
2012	성동구	2	77	2,526	588	1,938	164	111	14	8	770	449	870	880	51	27	89
2012	광진구	2	96	3,400	2,095	1,305	215	134	14	7	1,088	611	1,121	1,122	32	32	100
2012	동대문구	1	8	214	123	91	21	9	4	2	-	-	210	218	13	10	24
2012	중랑구	3	107	3,599	2,361	1,238	228	150	20	10	1,270	708	1,089	1,086	45	39	112
2012	성북구	2	63	2,376	1,288	1,088	142	86	11	4	764	448	765	799	55	24	72
2012	강북구	2	61	1,853	372	1,481	130	92	13	6	449	282	716	722	25	28	66
2012	도봉구	4	136	4,707	2,670	2,037	291	176	25	9	1,582	824	1,553	1,569	61	58	138
2012	노원구	4	151	5,132	3,602	1,530	318	189	26	13	1,749	1,095	1,732	1,743	54	54	161
2012	은평구	3	82	2,442	1,252	1,190	175	112	15	5	628	332	960	964	44	39	93
2012	양천구	3	103	3,688	1,612	2,076	233	155	18	10	1,229	683	1,134	1,161	53	38	106
2012	강서구	3	98	2,975	1,380	1,595	211	117	18	8	1,131	630	989	984	41	47	131
2012	구로구	4	142	5,341	3,156	2,185	316	188	22	9	1,551	976	1,791	1,792	61	51	162
2012	금천구	1	36	1,153	648	505	80	52	6	2	400	263	358	360	20	15	33
2012	영등포구	6	218	7,164	3,340	3,824	496	326	38	13	2,315	1,413	2,258	2,226	87	79	221
2012	동작구	3	108	3,570	1,619	1,951	241	144	22	12	1,151	660	1,151	1,183	68	45	111
2012	관악구	4	106	3,069	1,408	1,661	244	159	25	9	1,020	582	1,121	1,104	66	51	100
2012	서초구	5	190	6,713	4,424	2,289	422	265	36	15	2,350	1,095	2,219	2,238	136	82	193
2012	강남구	5	199	7,413	3,758	3,655	442	262	41	18	2,511	1,218	1,945	2,388	194	89	198
2012	송파구	9	336	11,320	6,080	5,240	744	460	57	27	3,550	1,847	3,788	3,794	152	126	360
2012	강동구	4	137	4,080	1,572	2,508	291	178	23	9	1,126	674	1,409	1,386	61	52	155
2013	합계	73	2,591	84,601	45,670	38,931	5,641	3,543	488	219	27,902	15,724	27,807	27,731	1,369	1,031	2,706
2013	국립	1	27	991	499	492	65	38	5	1	339	227	319	319	-	10	27
2013	공립	72	2,564	83,610	45,171	38,439	5,576	3,505	483	218	27,563	15,497	27,488	27,412	1,369	1,020	2,679
2013	종로구	1	46	1,589	1,589	-	96	48	9	2	542	240	490	507	48	22	51
2013	용산구	1	43	1,400	1,400	-	90	52	7	3	436	221	451	458	36	16	45
2013	성동구	2	78	2,520	568	1,952	166	118	12	7	817	476	826	827	49	27	86
2013	광진구	2	96	3,322	1,988	1,334	211	132	13	8	1,178	670	1,127	1,117	32	32	96
2013	동대문구	1	16	439	264	175	35	20	4	1	-	-	223	227	13	10	24
2013	중랑구	3	107	3,489	2,386	1,103	224	144	22	9	1,214	742	1,121	1,124	45	39	110
2013	성북구	2	63	2,280	1,253	1,027	145	84	12	3	787	510	712	712	19	24	64
2013	강북구	2	72	2,105	545	1,560	151	111	14	8	418	246	691	685	25	28	69
2013	도봉구	4	137	4,654	2,669	1,985	290	172	23	7	1,522	852	1,498	1,497	61	58	139
2013	노원구	4	151	5,095	3,576	1,519	320	188	29	14	1,652	926	1,677	1,710	54	54	162
2013	은평구	3	93	2,699	1,373	1,326	194	127	17	6	589	312	884	871	44	39	103
2013	서대문구	1	9	289	143	146	23	12	5	1	-	-	280	289	7	13	29
2013	양천구	3	101	3,488	1,562	1,926	228	154	19	11	1,306	732	1,135	1,134	53	38	105
2013	강서구	3	94	2,717	1,332	1,385	214	128	20	9	983	584	847	836	41	41	94
2013	구로구	4	143	5,244	3,109	2,135	318	190	24	9	1,714	1,108	1,691	1,692	61	51	163
2013	금천구	1	36	1,083	599	484	81	56	7	4	405	244	345	344	20	15	33
2013	영등포구	6	218	6,927	3,216	3,711	485	320	41	18	2,343	1,479	2,130	2,104	87	79	218
2013	동작구	3	108	3,498	1,523	1,975	235	143	24	13	1,219	732	1,149	1,170	68	45	111
2013	관악구	4	113	3,198	1,399	1,799	255	169	24	8	980	568	1,169	1,133	66	51	99
2013	서초구	5	191	6,499	4,275	2,224	414	263	39	20	2,336	1,076	2,236	2,226	136	82	193
2013	강남구	5	199	7,205	3,607	3,598	445	279	39	16	2,484	1,179	2,337	2,328	192	88	201
2013	송파구	9	333	10,798	5,698	5,100	720	442	57	28	3,711	2,065	3,442	3,429	152	126	352
2013	강동구	4	144	4,063	1,596	2,467	301	191	27	14	1,266	762	1,346	1,311	61	52	159
2014	합계	73	2,563	79,952	42,727	37,225	5,580	3,573	496	244	28,764	16,857	25,210	25,033	1,360	1,036	2,653
2014	국립	1	27	973	497	476	66	37	5	1	323	245	304	320	-	10	27
2014	공립	72	2,536	78,979	42,230	36,749	5,514	3,536	491	243	28,441	16,612	24,906	24,713	1,360	1,026	2,626
2014	종로구	1	43	1,444	1,444	-	93	46	9	2	559	282	408	421	48	22	57
2014	용산구	1	43	1,393	1,393	-	91	59	7	3	441	307	446	450	36	18	43
2014	성동구	2	77	2,360	505	1,855	160	110	11	5	823	535	687	687	49	27	85
2014	광진구	2	95	3,279	1,884	1,395	211	132	14	9	1,103	631	1,078	1,078	32	32	96
2014	동대문구	1	24	628	299	329	55	34	5	3	-	-	210	210	13	10	24
2014	중랑구	3	104	3,082	1,979	1,103	221	144	22	9	1,283	771	936	920	45	39	104
2014	성북구	2	62	2,120	1,145	975	143	83	11	2	770	521	634	637	19	24	63
