기간	자치구	초·중·고 학생수	사설학원수	학생1만명당 사설학원수
2011	합계	1,219,799	13,477	110.5
2011	종로구	27,180	299	110
2011	중구	21,240	144	67.8
2011	용산구	24,596	161	65.5
2011	성동구	31,878	287	90
2011	광진구	44,001	427	97
2011	동대문구	39,559	352	89
2011	중랑구	44,157	354	80.2
2011	성북구	54,571	449	82.3
2011	강북구	32,998	254	77
2011	도봉구	45,408	270	59.5
2011	노원구	97,838	456	46.6
2011	은평구	61,966	532	85.9
2011	서대문구	33,271	343	103.1
2011	마포구	37,843	574	151.7
2011	양천구	74,532	923	123.8
2011	강서구	72,524	673	92.8
2011	구로구	46,900	426	90.8
2011	금천구	26,825	228	85
2011	영등포구	39,348	477	121.2
2011	동작구	40,765	424	104
2011	관악구	49,154	554	112.7
2011	서초구	52,312	976	186.6
2011	강남구	73,606	1,965	267
2011	송파구	88,455	1,172	132.5
2011	강동구	58,872	757	128.6
2012	합계	1,161,632	13,688	117.8
2012	종로구	25,871	278	107.5
2012	중구	19,939	142	71.2
2012	용산구	23,446	166	70.8
2012	성동구	30,240	274	90.6
2012	광진구	41,866	450	107.5
2012	동대문구	37,386	315	84.3
2012	중랑구	41,263	330	80
2012	성북구	52,502	484	92.2
2012	강북구	31,403	254	80.9
2012	도봉구	42,463	341	80.3
2012	노원구	93,356	645	69.1
2012	은평구	60,239	536	89
2012	서대문구	30,934	330	106.7
2012	마포구	36,490	582	159.5
2012	양천구	71,403	969	135.7
2012	강서구	68,969	677	98.2
2012	구로구	45,547	393	86.3
2012	금천구	25,087	213	84.9
2012	영등포구	36,708	458	124.8
2012	동작구	38,765	429	110.7
2012	관악구	46,540	472	101.4
2012	서초구	50,798	1,008	198.4
2012	강남구	69,955	2,014	287.9
2012	송파구	84,383	1,176	139.4
2012	강동구	56,079	752	134.1
2013	합계	1,107,766	13,405	121
2013	종로구	24,799	280	112.9
2013	중구	18,932	135	71.3
2013	용산구	22,371	166	74.2
2013	성동구	28,713	262	91.3
2013	광진구	39,886	420	105.3
2013	동대문구	35,561	331	93.1
2013	중랑구	38,779	321	82.8
2013	성북구	50,201	466	92.8
2013	강북구	30,081	248	82.4
2013	도봉구	39,860	263	66
2013	노원구	88,862	593	66.7
2013	은평구	58,152	485	83.4
2013	서대문구	30,200	319	105.6
2013	마포구	34,757	558	160.5
2013	양천구	67,592	973	144
2013	강서구	65,413	667	102
2013	구로구	43,602	407	93.3
2013	금천구	23,726	214	90.2
2013	영등포구	34,487	450	130.5
2013	동작구	37,566	465	123.8
2013	관악구	44,192	478	108.2
2013	서초구	49,927	1,050	210.3
2013	강남구	66,928	2,018	301.5
2013	송파구	80,039	1,118	139.7
2013	강동구	53,140	718	135.1
2014	합계	1,064,741	13,671	128.4
2014	종로구	23,702	273	115.2
2014	중구	17,991	129	71.7
2014	용산구	21,576	162	75.1
2014	성동구	27,151	262	96.5
2014	광진구	38,014	438	115.2
2014	동대문구	34,374	328	95.4
2014	중랑구	36,679	198	54
2014	성북구	48,609	455	93.6
2014	강북구	28,553	234	82
2014	도봉구	37,843	385	101.7
2014	노원구	84,636	791	93.5
2014	은평구	56,189	436	77.6
2014	서대문구	28,952	319	110.2
2014	마포구	33,723	577	171.1
2014	양천구	64,559	987	152.9
2014	강서구	62,705	671	107
2014	구로구	42,400	390	92
2014	금천구	22,311	212	95
2014	영등포구	32,839	448	136.4
2014	동작구	36,338	441	121.4
2014	관악구	42,196	463	109.7
2014	서초구	49,594	1,085	218.8
2014	강남구	65,652	2,143	326.4
2014	송파구	77,441	1,115	144
2014	강동구	50,714	729	143.8
2015	합계	1,022,447	13,989	136.8
2015	종로구	22,672	261	115.1
2015	중구	17,335	126	72.7
2015	용산구	20,589	163	79.2
2015	성동구	25,511	275	107.8
2015	광진구	36,099	446	123.6
2015	동대문구	33,295	349	104.8
2015	중랑구	34,708	297	85.6
2015	성북구	46,362	433	93.4
2015	강북구	26,925	227	84.3
2015	도봉구	35,664	366	102.6
2015	노원구	80,782	780	96.6
2015	은평구	53,537	515	96.2
2015	서대문구	27,680	301	108.7
2015	마포구	32,982	565	171.3
2015	양천구	62,114	1,031	166
2015	강서구	61,607	706	114.6
2015	구로구	41,103	393	95.6
2015	금천구	21,119	209	99
2015	영등포구	31,151	447	143.5
2015	동작구	34,877	445	127.6
2015	관악구	39,957	446	111.6
2015	서초구	49,118	1,181	240.4
2015	강남구	65,597	2,196	334.8
2015	송파구	73,232	1,100	150.2
2015	강동구	48,431	731	150.9
2016	합계	975,589	13,974	143.2
2016	종로구	21,270	278	130.7
2016	중구	15,918	127	79.8
2016	용산구	19,668	165	83.9
2016	성동구	24,317	279	114.7
2016	광진구	34,155	429	125.6
2016	동대문구	31,535	355	112.6
2016	중랑구	32,578	306	93.9
2016	성북구	44,979	453	100.7
2016	강북구	25,351	233	91.9
2016	도봉구	33,608	374	111.3
