,subwayNo,Line,subwayName,address_kor1,address_kor2,address_kor3,latitude,longitude
0,150,1,서울,서울특별시 중구 세종대로 지하 2 (남대문로 5가),서울특별시 중구 세종대로 지하 2 ,서울특별시 중구 서울역,37.5561616,126.9723421
1,151,1,시청,서울특별시 중구 세종대로 지하 101 (정동),서울특별시 중구 세종대로 지하 101 ,서울특별시 중구 시청역,37.5652772,126.977104
2,152,1,종각,서울특별시 종로구 종로 지하 55 (종로1가),서울특별시 종로구 종로 지하 55 ,서울특별시 종로구 종각역,37.5701834,126.9829019
3,153,1,종로3가,서울특별시 종로구 종로 지하 129 (종로3가),서울특별시 종로구 종로 지하 129 ,서울특별시 종로구 종로3가역,37.5704309,126.9922249
4,154,1,종로5가,서울특별시 종로구 종로 지하 216  (종로5가),서울특별시 종로구 종로 지하 216  ,서울특별시 종로구 종로5가역,37.5709758,127.0019179
5,155,1,동대문,서울특별시 종로구 종로 지하 302 (창신동),서울특별시 종로구 종로 지하 302 ,서울특별시 종로구 동대문역,37.5714064,127.0093351
6,156,1,신설동,서울특별시 동대문구 왕산로 지하 1 (신설동),서울특별시 동대문구 왕산로 지하 1 ,서울특별시 동대문구 신설동역,37.57614,127.02563
7,157,1,제기동,서울특별시 동대문구 왕산로 지하 93 (제기동),서울특별시 동대문구 왕산로 지하 93 ,서울특별시 동대문구 제기동역,37.57799,127.03727
8,158,1,청량리,서울특별시 동대문구 왕산로 지하 205(전농동),서울특별시 동대문구 왕산로 지하 205,서울특별시 동대문구 청량리역,37.58044,127.046201
9,159,1,동묘앞,서울특별시 종로구 종로 359 (숭인동),서울특별시 종로구 종로 359 ,서울특별시 종로구 동묘앞역,37.5729947,127.015596
10,200,2,까치산,서울특별시 강서구 강서로 지하54 (화곡동),서울특별시 강서구 강서로 지하54 ,서울특별시 강서구 까치산역,37.5321119,126.8465265
11,201,2,시청,서울특별시 중구 세종대로 지하 101 (정동),서울특별시 중구 세종대로 지하 101 ,서울특별시 중구 시청역,37.5652772,126.977104
12,202,2,을지로입구,서울특별시 중구 을지로 지하 42 (을지로1가),서울특별시 중구 을지로 지하 42 ,서울특별시 중구 을지로입구역,37.5659494,126.9826171
13,203,2,을지로3가,서울특별시 중구 을지로 지하 106 (을지로3가),서울특별시 중구 을지로 지하 106 ,서울특별시 중구 을지로3가역,37.5663629,126.9925882
14,204,2,을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가),서울특별시 중구 을지로 지하 178 ,서울특별시 중구 을지로4가역,37.55725255,126.99382100905797
15,205,2,동대문역사문화공원,서울특별시 중구 을지로 지하 279 (을지로7가),서울특별시 중구 을지로 지하 279 ,서울특별시 중구 동대문역사문화공원역,37.5652615,127.0081233
16,206,2,신당,서울특별시 중구 퇴계로 지하 431-1 (신당동),서울특별시 중구 퇴계로 지하 431-1 ,서울특별시 중구 신당역,37.5653839,127.016252
17,207,2,상왕십리,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),서울특별시 성동구 왕십리로 지하 374 ,서울특별시 성동구 상왕십리역,37.5659227,127.0299688
18,208,2,왕십리,서울특별시 성동구 왕십리로 지하300 (행당동),서울특별시 성동구 왕십리로 지하300 ,서울특별시 성동구 왕십리역,37.5611426,127.0354423
19,209,2,한양대,서울특별시 성동구 왕십리로 206 (행당동),서울특별시 성동구 왕십리로 206 ,서울특별시 성동구 한양대역,37.5557271,127.0436642
20,210,2,뚝섬,서울특별시 성동구 아차산로 18 (성수동1가),서울특별시 성동구 아차산로 18 ,서울특별시 성동구 뚝섬역,37.5472239,127.0474353
21,211,2,성수,서울특별시 성동구 아차산로 100 (성수동2가),서울특별시 성동구 아차산로 100 ,서울특별시 성동구 성수역,37.54541,127.05359
22,212,2,건대입구,서울특별시 광진구 아차산로 243 (화양동),서울특별시 광진구 아차산로 243 ,서울특별시 광진구 건대입구역,37.54088,127.06812
23,213,2,구의,서울특별시 광진구 아차산로 384-1 (구의동),서울특별시 광진구 아차산로 384-1 ,서울특별시 광진구 구의역,37.5371676,127.0862214
24,214,2,강변,서울특별시 광진구 강변역로 53 (구의동),서울특별시 광진구 강변역로 53 ,서울특별시 광진구 강변역,37.5349741,127.09482195686053
25,215,2,잠실나루,서울특별시 송파구 오금로 20 (신천동),서울특별시 송파구 오금로 20 ,서울특별시 송파구 잠실나루역,37.5183276,127.1044557
26,216,2,잠실,서울특별시 송파구 올림픽로 지하 265 (잠실동),서울특별시 송파구 올림픽로 지하 265 ,서울특별시 송파구 잠실역,37.5136978,127.1002166
27,217,2,잠실새내,서울특별시 송파구 올림픽로 지하 140 (잠실동),서울특별시 송파구 올림픽로 지하 140 ,서울특별시 송파구 잠실새내역,37.5119232,127.0839435
28,218,2,종합운동장,서울특별시 송파구 올림픽로 지하 23 (잠실동),서울특별시 송파구 올림픽로 지하 23 ,서울특별시 송파구 종합운동장역,37.5110748,127.0737076
29,219,2,삼성,서울특별시 강남구 테헤란로 지하 538 (삼성동),서울특별시 강남구 테헤란로 지하 538 ,서울특별시 강남구 삼성역,37.5088402,127.063143
30,220,2,선릉,서울특별시 강남구 테헤란로 지하 340 (삼성동),서울특별시 강남구 테헤란로 지하 340 ,서울특별시 강남구 선릉역,37.5057841,127.0484379
31,221,2,역삼,서울특별시 강남구 테헤란로 지하 156 (역삼동),서울특별시 강남구 테헤란로 지하 156 ,서울특별시 강남구 역삼역,37.500278,127.0346809
32,222,2,강남,서울특별시 강남구 강남대로 지하 396 (역삼동),서울특별시 강남구 강남대로 지하 396 ,서울특별시 강남구 강남역,37.50012,127.02682
33,223,2,교대,서울특별시 서초구 서초대로 지하 294 (서초동),서울특별시 서초구 서초대로 지하 294 ,서울특별시 서초구 교대역,37.4936592,127.0137025
34,224,2,서초,서울특별시 서초구 서초대로 지하 233 (서초동),서울특별시 서초구 서초대로 지하 233 ,서울특별시 서초구 서초역,37.4930749,127.0071965
35,225,2,방배,서울특별시 서초구 방배로 지하 80 (방배동),서울특별시 서초구 방배로 지하 80 ,서울특별시 서초구 방배역,37.4814662,126.9977072
36,226,2,사당,서울특별시 동작구 남부순환로 지하 2089 (사당동),서울특별시 동작구 남부순환로 지하 2089 ,서울특별시 동작구 사당역,37.4787288,126.9820131
37,227,2,낙성대,서울특별시 관악구 남부순환로 지하 1928 (봉천동),서울특별시 관악구 남부순환로 지하 1928 ,서울특별시 관악구 낙성대역,37.4770623,126.9634876
38,228,2,서울대입구,서울특별시 관악구 남부순환로 지하 1822 (봉천동),서울특별시 관악구 남부순환로 지하 1822 ,서울특별시 관악구 서울대입구역,37.48068,126.95241
39,229,2,봉천,서울특별시 관악구 남부순환로 지하 1721 (봉천동),서울특별시 관악구 남부순환로 지하 1721 ,서울특별시 관악구 봉천역,37.4823889,126.9419387
40,230,2,신림,서울특별시 관악구 남부순환로 지하 1614 (신림동),서울특별시 관악구 남부순환로 지하 1614 ,서울특별시 관악구 신림역,37.4842238,126.9285263
41,231,2,신대방,서울특별시 동작구 대림로 2 (신대방동),서울특별시 동작구 대림로 2 ,서울특별시 동작구 신대방역,37.4875419,126.9122224
42,232,2,구로디지털단지,서울특별시 구로구 도림천로 477 (구로동),서울특별시 구로구 도림천로 477 ,서울특별시 구로구 구로디지털단지역,37.4844545,126.9014211
43,233,2,대림,서울 구로구 구로6동 125-66,서울 구로구 구로6동 125-66,서울 구로구 대림역,37.49073,126.89372
44,234,2,신도림,서울특별시 구로구 새말로 지하 117-21 (신도림동),서울특별시 구로구 새말로 지하 117-21 ,서울특별시 구로구 신도림역,37.5089178,126.8916525217337
45,235,2,문래,서울특별시 영등포구 당산로 지하 28 (문래동3가),서울특별시 영등포구 당산로 지하 28 ,서울특별시 영등포구 문래역,37.51868,126.89472
46,236,2,영등포구청,서울특별시 영등포구 당산로 지하 121 (당산동3가),서울특별시 영등포구 당산로 지하 121 ,서울특별시 영등포구 영등포구청역,37.5253151,126.8965366
47,237,2,당산,서울특별시 영등포구 당산로 229 (당산동 6가),서울특별시 영등포구 당산로 229 ,서울특별시 영등포구 당산역,37.53264,126.90394
48,238,2,합정,서울특별시 마포구 양화로 지하 55 (서교동),서울특별시 마포구 양화로 지하 55 ,서울특별시 마포구 합정역,37.5505421,126.915014
49,239,2,홍대입구,서울특별시 마포구 양화로 지하160 (동교동),서울특별시 마포구 양화로 지하160 ,서울특별시 마포구 홍대입구역,37.5567526,126.9237729
50,240,2,신촌,서울특별시 마포구 신촌로 지하 90 (노고산동),서울특별시 마포구 신촌로 지하 90 ,서울특별시 마포구 신촌역,37.5551517,126.9369084
51,241,2,이대,서울특별시 마포구 신촌로 지하 180 (염리동),서울특별시 마포구 신촌로 지하 180 ,서울특별시 마포구 이대역,37.5567403,126.9458406
52,242,2,아현,서울특별시 마포구 신촌로 지하 270 (아현동),서울특별시 마포구 신촌로 지하 270 ,서울특별시 마포구 아현역,37.55713,126.95724
53,243,2,충정로,서울특별시 서대문구 서소문로 지하 17 (충정로3가),서울특별시 서대문구 서소문로 지하 17 ,서울특별시 서대문구 충정로역,37.56155,126.9634
54,244,2,용답,서울특별시 성동구 용답길 86 (용답동),서울특별시 성동구 용답길 86 ,서울특별시 성동구 용답역,37.56209,127.0508609
55,245,2,신답,서울특별시 성동구 천호대로 232 (용답동),서울특별시 성동구 천호대로 232 ,서울특별시 성동구 신답역,37.57012,127.04754
56,246,2,신설동,서울특별시 동대문구 왕산로 지하 1 (신설동),서울특별시 동대문구 왕산로 지하 1 ,서울특별시 동대문구 신설동역,37.57614,127.02563
57,247,2,도림천,서울특별시 구로구 경인로 67길 160 (신도림동),서울특별시 구로구 경인로 67길 160 ,서울특별시 구로구 도림천역,37.5144539,126.882684
58,248,2,양천구청,서울특별시 양천구 목동로3길 지하 33(신정동),서울특별시 양천구 목동로3길 지하 33,서울특별시 양천구 양천구청역,37.5127668,126.866457
59,249,2,신정네거리,서울특별시 양천구 중앙로 지하 261 (신정동),서울특별시 양천구 중앙로 지하 261 ,서울특별시 양천구 신정네거리역,37.52201,126.8507
60,250,2,용두,서울특별시 동대문구 천호대로 지하 129,서울특별시 동대문구 천호대로 지하 129,서울특별시 동대문구 용두역,37.57389,127.03716
61,309,3,지축,경기도 고양시 덕양구 삼송로 300 (지축동),경기도 고양시 덕양구 삼송로 300 ,경기도 고양시 지축역,37.6482592,126.9142608
62,310,3,구파발,서울특별시 은평구 진관2로 지하 15-25 (진관동),서울특별시 은평구 진관2로 지하 15-25 ,서울특별시 은평구 구파발역,37.6370162,126.9186057
63,311,3,연신내,서울특별시 은평구 통일로 지하 849 (갈현동),서울특별시 은평구 통일로 지하 849 ,서울특별시 은평구 연신내역,37.61783,126.92187
64,312,3,불광,서울특별시 은평구 통일로 지하 723-1 (대조동 / 3호선 불광역),서울특별시 은평구 통일로 지하 723-1 ,서울특별시 은평구 불광역,37.6094527,126.9305417
65,313,3,녹번,서울특별시 은평구 통일로 지하 602-1 (녹번동),서울특별시 은평구 통일로 지하 602-1 ,서울특별시 은평구 녹번역,37.6017076,126.935094
66,314,3,홍제,서울특별시 서대문구 통일로 지하 440-1 (홍제동),서울특별시 서대문구 통일로 지하 440-1 ,서울특별시 서대문구 홍제역,37.58733,126.94549
67,315,3,무악재,서울특별시 서대문구 통일로 지하 361 (홍제동),서울특별시 서대문구 통일로 지하 361 ,서울특별시 서대문구 무악재역,37.58333,126.94944
68,316,3,독립문,서울특별시 서대문구 통일로 지하 247 (현저동),서울특별시 서대문구 통일로 지하 247 ,서울특별시 서대문구 독립문역,37.5737078,126.9584807
69,317,3,경복궁,서울특별시 종로구 사직로 지하 130 (적선동),서울특별시 종로구 사직로 지하 130 ,서울특별시 종로구 경복궁역,37.57717,126.97242
70,318,3,안국,서울특별시 종로구 율곡로 지하 62 (안국동),서울특별시 종로구 율곡로 지하 62 ,서울특별시 종로구 안국역,37.5765187,126.9852889
71,319,3,종로3가,서울특별시 종로구 종로 지하 129 (종로3가),서울특별시 종로구 종로 지하 129 ,서울특별시 종로구 종로3가역,37.5704309,126.9922249
72,320,3,을지로3가,서울특별시 중구 을지로 지하 106 (을지로3가),서울특별시 중구 을지로 지하 106 ,서울특별시 중구 을지로3가역,37.5663629,126.9925882
73,321,3,충무로,서울특별시 중구 퇴계로 지하 199 (필동2가),서울특별시 중구 퇴계로 지하 199 ,서울특별시 중구 충무로역,37.5610059,126.9931987
74,322,3,동대입구,서울특별시 중구 동호로 지하 256 (장충동2가),서울특별시 중구 동호로 지하 256 ,서울특별시 중구 동대입구역,37.5590607,127.005727
75,323,3,약수,서울특별시 중구 다산로 지하 122 (신당동),서울특별시 중구 다산로 지하 122 ,서울특별시 중구 약수역,37.5547911,127.0106133
76,324,3,금호,서울특별시 성동구 동호로 지하 104 (금호동4가),서울특별시 성동구 동호로 지하 104 ,서울특별시 성동구 금호역,37.5485535,127.015397
77,325,3,옥수,서울특별시 성동구 동호로 21 (옥수동) 옥수역,서울특별시 성동구 동호로 21 ,서울특별시 성동구 옥수역,37.5407675,127.01915264544135
78,326,3,압구정,서울특별시 강남구 압구정로 지하 172 (신사동),서울특별시 강남구 압구정로 지하 172 ,서울특별시 강남구 압구정역,37.52613,127.02822
79,327,3,신사,서울특별시 강남구 도산대로 지하 102 (신사동),서울특별시 강남구 도산대로 지하 102 ,서울특별시 강남구 신사역,37.5162341,127.0197308
80,328,3,잠원,서울특별시 서초구 잠원로 4길 지하 46 (잠원동),서울특별시 서초구 잠원로 4길 지하 46 ,서울특별시 서초구 잠원역,37.5127513,127.0111504
81,329,3,고속터미널,서울특별시 서초구 신반포로 지하 188 (반포동),서울특별시 서초구 신반포로 지하 188 ,서울특별시 서초구 고속터미널역,37.5050827,127.0049777
82,330,3,교대,서울특별시 서초구 서초대로 지하 294 (서초동),서울특별시 서초구 서초대로 지하 294 ,서울특별시 서초구 교대역,37.4936592,127.0137025
83,331,3,남부터미널,서울특별시 서초구 서초중앙로 지하 31 (서초동),서울특별시 서초구 서초중앙로 지하 31 ,서울특별시 서초구 남부터미널역,37.484943,127.0163445
84,332,3,양재,서울특별시 서초구 남부순환로 지하 2585 (서초동),서울특별시 서초구 남부순환로 지하 2585 ,서울특별시 서초구 양재역,37.4838155,127.0346881
85,333,3,매봉,서울특별시 강남구 남부순환로 지하 2744 (도곡동),서울특별시 강남구 남부순환로 지하 2744 ,서울특별시 강남구 매봉역,37.4859081,127.0446558
86,334,3,도곡,서울특별시 강남구 남부순환로 지하 2814 (도곡동),서울특별시 강남구 남부순환로 지하 2814 ,서울특별시 강남구 도곡역,37.49117,127.0565
87,335,3,대치,서울특별시 강남구 남부순환로 지하 2952 (대치동),서울특별시 강남구 남부순환로 지하 2952 ,서울특별시 강남구 대치역,37.4937,127.06202
88,336,3,학여울,서울특별시 강남구 남부순환로 지하 3104 (대치동),서울특별시 강남구 남부순환로 지하 3104 ,서울특별시 강남구 학여울역,37.4964975,127.0698841
89,337,3,대청,서울특별시 강남구 일원로 지하 2 (일원동),서울특별시 강남구 일원로 지하 2 ,서울특별시 강남구 대청역,37.49323,127.07884
90,338,3,일원,서울특별시 강남구 일원로 지하 121 (일원동),서울특별시 강남구 일원로 지하 121 ,서울특별시 강남구 일원역,37.4851,127.08324
91,339,3,수서,서울특별시 강남구 광평로 지하 270 (수서동),서울특별시 강남구 광평로 지하 270 ,서울특별시 강남구 수서역,37.4868623,127.1018697
92,340,3,가락시장,서울특별시 송파구 송파대로 지하 257 (가락동),서울특별시 송파구 송파대로 지하 257 ,서울특별시 송파구 가락시장역,37.49274,127.11969
93,341,3,경찰병원,서울특별시 송파구 중대로 지하 149 (가락동),서울특별시 송파구 중대로 지하 149 ,서울특별시 송파구 경찰병원역,37.495401,127.1239038
