,subwayNo,Line,subwayName,address_kor1,address_kor2,address_kor3,latitude,longitude,usage_on,usage_off
0,201,2,시청,서울특별시 중구 세종대로 지하 101 (정동),서울특별시 중구 세종대로 지하 101 ,서울특별시 중구 시청역,37.5652772,126.977104,576823,552390
1,202,2,을지로입구,서울특별시 중구 을지로 지하 42 (을지로1가),서울특별시 중구 을지로 지하 42 ,서울특별시 중구 을지로입구역,37.5659494,126.9826171,977489,989467
2,203,2,을지로3가,서울특별시 중구 을지로 지하 106 (을지로3가),서울특별시 중구 을지로 지하 106 ,서울특별시 중구 을지로3가역,37.5663629,126.9925882,535388,524971
3,204,2,을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가),서울특별시 중구 을지로 지하 178 ,서울특별시 중구 을지로4가역,37.55725255,126.99382100905797,325086,323072
4,205,2,동대문역사문화공원,서울특별시 중구 을지로 지하 279 (을지로7가),서울특별시 중구 을지로 지하 279 ,서울특별시 중구 동대문역사문화공원역,37.5652615,127.0081233,321926,360008
5,206,2,신당,서울특별시 중구 퇴계로 지하 431-1 (신당동),서울특별시 중구 퇴계로 지하 431-1 ,서울특별시 중구 신당역,37.5653839,127.016252,379554,394207
6,207,2,상왕십리,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),서울특별시 성동구 왕십리로 지하 374 ,서울특별시 성동구 상왕십리역,37.5659227,127.0299688,378343,366826
7,208,2,왕십리,서울특별시 성동구 왕십리로 지하300 (행당동),서울특별시 성동구 왕십리로 지하300 ,서울특별시 성동구 왕십리역,37.5611426,127.0354423,442036,365568
8,209,2,한양대,서울특별시 성동구 왕십리로 206 (행당동),서울특별시 성동구 왕십리로 206 ,서울특별시 성동구 한양대역,37.5557271,127.0436642,204401,220205
9,210,2,뚝섬,서울특별시 성동구 아차산로 18 (성수동1가),서울특별시 성동구 아차산로 18 ,서울특별시 성동구 뚝섬역,37.5472239,127.0474353,560864,600970
10,211,2,성수,서울특별시 성동구 아차산로 100 (성수동2가),서울특별시 성동구 아차산로 100 ,서울특별시 성동구 성수역,37.54541,127.05359,894825,977731
11,212,2,건대입구,서울특별시 광진구 아차산로 243 (화양동),서울특별시 광진구 아차산로 243 ,서울특별시 광진구 건대입구역,37.54088,127.06812,961400,1011697
