연번,호선,역명,형식,길이(M),층수,면적(m²),준공연도
1,1,서울,섬식,210,B2," 10,805.0 ",1974
2,1,시청,상대식,210,B2," 11,317.0 ",1974
3,1,종각,상대식,210,B2," 10,410.2 ",1974
4,1,종로3가,상대식,210,B2," 9,311.0 ",1974
5,1,종로5가,상대식,210,B2," 10,465.0 ",1974
6,1,동대문,상대식,210,B2," 5,490.0 ",1974
7,1,동묘앞,상대식,210,5FB2," 7,031.7 ",2005
8,1,신설동,상대식,210,B2," 7,240.0 ",1974
9,1,제기동,상대식,210,B2," 8,662.0 ",1974
10,1,청량리,섬식,210,B2," 7,125.0 ",1974
11,2,시청,섬식,205,B3," 12,561.0 ",1984
12,2,을지로입구,상대식,205,B2," 10,408.7 ",1983
13,2,을지로3가,상대식,205,B2," 8,181.0 ",1983
14,2,을지로4가,상대식,205,B2," 6,622.0 ",1983
15,2,동대문역사문화공원,상대식,205,B2," 6,540.0 ",1983
16,2,신당,상대식,205,B2," 5,762.0 ",1983
17,2,상왕십리,상대식,205,B2," 7,023.0 ",1983
18,2,왕십리,상대식,205,B2," 9,877.0 ",1983
19,2,한양대,상대식,205,2F," 5,974.0 ",1983
20,2,뚝섬,상대식,205,3F," 8,384.0 ",1983
21,2,성수,복합식,205,3F," 10,045.0 ",1980
22,2,건대입구,상대식,205,3F," 6,543.0 ",1980
23,2,구의,상대식,205,3F," 5,584.0 ",1980
24,2,강변,상대식,205,2F," 5,077.0 ",1980
25,2,잠실나루,상대식,205,2F," 4,691.0 ",1980
26,2,잠실,상대식,205,B2," 10,332.0 ",1980
27,2,잠실새내,상대식,205,B2," 7,573.0 ",1980
28,2,종합운동장,상대식,205,B2," 18,506.0 ",1980
29,2,삼성,섬식,205,B2," 6,447.0 ",1982
30,2,선릉,상대식,205,B2," 7,396.0 ",1982
31,2,역삼,상대식,205,B3," 8,352.9 ",1982
32,2,강남,상대식,205,B2," 6,392.0 ",1982
33,2,교대,상대식,205,B2," 9,312.0 ",1982
34,2,서초,상대식,205,B2," 8,655.0 ",1983
35,2,방배,상대식,205,B2," 5,951.0 ",1983
36,2,사당,상대식,205,B2," 13,006.0 ",1983
37,2,낙성대,상대식,205,B2," 6,502.0 ",1983
38,2,서울대입구,섬식,205,B2," 6,429.0 ",1983
39,2,봉천,섬식,205,B2," 5,234.0 ",1984
40,2,신림,섬식,205,B2," 7,190.0 ",1984
41,2,신대방,상대식,205,3F," 5,821.0 ",1984
42,2,구로디지털단지,상대식,205,3F," 5,754.0 ",1984
43,2,대림,상대식,205,3F," 6,478.0 ",1984
44,2,신도림,복합식,205,B2," 19,246.0 ",1984
45,2,문래,상대식,205,B2," 6,213.0 ",1984
46,2,영등포구청,상대식,205,B2," 7,737.0 ",1984
47,2,당산,상대식,205,3F," 6,385.0 ",1984
48,2,합정,상대식,205,B2," 13,008.0 ",1984
49,2,홍대입구,섬식,205,B2," 7,721.0 ",1984
50,2,신촌,상대식,205,B2," 7,620.0 ",1984
51,2,이대,섬식,205,B2," 7,436.0 ",1984
52,2,아현,상대식,205,B2," 6,467.0 ",1984
53,2,충정로,섬식,205,B3," 7,564.0 ",1984
54,2,용답,상대식,130,2F," 1,423.0 ",1980
55,2,신답,상대식,130,1F," 2,203.0 ",1980
56,2,용두,상대식,90,B1," 6,090.0 ",2005
57,2,신설동,상대식,205,B2," 4,952.4 ",1980
58,2,도림천,상대식,165,2FB3," 4,496.9 ",1992
59,2,양천구청,상대식,165,B2," 5,103.0 ",1992
60,2,신정네거리,상대식,165,B3," 6,860.9 ",1996
61,3,지축,섬식,205,2F," 1,583.0 ",1990
62,3,구파발,섬식,205,B2," 5,442.0 ",1985
63,3,연신내,섬식,205,B2," 6,906.0 ",1985
64,3,불광,상대식,205,B2," 6,956.0 ",1985
65,3,녹번,섬식,205,B2," 6,439.0 ",1985
66,3,홍제,섬식,205,B3," 9,825.0 ",1985
67,3,무악재,상대식,205,B3," 6,658.8 ",1985
