"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
2005,합계,"8,046",81.22,21.68
2005,종로구,273,2.65,21.02
2005,중구,114,1.87,18.76
2005,용산구,279,3.12,21.92
2005,성동구,406,2.98,22.73
2005,광진구,324,3.37,28.3
2005,동대문구,323,3.03,21.3
2005,중랑구,320,2.64,23.99
2005,성북구,622,3.88,21.67
2005,강북구,224,1.92,20.27
2005,도봉구,255,2.32,18.73
2005,노원구,287,3.54,22.66
2005,은평구,330,3.03,18.99
2005,서대문구,306,2.65,16.63
2005,마포구,418,4.02,27.92
2005,양천구,397,3.48,26.2
2005,강서구,370,4.27,23.2
2005,구로구,283,2.9,19.82
2005,금천구,179,1.93,18.22
2005,영등포구,386,4.37,23.16
2005,동작구,235,2.6,16.34
2005,관악구,315,2.72,22.84
2005,서초구,347,4.92,23.28
2005,강남구,422,5.45,22.58
2005,송파구,352,4.49,19.41
2005,강동구,279,3.08,22.2
