"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,강남구,-,-,-
2000,강남구,-,-,-
2001,강남구,-,-,-
2002,강남구,-,-,-
2003,강남구,-,-,-
2004,강남구,422,5.45,22.58
2005,강남구,422,5.45,22.58
2006,강남구,422,5.45,22.58
2007,강남구,423,5.46,22.6
2008,강남구,423,5.46,22.65
2009,강남구,423,5.49,22.76
2010,강남구,423,5.5,22.79
2011,강남구,423,5.5,22.79
2012,강남구,433,5.63,23.36
2013,강남구,433,5.63,23.36
2014,강남구,433,5.63,23.36
2015,강남구,434,5.66,23.45
2016,강남구,434,5.66,23.46
2017,강남구,435,5.67,23.46
2018,강남구,435,5.67,23.47
2019,강남구,435,5.7,23.58
