"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,노원구,-,-,-
2000,노원구,-,-,-
2001,노원구,-,-,-
2002,노원구,-,-,-
2003,노원구,-,-,-
2004,노원구,287,3.54,22.65
2005,노원구,287,3.54,22.66
2006,노원구,291,3.68,23.58
2007,노원구,291,3.68,23.6
2008,노원구,291,3.69,23.59
2009,노원구,291,3.69,23.59
2010,노원구,291,3.69,23.6
2011,노원구,291,3.69,23.6
2012,노원구,291,3.69,23.6
2013,노원구,291,3.69,23.6
2014,노원구,291,3.69,23.6
2015,노원구,291,3.69,23.6
2016,노원구,292,3.69,23.63
2017,노원구,295,3.83,23.63
2018,노원구,296,3.83,23.66
2019,노원구,296,3.83,23.66
