"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,서초구,-,-,-
2000,서초구,-,-,-
2001,서초구,-,-,-
2002,서초구,-,-,-
2003,서초구,-,-,-
2004,서초구,347,4.91,23.27
2005,서초구,347,4.92,23.28
2006,서초구,347,4.92,23.29
2007,서초구,347,4.92,23.3
2008,서초구,347,4.92,23.29
2009,서초구,347,4.92,23.29
2010,서초구,377,4.96,23.49
2011,서초구,377,4.96,23.49
2012,서초구,377,4.96,23.49
2013,서초구,379,5.14,24.33
2014,서초구,385,5.23,24.76
2015,서초구,385,5.23,24.76
2016,서초구,390,5.5,26.04
2017,서초구,395,5.73,26.06
2018,서초구,395,5.73,26.05
2019,서초구,397,5.79,26.35
