"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,성북구,-,-,-
2000,성북구,-,-,-
2001,성북구,-,-,-
2002,성북구,-,-,-
2003,성북구,-,-,-
2004,성북구,617,3.8,21.2
2005,성북구,622,3.88,21.67
2006,성북구,623,3.92,21.85
2007,성북구,623,3.93,21.9
2008,성북구,624,3.97,22.14
2009,성북구,625,3.98,22.25
2010,성북구,627,4,22.35
2011,성북구,627,4.01,22.38
2012,성북구,627,4.01,22.39
2013,성북구,627,4.01,22.4
2014,성북구,627,4.01,22.4
2015,성북구,627,4.01,22.41
2016,성북구,627,4.01,22.41
2017,성북구,627,4.01,22.41
2018,성북구,627,4.01,22.42
2019,성북구,630,4.14,23.12
