"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,양천구,-,-,-
2000,양천구,-,-,-
2001,양천구,-,-,-
2002,양천구,-,-,-
2003,양천구,-,-,-
2004,양천구,397,3.47,26.13
2005,양천구,397,3.48,26.2
2006,양천구,398,3.49,26.27
2007,양천구,398,3.49,26.3
2008,양천구,398,3.49,26.29
2009,양천구,398,3.49,26.3
2010,양천구,398,3.49,26.31
2011,양천구,398,3.49,26.31
2012,양천구,404,3.78,28.47
2013,양천구,403,3.59,27.06
2014,양천구,403,3.59,27.06
2015,양천구,403,3.59,27.06
2016,양천구,403,3.6,27.12
2017,양천구,404,3.62,27.12
2018,양천구,404,3.62,27.12
2019,양천구,405,3.62,27.18
